estimator,param,obs,bench,bias,bias_se,t_cr1,p_cr1_normal,p_wild,n_clusters,B
OLS,theta_N,0.5015840636152242,0.4225242892879101,0.07905977432731415,0.09068466422525345,0.9133695363170855,0.3610482218952433,0.3743743743743744,19,999
OLS,theta_D,0.2228550809220392,0.2725135135648198,-0.04965843264278058,0.08339882265462424,-0.6089417135130988,0.5425630738042764,0.5775775775775776,19,999
OLS,theta_C,0.3279657296974351,0.3290836262499107,-0.001117896552475628,0.03836731069710014,-0.029986294850132315,0.9760779833818038,0.985985985985986,19,999
Year FE,theta_N,0.5169824099942454,0.416131332677122,0.1008510773171234,0.0968254944257666,1.0850018373881016,0.2779208414834087,0.3203203203203203,19,999
Year FE,theta_D,0.19054569708533003,0.30368095841320464,-0.1131352613278746,0.1076682068189489,-1.062411678308558,0.2880488344257264,0.3003003003003003,19,999
Year FE,theta_C,0.31894931532017445,0.3479132226051872,-0.028963907285012747,0.04150933392334353,-0.7128695624364744,0.47592647543650446,0.4644644644644645,19,999
Developer FE,theta_N,0.5891906863254508,0.44830792841565714,0.14088275790979365,0.07901062492154994,1.8955211921980912,0.05802338685578978,0.12412412412412413,19,999
Developer FE,theta_D,0.20299657489935424,0.2931378044334101,-0.09014122953405584,0.16605734896964644,-0.5459903235949619,0.5850725887178854,0.5605605605605606,19,999
Developer FE,theta_C,0.3934459728109707,0.36965905582474556,0.02378691698622515,0.04645305640065004,0.5222289745776014,0.6015109144696447,0.6776776776776777,19,999
Family FE,theta_N,0.6477467496591938,0.4448939858858126,0.20285276377338118,0.08596792859432076,2.488843097320546,0.0128159511738275,0.05205205205205205,19,999
Family FE,theta_D,0.08662888241600424,0.34849759410514847,-0.2618687116891442,0.16245886525801828,-1.6222825061512793,0.10474287266245286,0.023023023023023025,19,999
Family FE,theta_C,0.4407017520529801,0.4093250049807269,0.03137674707225324,0.0666542353399829,0.47908326134160545,0.6318793972091901,0.4694694694694695,19,999
Lab x period FE,theta_N,0.6095692838555642,0.4446699672818597,0.1648993165737045,0.09690166518315306,1.7701813144409748,0.07669694105717162,0.11811811811811812,19,999
Lab x period FE,theta_D,0.2454925863893839,0.35826134441662133,-0.11276875802723743,0.1796056137771782,-0.6302810503366714,0.5285107188453626,0.44244244244244246,19,999
Lab x period FE,theta_C,0.44164902271764445,0.4048163907770177,0.03683263194062675,0.04187088335217394,0.9039007273508161,0.3660480434594995,0.36536536536536535,19,999
