estimator,output,surface,param,obs,obs_se,bench,bench_se,bench_lo,bench_hi,bias,bias_se,n_obs,F,reliability,n_families,n_dev
OLS,y_winogrande,ladder+gadre,theta_N,0.511647063134081,0.1274332873453849,0.5481994750071918,0.14347678848124867,0.3004009618390501,0.8393428960972338,-0.03655241187311076,0.1918979717364006,57,,,30,19
OLS,y_winogrande,ladder+gadre,theta_D,0.2538279432123095,0.10253593688832768,0.48781604583796767,0.12359602560403496,0.3490748053431373,0.8202626550019387,-0.23398810262565817,0.1605913942236021,57,,,30,19
OLS,y_winogrande,ladder+gadre,theta_C,0.35105333649517834,0.04365426262733783,0.5105870592931636,0.09175213647317787,0.43965437377470407,0.8195501166696516,-0.15953372279798528,0.10160782053035701,57,,,30,19
Year FE,y_winogrande,ladder+gadre,theta_N,0.5416669348200825,0.1363533414924546,0.542168791740846,0.14357337833392986,0.2917150779216813,0.8297648078966918,-0.0005018569207634327,0.19800391082596247,57,,,30,19
Year FE,y_winogrande,ladder+gadre,theta_D,0.20710170578406223,0.13264159496573374,0.4716377878279297,0.11154992175758828,0.34073351559102716,0.7679839046013929,-0.26453608204386747,0.17331237047359843,57,,,30,19
Year FE,y_winogrande,ladder+gadre,theta_C,0.33870266929389026,0.0447468695473947,0.4993811014382512,0.08447532153937667,0.4320877558177404,0.7809255865544339,-0.16067843214436095,0.09559478167490439,57,,,30,19
Developer FE,y_winogrande,ladder+gadre,theta_N,0.6310976135722135,0.13169372232270588,0.526004812852401,0.13587434732797182,0.27980288429500405,0.795353293415881,0.10509280071981253,0.18922228928171303,57,,,30,19
Developer FE,y_winogrande,ladder+gadre,theta_D,0.17337045044119664,0.15323528647257573,0.47050618774454633,0.11685292885717345,0.32628932955429585,0.7617260794670103,-0.2971357373033497,0.19270614936434174,57,,,30,19
Developer FE,y_winogrande,ladder+gadre,theta_C,0.3990959600927758,0.04993620420387686,0.4978750145184263,0.07804836251514156,0.41859918835754545,0.7280134253370977,-0.09877905442565049,0.0926561999090522,57,,,30,19
Family FE,y_winogrande,ladder+gadre,theta_N,0.775423141394834,0.09333230963558499,0.5504885241944966,0.14293153674045067,0.30049201006437887,0.8438565965009346,0.22493461720033747,0.17070543112888797,57,,,30,19
Family FE,y_winogrande,ladder+gadre,theta_D,-0.2278141698149302,0.12722470298830843,0.3213438214845331,0.10402522069924615,0.10882760192935508,0.5315610109235736,-0.5491579912994633,0.1643391967608159,57,,,30,19
Family FE,y_winogrande,ladder+gadre,theta_C,0.40524197479180224,0.1197957491461598,0.4659371898070297,0.07238786962374785,0.355116723209499,0.6167110930610672,-0.060695215015227455,0.13996794340903337,57,,,30,19
Lab x period FE,y_winogrande,ladder+gadre,theta_N,0.677053474385001,0.14580435299761824,0.5242933048039446,0.13536872405785977,0.2781462757175604,0.7917941813105022,0.15276016958105632,0.19895627862951962,57,,,30,19
Lab x period FE,y_winogrande,ladder+gadre,theta_D,0.1301467650581539,0.22079633552291456,0.40823278324130524,0.09336549571691741,0.2492551266947059,0.6132628202382885,-0.2780860181831514,0.2397251292017864,57,,,30,19
Lab x period FE,y_winogrande,ladder+gadre,theta_C,0.42480795005622796,0.0717464673575961,0.47076361387828025,0.06590216116933183,0.3861869634233592,0.6301120228717845,-0.045955663822052295,0.0974199693342345,57,,,30,19
IV: frontier FLOP/$,y_winogrande,ladder+gadre,theta_C,0.8699113727893746,0.5672236845353502,0.5410187575098462,0.2469576470687068,0.18311791489120424,1.1041208239647398,0.3288926152795284,0.6186523965390989,57,0.9049507688824745,,30,19
IV: frontier FLOP/$ + developer FE,y_winogrande,ladder+gadre,theta_C,12.234050527447835,115.16867968071256,0.6786591352429241,1.1559144887057322,-0.6349224313918966,3.719338005513418,11.55539139220491,115.1744803231331,57,0.005405723365318848,,30,19
"OLS, EIV-corrected (Epoch 'Confident')",y_winogrande,ladder+gadre,theta_C,0.3922817228337177,0.04878110410075212,0.5105870592931636,0.09175213647317787,0.43965437377470407,0.8195501166696516,-0.11830533645944591,0.10391366928696662,57,,0.8949010776216677,30,19
"Family FE, EIV-corrected (Epoch 'Confident')",y_winogrande,ladder+gadre,theta_C,0.7888004522712111,0.233181523595149,0.4659371898070297,0.07238786962374785,0.355116723209499,0.6167110930610672,0.3228632624641814,0.24415901911422347,57,,0.5137446024846712,30,19
Reverse (c on y),y_winogrande,ladder+gadre,theta_C,0.752401430492069,0.21295774370019194,0.519517364797068,0.10010427833568,0.4551945164677469,0.8566003840115479,0.23288406569500097,0.2353122758017183,57,,,30,19
"Reverse (c on y), family FE",y_winogrande,ladder+gadre,theta_C,0.8061796153270188,0.19025626049694339,0.4901595254589287,0.08590786970865877,0.4014975243337933,0.709302200993124,0.31602008986809005,0.20875250114947286,57,,,30,19
OP-style selection control,y_winogrande,ladder+gadre,theta_N,0.5267407697999726,0.16208613052189716,0.5208485730662494,0.1202365092245367,0.291641059731938,0.7407186354795515,0.0058921967337232095,0.2018136067218055,57,,,30,19
OP-style selection control,y_winogrande,ladder+gadre,theta_D,0.2474828728771754,0.10769680614438451,0.4817770180694416,0.12011884982027507,0.34383402460259055,0.8016178867592507,-0.2342941451922662,0.16132929100398022,57,,,30,19
OP-style selection control,y_winogrande,ladder+gadre,theta_C,0.336315502389256,0.054675895803270105,0.49420577660317655,0.08052124613018444,0.4373679978959726,0.7592301422170089,-0.15789027421392055,0.09732997821970264,57,,,30,19
