panel,row,theta_N,theta_D,theta_C_ray,se_theta_N,se_theta_D,se_theta_C_ray,n_obs,theta_C,se_theta_C,n_clusters,truth_theta_C
A,OLMo ladder,0.4814629193624874,0.44136415328734135,0.4614135363249144,0.027791047697197556,0.029309204225052947,0.016123198897321982,30,,,,
A,OLMo ladder + OLMo-2,0.4635488464683395,0.3523842629799395,0.4079665547241395,0.04460863196722337,0.04386925238198194,0.02717119645240693,32,,,,
A,Gadre et al. (N>=0.1B),0.5133378477252893,0.5113960684151317,0.5123669580702106,0.046634095292869625,0.026792470681901773,0.021912981328924143,56,,,,
A,DataDecide,,,0.46448869856997976,,,0.007681601331918961,525,,,,
B,OLS,0.46967012124185886,0.2566803609676869,0.3631752411047729,0.04718687997172145,0.04169353060362894,0.020431178134325736,128,0.37122347974918657,0.023006797111533882,22.0,0.26908014767300686
B,Year FE,0.4875336818459617,0.18648240455066983,0.3370080431983158,0.044035112421541164,0.07462015365982204,0.03196666857155486,128,0.37159986146346274,0.02559459717056661,22.0,0.26908014767300686
B,Developer FE,0.5062009911740375,0.20534910836638148,0.35577504977020946,0.04952529024451274,0.07247740013974821,0.03686461374308225,128,0.4032934495708586,0.04581026016868379,22.0,0.36363788883459486
B,Family FE,0.4896176258687972,0.18937180674280693,0.3394947163058021,0.0630590862274971,0.1594733690651659,0.07752072988443572,128,0.44067291780883777,0.05709533260907174,22.0,0.36363788883459486
B,Mundlak,0.48961762586879964,0.18937180674280618,0.3394947163058029,0.05333796641315568,0.13488912878129572,0.06557021888924881,128,0.4406729178088374,0.048177094433844665,22.0,0.36363788883459486
B,Lab x period FE,0.49244673058840255,0.25233286402866606,0.3723897973085343,0.05987934268102285,0.13877188757307657,0.07199587809990395,128,0.4408825964257149,0.05195506756011548,22.0,0.36363788883459486
B,FD across generations,-0.0010426734007901173,0.0652739929632963,0.032115659781253095,0.4860358272079019,0.12439913255214977,0.27991951103787854,30,,,10.0,0.26908014767300686
B,"ACF-style (AR(1) omega, gens)",0.5602686360847284,0.7541779435935051,0.6572232898391168,0.8234812813607685,1.5546862026941883,0.5534385054982289,30,,,10.0,0.26908014767300686
B,IV: frontier FLOP/$,,,,,,,128,0.37449263194143967,0.09249736100276215,22.0,0.26908014767300686
B,IV: own-hardware FLOP/$,,,,,,,24,0.2762527030476709,0.08304721825371784,8.0,0.26908014767300686
B,"OLS, EIV-corrected (empirical)",,,,,,,128,0.3731613773704642,0.02312689947527925,,0.26908014767300686
B,"Family FE, EIV-corrected (empirical)",,,,,,,128,0.4460777680858519,0.05779560646706776,,0.36363788883459486
B,"Family FE, EIV-corrected (Epoch 'Confident')",,,,,,,128,0.5141138673855504,0.06661063358118059,,0.36363788883459486
B,Notable only,,,,,,,19,0.2806587551197544,0.059249392278361554,7.0,0.26908014767300686
B,OP-style selection control,0.5596077276599609,0.25363289542335093,0.4066203115416559,0.062013651662310376,0.03607853464613044,0.032714259405340715,128,0.3759993644493007,0.03520860120717815,22.0,0.26908014767300686
B,Reverse (c on y),,,,,,,128,0.4955113733627015,0.05154728384503103,22.0,0.26908014767300686
B,"Reverse (c on y), family FE",,,,,,,128,0.5401330360668051,0.07054659270962052,22.0,0.36363788883459486
