panel,row,theta_N,theta_D,theta_C_ray,se_theta_N,se_theta_D,se_theta_C_ray,n_obs,theta_C,se_theta_C,n_clusters,truth_theta_C
A,OLMo ladder,0.4814629193624874,0.44136415328734135,0.4614135363249144,0.027791047697197556,0.029309204225052947,0.016123198897321982,30,,,,
A,OLMo ladder + OLMo-2,0.4635488464683395,0.3523842629799395,0.4079665547241395,0.04460863196722337,0.04386925238198194,0.02717119645240693,32,,,,
A,Gadre et al. (N>=0.1B),0.5133378477252893,0.5113960684151317,0.5123669580702106,0.046634095292869625,0.026792470681901773,0.021912981328924143,56,,,,
A,DataDecide,,,0.46448869856997976,,,0.007681601331918961,525,,,,
B,OLS,0.5742631378992216,0.23920352519813326,0.4067333315486774,0.06737322846737581,0.05739610510904123,0.0306727746511234,90,0.3985793159027755,0.04037541297963067,21.0,0.3249178198272561
B,Year FE,0.6243478910870234,0.14091554157059813,0.38263171632881077,0.04130314671168894,0.08688704577731969,0.038966634705388935,90,0.39673682951979883,0.043148561583397436,21.0,0.3249178198272561
B,Developer FE,0.6487268996106785,0.1809151224715379,0.41482101104110825,0.04111470836342924,0.12550158168901665,0.05471441074817325,90,0.4822817333803382,0.05967399064965189,21.0,0.4864132383183756
B,Family FE,0.6421413907179431,0.17854384952298885,0.41034262012046596,0.047103944350891325,0.07853141806037972,0.03617925768047987,90,0.5393932482756906,0.08104660828119171,21.0,0.4864132383183756
B,Mundlak,0.6421413907179462,0.17854384952298522,0.4103426201204657,0.03754435885627602,0.06259373353427773,0.028836800234356766,90,0.5393932482756896,0.06444015304814874,21.0,0.4864132383183756
B,Lab x period FE,0.656336505599786,0.21673952345463823,0.4365380145272121,0.03824772739107208,0.1238925569313048,0.056415677045407175,90,0.5275527417799795,0.07072674878245876,21.0,0.4864132383183756
B,FD across generations,-1.8299480032353719,-0.008520188307534385,-0.9192340957714531,1.7764799585603668,0.22573682789210725,0.9785451072121171,16,,,10.0,0.3249178198272561
B,"ACF-style (AR(1) omega, gens)",0.6231921611530168,0.542056009885699,0.5826240855193578,6.000406956912601,0.9007700994995489,3.180184578692416,16,,,10.0,0.3249178198272561
B,IV: frontier FLOP/$,,,,,,,90,9.738900181429926,243.326823259177,21.0,0.3249178198272561
B,IV: own-hardware FLOP/$,,,,,,,19,0.1684814717455403,0.17425152306334218,7.0,0.3249178198272561
B,"OLS, EIV-corrected (empirical)",,,,,,,90,0.39862612247935103,0.04038015440695516,,0.3249178198272561
B,"Family FE, EIV-corrected (empirical)",,,,,,,90,0.5395288466189778,0.08106698262930806,,0.4864132383183756
B,"Family FE, EIV-corrected (Epoch 'Confident')",,,,,,,90,0.6554024704223106,0.09847759024913304,,0.4864132383183756
B,OP-style selection control,0.6180638437502894,0.23643609905350002,0.42724997140189475,0.07843519155487283,0.05800634574775377,0.04100747915918529,90,0.3897691717736951,0.047987966787643666,21.0,0.3249178198272561
B,Reverse (c on y),,,,,,,90,0.57600080320925,0.08411151583512229,21.0,0.3249178198272561
B,"Reverse (c on y), family FE",,,,,,,90,0.6420037265479283,0.09831886219732644,21.0,0.4864132383183756
