code,label,n,papers,note,alpha_param,alpha_param_lo,alpha_param_hi,beta_data,beta_data_lo,beta_data_hi,gamma,gamma_lo,gamma_hi,alpha_year,alpha_year_lo,alpha_year_hi,beta_year,beta_year_lo,beta_year_hi,g_C,g_C_lo,g_C_hi,TC_months,TC_lo,TC_hi,mse,alpha_default,beta_default,TC_default
A0,Baseline (Ho model 7),231,144,,0.137810830054211,0.036328253716332304,0.18616692010193464,0.0252163128031665,0.018184460723384966,0.15362332510509305,0.021315965779705407,0.015997589852726608,0.03497255306266779,-0.05910647722410659,-0.08080642820737181,0.039097819418381634,0.045290773503106174,-0.02460584707053859,0.07667558080228123,1.367194512643937,0.3141387232997216,2.778419350465057,6.0838206193748565,2.9937043755929427,26.478003346258316,0.0462913095828782,0.06798237114873684,0.03958677940168386,8.684812859801989
A1,Benchmark-specific perplexity (data fix),231,144,,0.13934651663611486,0.03605108697367126,0.18388108388963553,0.02321685370155886,0.013985402896265677,0.10008899618865895,0.019901086473800605,0.012666873555437323,0.03007606619024786,-0.05430092474922141,-0.07636788187443988,0.04048633620986428,0.04296258761543024,-0.015146465377551422,0.07970540602719275,1.4608086936991074,0.3921145538882613,2.9725613802633273,5.693946238543272,2.7981814679912533,21.21259230048781,0.04789648094737472,0.07751602207785319,0.03019885862853222,9.018392854305018
a1,(a) D = tokens seen (missing epochs = 1),231,144,,0.06501921122514726,0.05456217908206858,0.16179395365262345,0.035274457700180346,0.007398672904666454,0.046707437970156244,0.022868017898200116,0.007056892042785671,0.026877315845362765,0.014042460825148482,-0.09003990209890296,0.04550000592054769,0.029025095347001623,-0.03066677113919187,0.1140296849327365,1.0388100735124215,-1.3442905618612575,7.505557434474016,8.007013388496837,1.108214311773133,inf,0.05363285529478525,0.08980000336397749,0.01754449514860534,2.6053493124903833
a2,(a) D = tokens seen (epochs imputed by dataset size),231,144,,0.12085754514524494,0.06255711952753064,0.17110867990476342,0.028483832183828276,0.01739488463536311,0.05581652751746937,0.023051120162639858,0.014945211157066061,0.03158960817217214,-0.06190573557780786,-0.08756477843271698,0.05189358061116929,0.06550312112433766,-0.049803943448208314,0.09382251292466776,1.7874390118456194,-0.40303235252058744,3.518868270015346,4.653454529970697,2.3637617348725217,inf,0.047897187026433245,0.13558035470764207,0.027288018444189346,4.698492956066936
a3,"(a) D = effective data, Muennighoff R*=15.4",231,144,,0.05651605482339748,0.04075154398637994,0.18042692067602148,0.06725844339964678,0.019813658569300556,0.12231948621884849,0.030710541582329855,0.017272323584201096,0.03527106140502577,0.032626047550146274,-0.07946623835493791,0.055922304818295965,-0.01703132695973103,-0.05521006588272044,0.06977599762397828,0.3240659892110161,-0.34727797523104564,2.109633806213003,25.666890212607953,3.9427535443464183,inf,0.048354131888789655,0.06153935672566553,0.052307628012174055,12.739428185081618
a4,(a) Standard word-level vocabulary only,134,88,,0.03995466673627153,0.026359357358135903,0.15903382048993586,-7.926869382103231e-12,-0.09109159137822458,0.1416584237992749,-7.926869383675895e-12,-0.12564793000480814,0.14610042729537773,0.0032925365144225198,-0.09534021509314958,0.0517473503534597,0.12927421470124223,-0.04537631728918476,0.19239496351694685,-16308356864.370176,-17417964.037568152,101.38480804857898,-5.100309145731079e-10,0.08204154376594419,inf,0.04266598738549819,0.04672249054358563,0.007966365066576987,0.8645141879719537
a5,"(a) Vocabulary control, gamma ln V (known V)",185,114,,0.13482267813189217,0.0488885666382781,0.216578748117403,0.021207327997206413,0.010815760795191377,0.20672329982259693,0.01832486473299957,0.01016060753949817,0.0416655955506848,-0.07564355390249228,-0.09693470609475348,0.025589584514889324,0.0677024054724332,0.014881550285912537,0.098186702211029,2.631346633563549,0.4441893770571406,5.989460021191697,3.16103019671523,1.388733898763781,18.725720596531385,0.04336802850033836,0.07437419756852996,0.03580553807210741,4.560788005635639
b1,(b) Published 2018 or later,180,110,,0.05152590200731041,0.0383279639544777,0.1984755721340734,0.07685996008340838,0.017277288359124548,0.15494513952627548,0.030846689090618995,0.015547765745681303,0.035440478510359315,-1.0394103334361108e-08,-0.1810315937755219,0.046401736408211214,0.08226033515908147,-0.045220578485543304,0.19044368594193256,1.0702623259910151,-0.12210260872279635,4.104369133017404,7.771707893219041,2.0265638633249297,inf,0.04867742002807325,0.06605941090094034,0.03954925604040122,4.263923361008693
b2,(b) Transformers only,104,68,,0.0613064339915518,0.03147269001131494,0.18842158289967129,0.03868795239607923,0.012692006839639574,0.11082153532815812,0.023719535521165173,0.011288287083217266,0.030643915379242694,-0.0602512705833184,-0.16052525738451354,0.13297623714161733,0.10021709977696144,-0.10526400277081913,0.20678152820385756,1.6076068510203878,-3.1563995433679883,5.242280923981602,5.174005175108486,1.586669292877547,inf,0.0422389490345464,0.07635083316746219,0.03154089922331452,11.273998407527314
b3,(b) No year terms (static technology),231,144,,0.06259609766459973,0.04710551135840489,0.19947099463067133,0.08355772423030541,0.018681785522601486,0.24102238354490207,0.03578686755323377,0.01628953357407832,0.04234069174044442,0.0,,,0.0,,,0.0,,,,,,0.06397648198482023,0.08972644222140079,0.036886473643398525,
c1,(c) Benchmark-specific E estimated (NLS),231,144,,0.07160947623591156,0.04861866297045272,0.21081227358141588,0.04204284024122786,0.0200214237698419,0.15520717637756218,0.026490139950205174,0.018045618637531236,0.04255551249983159,0.024301844624890007,-0.13192629099127223,0.04894266895185061,0.018954172226078005,-0.028467743086837593,0.11927899870689325,0.7901962885113503,0.1879493489069324,3.052994901952386,10.526202524171774,2.7244612041114586,44.25536036753223,0.045101813275038004,0.07160947623591156,0.04204284024122786,10.526202524171774
d1,(d) All models of each paper (no top-3 rule),261,144,,0.05501836133388402,0.04117672930633895,0.16860319576724306,0.06360947182658934,0.0180589908515142,0.16226843205749084,0.02950141473526383,0.015987234649861137,0.03582142800413238,0.022972151985914603,-0.08173224606740627,0.04310126771539487,0.008107660157264643,-0.02931064379405671,0.0747786103942929,0.5449960503083359,0.10485925853880171,3.1110297666980657,15.262066875555337,2.6736376024931188,79.3231449719003,0.0499612665628118,0.0701712066790873,0.0379365169761711,7.603216517247591
d2,(d) Top-1 model per paper,144,144,,0.14302076824165566,0.04062569330592886,0.2085781166606433,0.025448301986771834,0.0167592858398798,0.2198696375686927,0.02160417752444868,0.014862005567757913,0.03715607808429104,-0.056002409850364754,-0.09067453027493783,0.047563202408916275,0.041466961552941606,-0.03229814980074614,0.10494573966197622,1.237890500786892,0.14627983976588,3.273293330446138,6.719306886539621,2.5411001480840896,56.86201311152568,0.04089102609416398,0.0676683999062375,0.042378747961551284,9.566412781924472
d3,(d) Including flagged outliers,238,149,,0.15041639653809627,0.03751623413737765,0.21708956622833067,0.02250976103368173,0.01395724999254764,0.15389444214730014,0.01957967024285883,0.012866338193819044,0.033554539731676096,-0.06473804902687749,-0.08984532631217987,0.031521197746622036,0.045399934652256745,-0.002024693580972016,0.08513495046092567,1.586507659817769,0.4647337775422013,3.2703806629179915,5.2428150064366825,2.5433633035543424,17.89791611599402,0.0532050354422647,0.08302088220891142,0.029755019145199055,7.526241970723387
