technology,C,N_kaplan,D_kaplan,M_kaplan,CE,CEG
Besiroglu,3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.6084034402814601,1.6436461955859079
Besiroglu,5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.5437637781190691,1.8390338603632181
Besiroglu,2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.3975215051743215,2.5155871744887843
Besiroglu,3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.19380070571732305,5.159939930552142
Besiroglu,1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.1446620218627279,6.912664340810307
Besiroglu,5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.08580800517033255,11.65392433975079
Besiroglu,1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.06769083891563628,14.773047815913602
Hoffmann (TeX),3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.4153528212551719,2.4075916879005623
Hoffmann (TeX),5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.3526648435414078,2.8355534108763125
Hoffmann (TeX),2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.22691950881146652,4.406848953788449
Hoffmann (TeX),3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.08697253232177066,11.497882990233268
Hoffmann (TeX),1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.05966388845933871,16.760556943610972
Hoffmann (TeX),5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.030846267506904102,32.41883316275388
Hoffmann (TeX),1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.02296708804357192,43.54056544316171
Hoffmann (rounded),3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.3362171022626481,2.974268689100812
Hoffmann (rounded),5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.2808530655695973,3.5605806828987348
Hoffmann (rounded),2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.1742127764171207,5.740107129718675
Hoffmann (rounded),3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.06305446709373104,15.859304599521726
Hoffmann (rounded),1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.042516470479685736,23.52029669249703
Hoffmann (rounded),5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.02142827255368673,46.667317558827214
Hoffmann (rounded),1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.01579839147955709,63.297583256750336
Farseer grid,3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.48837494270175813,2.047607099716994
Farseer grid,5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.4091179971249949,2.444282595797117
Farseer grid,2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.25074524481662425,3.9881115222397256
Farseer grid,3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.08433131569328597,11.85799120740642
Farseer grid,1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.054820332360872616,18.241407100875925
