Model,date,N,D,C,M,CE_Besiroglu,CE_Hoffmann (TeX),CE_Hoffmann (rounded),CE_Farseer grid,CE_m1: llama_3,CE_m1: marin_202603__comma__llama_2,CE_m1: marin_202603__dclm__llama_2,CE_m1: marin_202603__nemotron__llama_2,CE_m1: misfitting__fineweb_c4__transformer,CE_m2: farseer (all),CE_m2: gadre (C4),CE_m2: olmo_ladder (all),CE_m2: datablations (single_epoch),CE_Ho model 7,w_Besiroglu,w_Hoffmann (TeX),w_Hoffmann (rounded),w_Farseer grid,w_m1: llama_3,w_m1: marin_202603__comma__llama_2,w_m1: marin_202603__dclm__llama_2,w_m1: marin_202603__nemotron__llama_2,w_m1: misfitting__fineweb_c4__transformer,w_m2: farseer (all),w_m2: gadre (C4),w_m2: olmo_ladder (all),w_m2: datablations (single_epoch)
GPT-3 175B (davinci),2020-05-28,174600000000.0,299732722413.13477,3.14e+23,1.7166822589526618,0.6084034402814601,0.4153528212551719,0.3362171022626481,0.48837494270175813,0.7877994053664831,0.1592291847841857,0.2240150077170768,0.26587107108947283,0.6394429905296395,0.6620821446907031,0.9005641324814584,0.3341796516249859,0.4189743582161606,0.11868906202128097,0.42672950974805884,0.33698653376053367,0.29576065888117864,0.36906625562820977,0.5855287457682304,0.10022796639049153,0.12429682574382091,0.15405328666656745,0.3339575422145679,0.49575805031940906,0.7197997114285725,0.3588442447056094,0.32115477629553735
Jurassic-1-Jumbo,2021-08-11,178000000000.0,346441947565.5431,3.7e+23,1.9463030762109161,0.6404595797731032,0.4376180883060518,0.35559063245166256,0.5076274365274231,0.815304628767348,0.16712939968942472,0.23638470769071845,0.28083524828774103,0.6848424423974437,0.6924294067378077,0.9187337055916978,0.3459532104421037,0.4501312298123227,0.0892205866466353,0.4469377700066653,0.34889170755738563,0.30598744926483723,0.37994986048035473,0.6095750207226559,0.10409277574238972,0.13007007807883708,0.1612496281824007,0.36551805036361745,0.5158491947159156,0.7440282386313564,0.36521256774515065,0.3374662422908991
Megatron-Turing NLG 530B,2021-10-11,530000000000.0,270000000000.0,8.586e+23,0.5094339622641509,0.33906340589020145,0.2054540131030752,0.15794483733838482,0.2444251544067578,0.5271496406885348,0.055947819851106736,0.0807102099316053,0.09954464834977608,0.3036268054848439,0.40673016567843995,0.677949478541769,0.16812127284333692,0.20858513313841884,0.14921546695008173,0.27914896734819034,0.22444686939813194,0.19691461035601263,0.23674064466076297,0.4135288286219328,0.046137234858026975,0.055637894032222475,0.07265048862121276,0.15756230481570216,0.3514370600042732,0.5290722997720296,0.2623580819351368,0.2124038743705052
Gopher (280B),2021-12-08,280000000000.0,375595238095.23816,6.31e+23,1.3414115646258506,0.5521896888970631,0.3570870696032031,0.2845042029858916,0.4117994528045436,0.7429594494745321,0.11705560473339231,0.16880040609197683,0.20454126134030154,0.5746826122589705,0.6142150971002336,0.8638679003737327,0.2775297148239031,0.37605558130211925,0.10040057173223922,0.3932396937282468,0.3061640094159128,0.2683105646155336,0.3269626036822314,0.5499520082906245,0.07919795001487856,0.0985045011320943,0.12467590809792002,0.29348647223592006,0.4658729873251065,0.6777975835587103,0.3276986993209365,0.2990276205785773
Chinchilla,2022-03-29,70000000000.0,1371428571428.5715,5.76e+23,19.591836734693878,0.9996434211805673,0.9106026332265308,0.8331786612593894,0.9440712913256089,0.966073920188636,0.5680769174408875,0.7438636391501964,0.8136789704888335,0.9000070134043213,0.9993053299069115,0.9162980814083931,0.7213062592259182,0.9606413925951617,0.0312740786168027,1.0228198876185357,0.7086238713563697,0.6177674796656205,0.7622473527316679,1.2261991780866521,0.31359127017479344,0.4305766576213263,0.5079737937148419,1.7036523123218577,1.0291122987831371,1.3510032549999036,0.5817337340445367,0.7862087701792437
PaLM (540B),2022-04-04,540350000000.0,779494771907.0973,2.5272e+24,1.442573835305075,0.5785109097094849,0.348445287958357,0.27504349879341045,0.3739652049772508,0.7747203661200427,0.09165874529563559,0.13885650794078616,0.17349046148410163,0.6315052868638468,0.6474440210038473,0.8799270911695467,0.2433909120810732,0.41293168524471885,0.10427635818324067,0.40864591318506754,0.3016105721618171,0.2632376633087608,0.3066104940864814,0.5747357240868596,0.06600484230451338,0.08433519350273644,0.10970355984455796,0.3287351006344496,0.48640477894114126,0.6952434100678692,0.3082949735332941,0.3180189723174863
OPT-175B,2022-05-02,175000000000.0,409523809523.8095,4.3e+23,2.3401360544217686,0.686772055327402,0.472966170593015,0.38687511701526245,0.5402621563747728,0.8524757572360313,0.18260981813510688,0.2593367428745554,0.3078106667857134,0.7481691324601432,0.7351557481714834,0.9422886563403425,0.3671821184934497,0.4960836840469305,0.07180691310148482,0.47795762039849976,0.3680376223462824,0.32251885506323813,0.3987707458687734,0.6457316665742595,0.11162358003713144,0.14081522508775135,0.17430273679341038,0.41554232414509235,0.5460542360049233,0.780736560501993,0.3766419409598793,0.36208655287910285
BLOOM-176B,2022-07-11,176247271424.0,345786913508.50104,3.65664e+23,1.9619419393826396,0.6423641928169922,0.4394502752158692,0.3572362753913437,0.5097977092334978,0.8167796373632713,0.16839718369341455,0.2380660178857226,0.2827034670678346,0.6871972173802923,0.6940895550361955,0.9197830211933878,0.34754353843681357,0.4517898485486874,0.0723815248170651,0.4481682698431798,0.34987606121260895,0.3068560287823355,0.38118627588171616,0.6109225589513063,0.10471147123825364,0.13085551759440656,0.16214997874167975,0.3672416992339878,0.5169781767940327,0.7455200885047419,0.3660709306434241,0.3383421787630337
LLaMA-65B,2023-02-24,65200000000.0,1405930470347.6482,5.5e+23,21.563350772203194,0.9977782901125557,0.9253369972193644,0.8521152206142307,0.9564252076813247,0.9563867769851475,0.5964355394511804,0.7725213543894724,0.8394438825844158,0.8778703702071575,0.9973238946520608,0.9029177603387563,0.7404461425324523,0.9706877106635146,0.023340254546637094,1.0579768582882763,0.7310624966703742,0.6372877576382304,0.7877899301874962,1.2609962346067454,0.3316495723834191,0.4566426725121777,0.5368868755375451,1.8105533474788547,1.057987196463992,1.384452440478004,0.5952019965862152,0.8129725817136954
Llama 2-7B,2023-07-18,7000000000.0,1999999999999.9998,8.4e+22,285.71428571428567,0.5382733642940721,0.7881982250737506,0.87428715452836,0.6774775752264339,0.47116351389137523,0.8770126139296244,0.6844521927055756,0.6402076769725775,0.22337804989191604,0.6006172276676947,0.40865585161364965,0.9791728161049327,0.7347858773830027,0.004316220276699842,2.6153991738978517,1.7230527821353447,1.5021211023956276,1.9928159099561298,2.653387540681021,1.6576107083726836,2.433322178840158,2.5745228344500535,9.058889405892963,2.2083312605474514,2.6680778516459887,1.1421643542378639,1.9718005513226986
