parameter,ho_est,ho_lo,ho_hi,est,iid100_lo,iid100_hi,iid1000_lo,iid1000_hi,cl_lo,cl_hi,cl_se,conv,conv_cl_lo,conv_cl_hi,conv_iid_lo,conv_iid_hi
alpha_const,0.913,0.0,1.208,0.9127013052665076,1.8544538166600196e-05,1.2070347376758335,7.486866865394069e-05,1.2393924648514016,-4.4313148664225794e-05,1.2677667018589098,0.2746745788269607,0.00023323663277698034,-4.4673651965372914e-07,1.3725173809277584,-8.727610790984774e-08,1.3751725521929654
alpha_const_ptb,,,,0.0003787342443323438,-0.016045549806811443,0.18509608760007537,-0.03560213471111006,0.24278530653067315,-0.06606286611584791,0.20540655395044946,0.08442587311693074,3.917961633024284e-10,-0.041060475227798446,0.30832031754590283,-0.09351128904520212,0.3143774800727188
alpha_const_wt2,,,,0.05541239747623877,-0.11892302340810383,0.17933448206278807,-0.13107607534187654,0.429703794138573,-0.17996418250584104,0.48209551773236553,0.1416988037819735,5.822922964071819e-07,-0.13210863551267116,0.7301423099890973,-0.0989391422396722,0.6097418899015418
alpha_year,0.004,-0.058,0.032,0.003938337308940553,-0.06002461824044739,0.03186140754623833,-0.06948206096477222,0.03742648136471022,-0.07007590672295312,0.03804015491722429,0.023763728777762096,-0.05910647722410659,-0.07807113736746332,0.044548470206166986,-0.07712244306139826,0.04112336757903787
alpha_param,0.068,0.045,0.127,0.06798237114873684,0.044519515959992026,0.126062911211575,0.04146423820092209,0.1329627396117208,0.04144925845261256,0.14556536025831784,0.022899739607994934,0.137810830054211,0.04154861423841332,0.1875789694189314,0.04129703518727031,0.17855723006755048
beta_const,0.771,0.233,1.293,0.7714088863739328,0.23268953310026907,1.295930548773162,0.28389586747138223,1.3538323455088908,0.26509058842930594,1.340124634577283,0.2379745019204209,1.2950686105911622,-5.488638475592071e-09,1.3878968577978996,-4.0866749210120595e-09,1.388937725707882
beta_const_ptb,,,,0.17641459872264048,-0.005597812502205357,0.28392605068033744,-0.0413981451714187,0.2779207494621775,-0.012830517884203975,0.27187076487713807,0.0991694555693051,0.11063528839946142,-0.009197080616144788,0.34929678444454665,-0.05549503083666855,0.3374952115271674
beta_const_wt2,,,,0.09541780688574115,-0.0582630641824845,0.3174342038289481,-0.28108305399034955,0.3505514730465326,-0.33253733906201344,0.3631373125946965,0.15824838579047276,0.09918083294380008,-0.33123245398823414,0.4123353529689487,-0.3382503493873707,0.3758759922537373
beta_year,0.036,-0.002,0.08,0.0356203901429361,-0.0012853451036126942,0.08046762244773986,-0.005498494845680592,0.08093457263569954,-0.006352546035975226,0.08381532141745635,0.022234952200753666,0.045290773503106174,-0.022007395519048904,0.07433218048174234,-0.01673867221169551,0.0718753054377873
beta_data,0.04,0.023,0.062,0.03958677940168386,0.02390947728954191,0.06234018866304558,0.022193122923104668,0.0698105239716219,0.02027654020662751,0.0741627693709663,0.01600840001331064,0.0252163128031665,0.017064417462052443,0.14799715484177897,0.01840092297306473,0.160869085182597
T_C (months),8.44382833,4.51787288,14.26941928,8.684812859801989,4.386708210927797,14.053617459178188,4.339321543260814,15.988380892879531,4.0729659855116145,16.92595082741626,,6.0838206193748565,3.04676967343395,22.674115653235884,3.504061555675139,23.434048777513308
T_C bootstrap median,8.44382833,,,8.443828594501667,,,8.795677275362154,,8.584628293179424,,,6.767406634429191,,,,
Objective,0.05181292650905238,,,0.051812926503660504,,,,,,,,0.05072266694496791,,,,
MSE (unpenalized part),,,,0.04641577248623128,,,,,,,,0.0462913095828782,,,,
sum|theta| (L1 term / 0.0025),,,,2.1588616069716906,,,,,,,,1.7725429448358836,,,,
