code,label,n,k,mse,note,alpha_param,alpha_param_lo,alpha_param_hi,alpha_param_se,beta_data,beta_data_lo,beta_data_hi,beta_data_se,gamma,gamma_lo,gamma_hi,gamma_se,alpha_year,alpha_year_lo,alpha_year_hi,alpha_year_se,beta_year,beta_year_lo,beta_year_hi,beta_year_se,g_N,g_N_lo,g_N_hi,g_N_se,g_D,g_D_lo,g_D_hi,g_D_se,g_C,g_C_lo,g_C_hi,g_C_se,TC_months,TC_lo,TC_hi,ec_per_year,share_gC_pos,B
A1,"Ho model 7 (L1 penalty, replication: scipy default tolerance)",231,10.0,0.0464157724862312,,0.0679823711487368,0.0414492584526125,0.1455653602583178,0.0228997396079949,0.0395867794016838,0.0202765402066275,0.0741627693709663,0.0160084000133106,0.0250183543896909,0.017029118127721,0.0298941180321178,0.0030072061468707,0.0039383373089405,-0.0700759067229531,0.0380401549172242,0.023763728777762,0.0356203901429361,-0.0063525460359752,0.0838153214174563,0.0222349522007536,0.0579317438093468,-0.6180686004618245,0.6101064363435817,0.3172024662777408,0.8998052046997527,-0.1444781215971654,2.521018223303032,0.6709110482653838,0.9577369485090996,0.4914209105019034,2.0421889591779956,0.4359046011632031,8.684812859801989,4.0729659855116145,16.92595082741626,2.6057927525569227,1.0,400.0
A1c,"Ho model 7, same objective run to convergence",231,10.0,0.0462913095828782,,0.137810830054211,0.0415486142384133,0.1875789694189314,0.0416639566345998,0.0252163128031665,0.0170644174620524,0.1479971548417789,0.0346035032223068,0.0213159657797054,0.0150738564862912,0.0345323344938614,0.0049768398951154,-0.0591064772241065,-0.0780711373674633,0.0445484702061669,0.0380176059912176,0.0452907735031061,-0.0220073955190489,0.0743321804817423,0.0236481318230302,-0.428895734833436,-0.8229191328854429,0.7957217938459673,0.4437978895506174,1.7960902474773732,-0.413816659935722,3.286320955380943,0.9701648486756688,1.367194512643937,0.3668397168792024,2.7300278846955184,0.6285047793344106,6.0838206193748565,3.04676967343395,22.674115653235884,3.924325591478908,0.99,400.0
A2,"Model 7, unpenalized NLS",231,10.0,0.0453029538162262,,0.077558559256529,0.0439942891947846,0.2552142713266516,0.0579249434921297,0.0313228354001978,0.018615221349463,0.0868180276434099,0.0319398921640821,0.0223119293532915,0.0155454056448837,0.0313729925172065,0.0036755331612903,0.0273896167839935,-0.1325850321673821,0.0511165427793259,0.0506287010424444,0.0144906603491389,-0.0118349900491255,0.0952729296096841,0.0263248900852732,0.3531475706427317,-0.838006089980781,0.8216751363089605,0.4373007272387062,0.4626228808470971,-0.300151837813025,2.5364991412828433,0.7626299659488626,0.8157704514898289,0.3015257687306395,2.0193265342509688,0.3988959024449214,10.196209180571246,4.119079319583478,27.585589788015135,2.2609169283027364,0.9975,400.0
A3,"Hicks-neutral, L1 penalty (Ho model 12), converged",231,9.0,0.0465407175688934,,0.0586947989565333,0.0375516616761048,0.1611618872171155,0.035541915444924,0.0496892026811104,0.0185936186701287,0.1872467775237245,0.0464174800100946,0.0269089322926905,0.0163443798629668,0.0366781696473299,0.0056608338816239,0.0192998311591839,0.01557359082533,0.0234294163166891,0.002075599546811,0.0192998311591839,0.01557359082533,0.0234294163166891,0.002075599546811,0.3288167180447544,0.1113106492429981,0.5551695681141781,0.1262457849775103,0.3884109649141321,0.1042841608540006,1.0612514572419984,0.2854361316543186,0.7172276829588866,0.4724835757782538,1.251771532186582,0.2008303277318187,11.597106977807686,6.6447957577290095,17.604349850719554,2.0487455580750793,1.0,400.0
A4,"Hicks-neutral, unpenalized NLS",231,9.0,0.045385109943457,,0.0829418933868975,0.0413176544968212,0.1249722280498434,0.0258648262993822,0.0300452318654017,0.0181844496389498,0.1008957668730899,0.0387889630822257,0.0220556847747045,0.0153228218630687,0.0306011613237622,0.0038255233393443,0.0199039363422327,0.0160667582033206,0.0237667225261303,0.0021144267948015,0.0199039363422327,0.0160667582033206,0.0237667225261303,0.0021144267948015,0.2399744631990407,0.1360254550688398,0.498926650992908,0.0872602644107837,0.6624657260559516,0.1718631395225569,1.1294744615757992,0.2366285620999652,0.9024401892549924,0.5797534303504513,1.3233185045040785,0.195984618659068,9.216972233457442,6.285536050775981,14.347075379427062,2.4656123370827685,1.0,400.0
A5,"Benchmark-specific E estimated, NLS",231,13.0,0.045101813275038,,0.0716094762359115,0.049272799069825,0.266023641050056,0.0705164796064768,0.0420428402412278,0.020035363431227,0.1925701438118109,0.050604873217876,0.0264901399502051,0.0172989109486783,0.0448701908236961,0.0067834847205187,0.02430184462489,-0.1677733692243516,0.0509000483237389,0.0621537479566537,0.018954172226078,-0.0229612295428896,0.1025959801983121,0.0488162789878171,0.3393663227591494,-0.8765240189253215,0.9254635914304516,0.5025576500741704,0.4508299657522007,-0.4471279398102968,3.736553605242157,1.1838010838437525,0.7901962885113503,0.3162014585675025,2.8651327725308926,0.8253571443937943,10.526202524171774,2.903099725941116,26.30527450569514,2.2038289701106666,0.9925,400.0
A12,"D = effective data under repetition (Muennighoff), L1 penalty",231,,0.0483541318887896,,0.0565160548233974,,,,0.0672584433996467,,,,0.0307105415823298,,,,0.0326260475501462,,,,-0.017031326959731,,,,0.5772881290475208,,,,-0.25322213983650504,,,,0.3240659892110161,,,,25.666890212607953,3.9427535443464183,inf,,,
A10,"Experimental frontier elasticity in total-loss units, gamma=0.0525",231,9.0,0.0508749926751721,,0.0577975099494282,0.0535089232962651,0.0603267804648009,0.0019508527439245,0.5738555904788893,0.4051870292776738,2.809695949029304,0.7903736152105022,0.0525089232962651,0.0525089232962651,0.0525089232962651,4.380284929374391e-18,0.0124356562766255,0.001818261578198,0.0235914124914889,0.0053828272759869,0.0980584919284985,-0.1044589763133446,0.4115326948761252,0.1991525630801395,0.2151590317213755,0.0334417285328458,0.420966370549303,0.0965660105048795,0.1708765995407792,-0.1274359960317324,0.6294749254709291,0.1933203169917323,0.3860356312621547,0.172557901071553,0.8415750163950924,0.1692486661531947,21.546628065197417,9.883570691474068,48.20275464100765,1.4711370883521466,1.0,400.0
A11,"Same, Hicks-neutral",231,8.0,0.051168179976271,,0.0571865541006434,0.0535089232962651,0.0595429055544738,0.0017883821604354,0.6419498477814424,0.4444901287792072,2.809695949029304,0.8065785813153579,0.0525089232962651,0.0525089232962651,0.0525089232962651,4.850886408130053e-18,0.0169109862754183,0.0125601747699109,0.0218276113379114,0.0022765667472556,0.0169109862754183,0.0125601747699109,0.0218276113379114,0.0022765667472556,0.2957161266555152,0.2252960084460341,0.3912801167162658,0.0426559537652399,0.0263431580112716,0.0055955547011837,0.0414929990227355,0.010202230564708,0.3220592846667869,0.2392007678208165,0.4156933711010602,0.0433558070579895,25.82681687107756,20.009378895525355,34.77315830754405,1.3799665843913624,1.0,400.0
A6,Whitfill first pass: Ho's year coefficients / experimental exponents,231,,,arithmetic; not a re-estimate,0.3478,,,,0.3658,,,,0.1782864910313901,,,,0.0039383373089405,,,,0.0356203901429361,,,,0.0113235690308814,,,,0.0973766816373321,,,,0.1087002506682135,-0.0406102174791618,0.1798797402725295,,76.52021145846031,46.24070589671402,inf,1.1148281312655743,0.9425,400.0
