cell,param,R,B,warm_cover,warm_median_width,multi_cover,multi_median_width
onpath,alpha,60,49,0.6166666666666667,0.10462545045981536,0.9333333333333333,3.1585463516546737
onpath,beta,60,49,0.6333333333333333,0.15119325131243028,0.95,2.6029042996183733
onpath,a,60,49,0.2833333333333333,0.09047662207630974,0.9333333333333333,0.838200531494896
onpath,gamma,60,49,0.4166666666666667,0.07477624558151566,0.8833333333333333,0.28984515830809554
onpath,sigma_star,60,49,0.3333333333333333,0.04234746588127186,0.7833333333333333,0.4264502045761488
onpath,lnMstar,60,49,0.4166666666666667,10.550732124464592,0.95,64.78198036486407
opt_s0.3,alpha,60,49,0.9833333333333333,0.2689209545068876,0.9833333333333333,0.2689209338000801
opt_s0.3,beta,60,49,0.9333333333333333,0.29721411362562133,0.9333333333333333,0.297214277981418
opt_s0.3,a,60,49,0.9833333333333333,0.3651466475804478,0.9833333333333333,0.3651465907234706
opt_s0.3,gamma,60,49,0.9833333333333333,0.0658366995598758,0.9833333333333333,0.06558725223641093
opt_s0.3,sigma_star,60,49,1.0,0.05250581467573512,1.0,0.05250436063584751
opt_s0.3,lnMstar,60,49,0.9833333333333333,7.332512116423291,0.9833333333333333,7.332509922865773
