cell,label,n,total_compute,M_min,M_max,transverse_sd_t,sd_lnM_given_c,rms_dev_from_true_path,cond_raw,cond_normalized,sv_ratio_normalized,corr_lnN_lnD
onpath,(i) On-path (s=0.02),90,5.106e+22,20.155226752358505,25.292273967219856,0.0070060968055281,0.019635921540157582,0.020070665569407793,16856199783.12618,14809257.630885204,0.000259856363123464,0.9998062848051698
iso16,"(ii) IsoFLOP, +-16x",90,5.106e+22,0.08202866531237443,6288.180162412301,1.2628586818069507,3.5394021351091665,3.5394021351091665,913749.3252415372,1428.7933674414287,0.026455458167383105,-0.5173972722778732
iso4,"(ii') IsoFLOP, +-4x",90,5.106e+22,1.312458644997991,393.0112601507688,0.6314293409034754,1.769701067554583,1.7697010675545832,4737584.229191235,4012.550175755555,0.015786642054701414,0.11959037144226646
fact,(iii) Factorial grid,90,5.105999999999998e+22,0.0911418196916634,5973.070295312853,0.8979786430462755,2.5167562865646738,2.517002534249473,1925834.9467576374,1355.2326543520142,0.027163959311854405,-6.23172038740289e-18
opt_s0,"(iv) Optimizing labs, s=0",90,5.106e+22,20.999338319967855,24.563203759423047,9.656663513654216e-16,2.093456611578367e-16,0.0,2.8397855429694853e+18,4.447373927829504e+16,7.012466293239128e-17,0.9999999999999998
opt_s0.05,"(iv) Optimizing labs, s=0.05",90,5.106e+22,18.966256877139106,25.74201749093054,0.01683547557017673,0.04718462884018118,0.048673373475499396,3552691593.753391,2830233.453206621,0.0005944137814909358,0.9988824522048086
opt_s0.1,"(iv) Optimizing labs, s=0.1",90,5.106e+22,17.63056070720567,31.13191664252175,0.034779885786977945,0.09747725837157521,0.09749533123668175,779436531.2266215,662512.230205833,0.0012285788935153062,0.9952366755365425
opt_s0.2,"(iv) Optimizing labs, s=0.2",90,5.1059999999999995e+22,13.780026809577905,35.719451137808264,0.06684162099217042,0.1873363817045135,0.19300128746423806,214321088.7496924,186130.48034018205,0.002317881616012003,0.982496296660919
opt_s0.3,"(iv) Optimizing labs, s=0.3",90,5.106e+22,11.54880424118853,64.06582099251388,0.10303611969879015,0.28877836238450166,0.2977386417814842,94031673.77015711,74478.67083927282,0.003664241096242964,0.9590004647429494
opt_s0.5,"(iv) Optimizing labs, s=0.5",90,5.1059999999999995e+22,8.118221757278473,75.14741483105998,0.19268552886052812,0.5400379172100004,0.5440136423126498,23797509.23628281,21404.522201398464,0.006835137115250368,0.8636153241490833
opt_s1,"(iv) Optimizing labs, s=1",90,5.1059999999999995e+22,0.9625028816025993,267.7241139001982,0.3719862060209525,1.0425622366058085,1.0600240230780065,9446839.98615648,6012.879065290746,0.012896111085376884,0.5702106759060817
opt_s2,"(iv) Optimizing labs, s=2",90,5.1059999999999995e+22,0.1104870189446363,6197.980481573218,0.7696900980227179,2.157203189525555,2.1959448765444565,1537258.5655601819,2087.7544071539332,0.021885692624033695,-0.09011090672528128
kaplan,"(v) Kaplan-belief labs (N~C^0.73), s=0.1",90,5.106e+22,4.644964867674279,106.15934657633328,0.03850430903858791,0.10791566434581847,0.8707754423132412,1814452882.5449362,969602.7751100677,0.0010155541263142701,0.9907027760340958
onpath_hc,"(i) On-path (s=0.02), het./clustered noise",90,5.106e+22,20.07947767462189,25.265950584011613,0.007650746109252237,0.02144267407301636,0.021495513626068132,16427214173.283955,12959535.77472716,0.0002777827529125343,0.9997689864234713
iso16_hc,"(ii) IsoFLOP +-16x, het./clustered noise",90,5.106e+22,0.08202866531237443,6288.180162412301,1.2628586818069507,3.5394021351091665,3.5394021351091665,913749.3252415372,1428.7933674414287,0.026455458167383105,-0.5173972722778732
fact_hc,"(iii) Factorial grid, het./clustered noise",90,5.105999999999998e+22,0.0911418196916634,5973.070295312853,0.8979786430462755,2.5167562865646738,2.517002534249473,1925834.9467576374,1355.2326543520142,0.027163959311854405,-6.23172038740289e-18
opt_s0.1_hc,"(iv) Optimizing labs s=0.1, het./clustered noise",90,5.106e+22,17.528318239346383,29.702595086354897,0.032427395639374565,0.09088395638838141,0.09161464302205449,858589498.2067097,789965.8617391065,0.0011251122109269009,0.9958557688245845
opt_s0.3_hc,"(iv) Optimizing labs s=0.3, het./clustered noise",90,5.106e+22,10.782755526716947,58.05952764718918,0.10540765981066301,0.29542505552315884,0.301204129790776,65620356.44129438,66704.77756634276,0.003871876799016878,0.9570005323090093
opt_s1_hc,"(iv) Optimizing labs s=1, het./clustered noise",90,5.1059999999999995e+22,2.153278290734793,165.30077057541115,0.32209941590081537,0.9027449997220162,0.9613301346256924,8396736.118015572,7773.981555745761,0.011341702389413401,0.6591405794880827
