cell,label,estimator,param,truth,R,mean,median,bias,mc_se_bias,median_bias,sd,rmse,mae,q05,q95,wald_computable,wald_cover,wald_median_width,boot_R,boot_cover,boot_median_width,corner_share,wald_cover_mcse,boot_cover_mcse,share_obj_above_truth,median_obj_minus_truth
onpath,(i) On-path (s=0.02),primal,alpha,0.3478,500,0.7367276991605306,0.37385721563581764,0.3889276991605307,0.04024644021905736,0.026057215635817615,0.8999377618219379,0.9795575298965737,0.18147154403935448,0.10691739991956506,3.51918707752107,0.214,1.0,1.1428441492278205,150.0,0.7066666666666667,0.2621603448081971,0.718,0.0,0.037174264295691525,0.024,-1.6354096390442882e-05
onpath,(i) On-path (s=0.02),primal,beta,0.3658,500,1.0601144117223784,0.40884029577699255,0.6943144117223785,0.04782068481315692,0.04304029577699256,1.069303019728107,1.2740465581873537,0.13956069886947706,0.2665743354292362,2.9979895446287586,0.214,1.0,2.590454879404043,150.0,0.58,0.2807983838883784,0.718,0.0,0.040298883359219766,0.024,-1.6354096390442882e-05
onpath,(i) On-path (s=0.02),primal,a,0.5126121076233184,500,0.5625950167888496,0.5311973964190909,0.049982909165531275,0.013037895629665041,0.01858528879577248,0.29153620911478456,0.2955023954407461,0.27149547236820076,0.09320917928222819,0.9283592195930696,0.214,0.7663551401869159,1.2487384533211943,150.0,0.32,0.15584627127127748,0.718,0.04090734222149182,0.03808761828556186,0.024,-1.6354096390442882e-05
onpath,(i) On-path (s=0.02),primal,gamma,0.17828649103139016,500,0.23634858280031043,0.23845800779548415,0.05806209176892026,0.0034313223166016287,0.06017151676409399,0.07672669952633297,0.09615830150302308,0.08052816649072389,0.05917477892619243,0.3342202737747939,0.214,1.0,0.6258341683131455,150.0,0.56,0.11829946294986389,0.718,0.0,0.04052982440952177,0.024,-1.6354096390442882e-05
onpath,(i) On-path (s=0.02),primal,sigma_star,0.7370283018867925,500,0.5710488369226336,0.6182785522595582,-0.1659794649641588,0.006605685791688354,-0.11874974962723434,0.14770762468219675,0.22208802330217317,0.11874974962723434,0.33979391935595743,0.7535372103486848,0.214,1.0,0.7536198758745302,150.0,0.44,0.12484370352707924,0.718,0.0,0.04052982440952177,0.024,-1.6354096390442882e-05
onpath,(i) On-path (s=0.02),primal,lnMstar,2.8979598554678856,500,1.8194502180083632,-0.046165111165410944,-1.0785096374595224,1.0657293387572861,-2.9441249666332965,23.83043247077193,23.83100744321621,21.10603659852728,-36.675640308585834,34.479687373578855,0.214,0.719626168224299,27.239541990455198,150.0,0.4266666666666667,17.944405007476377,0.718,0.04342404973764962,0.040383348236801946,0.024,-1.6354096390442882e-05
onpath,(i) On-path (s=0.02),dual,alpha,0.3478,500,0.3479126522079492,0.34845345961125207,0.00011265220794918208,0.0009057315012596098,0.0006534596112520441,0.02025277206179424,0.020232822767833832,0.013834893869939469,0.3159898026945665,0.38186233502830286,,,,,,,,,,,
onpath,(i) On-path (s=0.02),dual,beta,0.3658,500,0.36589441139021833,0.3662889081679629,9.441139021830302e-05,0.0009557807841565723,0.0004889081679628482,0.021371908049621496,0.02135073418608166,0.014692591006884387,0.3320644353118966,0.40225042082681345,,,,,,,,,,,
onpath,(i) On-path (s=0.02),dual,a,0.5126121076233184,500,0.512593008721999,0.5126411004341205,-1.9098901319442695e-05,2.339780346846706e-05,2.899281080204208e-05,0.000523190790796727,0.0005230161703035246,0.0003590532399974644,0.5117109020480983,0.5134071992649598,,,,,,,,,,,
onpath,(i) On-path (s=0.02),dual,gamma,0.17828649103139016,500,0.17833832513446612,0.17874498779867481,5.18341030759763e-05,0.0004649686107984647,0.00045849676728465516,0.0103970142114901,0.01038674133109807,0.007125836438403074,0.1618166479581552,0.19588494669805642,,,,,,,,,,,
