block,cell,estimator,param,stat,v1,v2,diff
summary,onpath,primal,alpha,bias,0.3342179949236074,0.3889276991605307,0.05470970423692334
summary,onpath,primal,alpha,median_bias,0.0095828654937605,0.026057215635817615,0.016474350142057115
summary,onpath,primal,alpha,rmse,0.9369063214679384,0.9795575298965737,0.042651208428635345
summary,onpath,primal,alpha,mae,0.0734346419361906,0.18147154403935448,0.10803690210316387
summary,onpath,primal,alpha,q05,0.1061567327969837,0.10691739991956506,0.0007606671225813544
summary,onpath,primal,alpha,q95,3.015029144421573,3.51918707752107,0.504157933099497
summary,onpath,primal,alpha,wald_cover,1.0,1.0,0.0
summary,onpath,primal,alpha,boot_cover,0.78,0.7066666666666667,-0.07333333333333336
summary,onpath,primal,alpha,corner_share,0.264,0.718,0.45399999999999996
summary,onpath,primal,beta,bias,0.3930787112221898,0.6943144117223785,0.3012357005001887
summary,onpath,primal,beta,median_bias,0.0200413934253172,0.04304029577699256,0.02299890235167536
summary,onpath,primal,beta,rmse,1.023343536915638,1.2740465581873537,0.2507030212717156
summary,onpath,primal,beta,mae,0.0944711177731197,0.13956069886947706,0.045089581096357356
summary,onpath,primal,beta,q05,0.1001086616994932,0.2665743354292362,0.166465673729743
summary,onpath,primal,beta,q95,3.386104352404294,2.9979895446287586,-0.38811480777553564
summary,onpath,primal,beta,wald_cover,1.0,1.0,0.0
summary,onpath,primal,beta,boot_cover,0.7466666666666667,0.58,-0.16666666666666674
summary,onpath,primal,beta,corner_share,0.264,0.718,0.45399999999999996
summary,onpath,primal,a,bias,0.0022240400332717,0.049982909165531275,0.047758869132259574
summary,onpath,primal,a,median_bias,0.0079870379037962,0.01858528879577248,0.010598250891976281
summary,onpath,primal,a,rmse,0.2757996444407719,0.2955023954407461,0.019702750999974206
summary,onpath,primal,a,mae,0.2378549655020119,0.27149547236820076,0.03364050686618886
summary,onpath,primal,a,q05,0.0888091591487312,0.09320917928222819,0.004400020133496982
summary,onpath,primal,a,q95,0.919730525526056,0.9283592195930696,0.008628694067013498
summary,onpath,primal,a,wald_cover,0.8680981595092024,0.7663551401869159,-0.10174301932228658
summary,onpath,primal,a,boot_cover,0.5533333333333333,0.32,-0.23333333333333334
summary,onpath,primal,a,corner_share,0.264,0.718,0.45399999999999996
summary,onpath,primal,gamma,bias,0.0190944657293411,0.05806209176892026,0.03896762603957916
summary,onpath,primal,gamma,median_bias,0.0079093578836239,0.06017151676409399,0.05226215888047009
summary,onpath,primal,gamma,rmse,0.0812836486656555,0.09615830150302308,0.01487465283736758
summary,onpath,primal,gamma,mae,0.0384975347128365,0.08052816649072389,0.04203063177788739
summary,onpath,primal,gamma,q05,0.0582772895831584,0.05917477892619243,0.000897489343034033
summary,onpath,primal,gamma,q95,0.3308902265929032,0.3342202737747939,0.0033300471818907273
summary,onpath,primal,gamma,wald_cover,1.0,1.0,0.0
summary,onpath,primal,gamma,boot_cover,0.72,0.56,-0.15999999999999992
summary,onpath,primal,gamma,corner_share,0.264,0.718,0.45399999999999996
summary,onpath,primal,sigma_star,bias,-0.1060117712369165,-0.1659794649641588,-0.0599676937272423
summary,onpath,primal,sigma_star,median_bias,-0.0299291542326201,-0.11874974962723434,-0.08882059539461423
summary,onpath,primal,sigma_star,rmse,0.184707773698747,0.22208802330217317,0.037380249603426174
summary,onpath,primal,sigma_star,mae,0.0365358332910197,0.11874974962723434,0.08221391633621464
summary,onpath,primal,sigma_star,q05,0.3415502291066657,0.33979391935595743,-0.0017563097507082848
summary,onpath,primal,sigma_star,q95,0.7702066099557983,0.7535372103486848,-0.016669399607113444
summary,onpath,primal,sigma_star,wald_cover,1.0,1.0,0.0
summary,onpath,primal,sigma_star,boot_cover,0.6733333333333333,0.44,-0.23333333333333334
summary,onpath,primal,sigma_star,corner_share,0.264,0.718,0.45399999999999996
summary,onpath,primal,lnMstar,bias,-1.0727733336575676,-1.0785096374595224,-0.0057363038019548895
summary,onpath,primal,lnMstar,median_bias,-0.8174356806406649,-2.9441249666332965,-2.1266892859926316
summary,onpath,primal,lnMstar,rmse,16.85256898737629,23.83100744321621,6.9784384558399175
summary,onpath,primal,lnMstar,mae,7.011582093255114,21.10603659852728,14.094454505272164
summary,onpath,primal,lnMstar,q05,-36.497197785226525,-36.675640308585834,-0.17844252335930832
summary,onpath,primal,lnMstar,q95,31.920091731484337,34.479687373578855,2.559595642094518
summary,onpath,primal,lnMstar,wald_cover,0.8251533742331288,0.719626168224299,-0.10552720600882981
summary,onpath,primal,lnMstar,boot_cover,0.66,0.4266666666666667,-0.23333333333333334
summary,onpath,primal,lnMstar,corner_share,0.264,0.718,0.45399999999999996
summary,onpath,dual,alpha,bias,0.0001126520386335,0.00011265220794918208,1.6931568208025313e-10
