scenario,n_trained,n_released,release_rate,corr_c_omega,mean_ln_w,sample_sd_x,median_first_stage_F,mean_imr_coef
exog,600.255,600.255,1.0,0.002861530678302996,0.4567056123083247,0.24764554760483243,17.94743422231388,0.0
exog_sel,599.735,490.1975,0.8173382776465946,-0.004614186242271472,0.4568576105741834,0.23952832036764243,11.468399956083038,0.05474889737303634
funding,601.1425,601.1425,1.0,0.16838270779974812,0.4570653269696671,0.24814680274590983,17.46909579440451,0.0
funding_all,599.935,484.1525,0.8070262779712042,0.1658992640841241,0.4566840765511585,0.23790491190367857,10.513808720280876,0.10186734067169191
funding_flag,240.0,240.0,1.0,0.23592051052171686,0.4571456813207073,0.24908450744309493,40.53618057558117,
predet,599.31,599.31,1.0,0.1350007362165101,0.45665158420154855,0.24757412199728393,16.895559988590175,0.0
predet_me,600.3775,600.3775,1.0,0.1290501345841338,0.4557964117300225,0.24612149427548785,18.270668091145364,0.0
predet_psiD,599.94,599.94,1.0,0.12782093874853284,0.45683775212735483,0.24728575041721929,17.472903276414318,0.0
predet_sel,599.1975,487.6325,0.8137632827039532,0.1277343296951614,0.4570810979788292,0.23738461826435803,11.110388812905013,0.0891536562204211
target,600.3025,600.3025,1.0,-0.42551111895251376,0.4573056108624117,0.24666357369281466,13.19155061466249,0.0
