scenario,estimator,param,R,n_fail_v1,n_fail_v2,bias_v1,bias_v2,median_bias_v1,median_bias_v2,max_abs_diff,share_diff_gt_1e4
exog,E10_foc_system_T,alpha,100,0,0,-0.0009677528198913398,-0.0009677248043298742,-0.0010845695272668487,-0.0010843415573169035,5.269381740391488e-07,0.0
exog,E10_foc_system_T,beta,100,0,0,-0.0022884662804532564,-0.0022884435047281315,-0.0026631977344171998,-0.002663240262136657,7.069969929496267e-07,0.0
exog,E10_foc_system_T,a,100,0,0,-0.0008788003528437094,-0.0008788047635441255,-0.0009765709572718273,-0.0009765564918730596,3.769187546520669e-07,0.0
exog,E10_foc_system_T,gamma,100,0,0,-0.0008038716943755825,-0.0008038589037463686,-0.0009651184117517031,-0.000965127270711505,2.7955755219077894e-07,0.0
exog,E10_foc_system_T,sigma_star,100,0,0,0.0008880649093436077,0.0008880510531463015,0.0010460325680387017,0.0010460508228644638,3.063092848254456e-07,0.0
exog,E10_foc_system_T,lnMstar,100,0,0,-0.02622911851121165,-0.02622894240063153,-0.024596441886210352,-0.024595562539411864,4.80110732459238e-06,0.0
exog,E10_foc_system_T,sd_omega,100,0,0,-0.0018756431137036775,-0.0018756450017012652,0.000956336348401296,0.0009563342523951357,3.848879326362464e-08,0.0
exog,E10_foc_system_T,tfp_growth,100,0,0,-7.88662729318304e-05,-7.888048566450257e-05,0.0012056497155073648,0.0012056265731830301,3.0562077416029787e-07,0.0
exog,E1_pooled_huber,alpha,100,0,0,0.055897569301340384,0.051980997102181625,0.061107782393926335,0.058996967265993794,0.35929462076450636,0.02
exog,E1_pooled_huber,beta,100,0,0,0.051926247751991415,0.062170503856376104,0.03635295164046945,0.0437048500413873,0.9237762589926742,0.02
exog,E1_pooled_huber,a,100,0,0,-0.010095726981892877,-0.003033753867976267,-0.0148370207782412,-0.005046888249148063,0.6293393314724709,0.02
exog,E1_pooled_huber,gamma,100,0,0,0.017108423872399983,0.018731838364128485,0.020233288869902902,0.020786833519551448,0.148822418284432,0.02
exog,E1_pooled_huber,sigma_star,100,0,0,-0.02751070553190807,-0.02889353972182124,-0.027202418494270186,-0.02774121396377416,0.12137121512258398,0.02
exog,E1_pooled_huber,lnMstar,100,0,0,0.439486729475591,0.3384052851626327,0.6170881161635817,0.5677165668340765,9.440558284366471,0.02
exog,E1_pooled_huber,sd_omega,100,0,0,-0.035261520126377156,-0.034303464885516714,-0.035414115736641064,-0.03509834827297206,0.0939255704372747,0.02
exog,E1_pooled_huber,tfp_growth,100,0,0,-0.08252186512971198,-0.08221578480539707,-0.08245010884737167,-0.08233323302708483,0.029476092925694773,0.02
exog,E1b_pooled_huber_Etrue,alpha,100,0,0,0.0970916509465674,0.09709165086309206,0.09571630568456072,0.09571630566249109,1.204306737667693e-08,0.0
exog,E1b_pooled_huber_Etrue,beta,100,0,0,0.10651941844609843,0.10651941889214944,0.09868237340857516,0.09868237301920904,2.2627066220692882e-08,0.0
exog,E1b_pooled_huber_Etrue,a,100,0,0,0.0015462341880998892,0.0015462344663272965,-0.003077494309683182,-0.003077495957176768,1.7666017426698488e-08,0.0
