scenario,estimator,R,share_neutral_worse,share_neutral_better,share_multi_worse,share_multi_better,bias_gamma_truth,bias_gamma_neutral,bias_gamma_multi,maxdiff_gamma_multi_vs_truth,bias_a_truth,bias_a_neutral,bias_a_multi,maxdiff_a_multi_vs_truth,bias_lnMstar_truth,bias_lnMstar_neutral,bias_lnMstar_multi,maxdiff_lnMstar_multi_vs_truth,bias_tfp_growth_truth,bias_tfp_growth_neutral,bias_tfp_growth_multi,maxdiff_tfp_growth_multi_vs_truth
exog,E2,100,0.08,0.09,0.0,0.16,-0.0005599606810877882,-0.0006912325600481595,-0.0005602306632171403,2.833243692970666e-05,-0.006900629996491643,-0.00934358619024486,-0.0069056308657519435,0.00035682533150144247,0.04712670198915875,0.07904883086176198,0.04717154608621687,0.004051261552563634,-0.0006189927125231433,-0.000630292681370534,-0.0006189911524838935,2.817256068349261e-06
exog,E3,100,0.07,0.08,0.0,0.13,-0.0012853855299688186,-0.0014119023098107008,-0.0012848156231083678,2.9586722443020186e-05,-0.007408645255488292,-0.009129982446695358,-0.007401971740637836,0.0002866907141622077,0.0994344136443325,0.1188395143058519,0.09936251623603987,0.0030755819588939026,0.00022081987604997716,0.00020869030487113082,0.0002209336245664123,2.2135700712966333e-06
exog,E4,100,0.08,0.14,0.01,0.19,-0.0008790658251648865,-0.0008791370359974441,-0.0008789237363780911,1.4433186669882136e-05,-0.007588019610512717,-0.007587975271443222,-0.007583700786267606,0.00017071382462563456,0.11473084892763788,0.11471890229342165,0.11468443480643357,0.0017841096439750181,7.689005253873616e-05,7.693230912795196e-05,7.69221033405032e-05,2.7773584466428414e-06
funding,E2,100,0.17,0.14,0.0,0.38,0.022267363454087113,0.022267921448257386,0.02226743991249918,1.8513590792940127e-05,-0.004805760103700839,-0.004800026766609372,-0.004804681707188441,0.00014410519299001834,0.34072154333160465,0.34069079517126793,0.3407110646002202,0.0017190618050233475,-0.02606700920740726,-0.026067050154371402,-0.02606712066244043,2.6571950000053857e-06
funding,E3,100,0.17,0.08,0.0,0.14,0.007522326994281396,0.0075224255279823125,0.007522127039720545,1.97087028973586e-05,-0.007379616529000017,-0.00737892052901972,-0.007381986290380147,0.00018590741759483276,0.20070409893973362,0.20069591070715392,0.20072871332568112,0.002207914846764414,-0.010150188629086596,-0.010150144348439683,-0.01015008133597996,2.436189997290228e-06
funding,E4,100,0.18,0.13,0.01,0.42,0.009322033220523477,0.009322263962880283,0.009322057687691333,1.442382109517748e-05,-0.006453534171943505,-0.006452717004841466,-0.006453167787772882,0.0001537406387074336,0.2124915925647512,0.21256711008694024,0.2124962808940526,0.0018471096852388236,-0.012099057332329431,-0.012099117433932756,-0.012098975330107644,3.078780813570159e-06
target,E2,100,0.07,0.1,0.0,0.15,-0.048452591424406805,-0.05356755795577183,-0.052760887450526754,0.06014885757977183,-0.02555984553436861,-0.09152195691990515,-0.0737429523613459,0.538610023272839,-0.18159183954495986,0.5145117535581403,0.2986502302483337,5.721227568337458,0.052557654491487436,0.05260246585489675,0.05265763857970654,0.0027335806698508547
target,E3,100,0.03,0.02,0.0,0.04,-0.021928316700313435,-0.02253592024516907,-0.02219922439005014,0.017502532759749084,-0.011334628126132604,-0.02260337661323496,-0.015333603010312566,0.20639141932789667,-0.006704284224355623,0.12637714573646872,0.03829741310351634,2.4362438349142606,0.022983158116046964,0.02296944747219002,0.02299096418009474,0.0004409440337735382
target,E4,100,0.02,0.03,0.0,0.05,-0.025575080133123186,-0.02672212928224628,-0.02618738171813718,0.023613975406758386,-0.03132362581847098,-0.048005009902811556,-0.04033877688130856,0.31680220966495887,0.22092424917389536,0.4122262536235482,0.3246899264372322,3.5344640208530134,0.02591262995734413,0.02595353573110738,0.025944388790113307,0.0025564292849790393
predet,E2,100,0.17,0.23,0.01,0.44,0.018268482300506424,0.018267853316318635,0.018267885478216728,2.5127697720700448e-05,0.0024367044662312394,0.002431018064632742,0.0024337480799932402,0.00028501271124153904,0.3485310179576932,0.34860090304696584,0.3485703625182671,0.003464569243931681,-0.018626927003806887,-0.01862685796975034,-0.018626927888322462,3.0241228156369093e-06
predet,E3,100,0.07,0.1,0.0,0.18,0.003671113447612474,0.0036713418007574506,0.0038757627158139962,0.020218201916645195,0.0006676824344115517,0.0006700207014315962,0.002558629833096915,0.18633998886326608,0.15419090062506208,0.15417192856721162,0.13109756010875848,2.277967369387559,-0.002739467429041757,-0.0027394611689020255,-0.0027364792070914954,0.00027075606802315355
predet,E4,100,0.15,0.19,0.0,0.37,0.00565829678956272,0.005658388005352697,0.005658077580632367,1.5746188350485024e-05,0.000520213992670695,0.0005211768297561891,0.0005184592781637915,0.00014143683148049035,0.17230910663412366,0.17228773301532085,0.17229530624039022,0.00273678843631453,-0.0050074215552292165,-0.005007406422920275,-0.005007261579364247,3.3334366821569095e-06
