rule,param,share_dropped,slope_y_on_c,slope_omega_on_c,gamma_true,bias
exog,0.0,0.0,0.1780291560230469,-0.0004154620906717,0.1782864910313901,-0.0002573350083431
exog,0.0,0.25,0.112116585116236,-0.0637778485311984,0.1782864910313901,-0.0661699059151541
exog,0.0,0.5,0.0816007301828967,-0.093088774565282,0.1782864910313901,-0.0966857608484934
exog,0.0,0.75,0.0572352923507,-0.1164241124438806,0.1782864910313901,-0.1210511986806901
funding,2.0,0.0,0.2783091035454354,0.100015637533955,0.1782864910313901,0.1000226125140452
funding,2.0,0.25,0.212869200565792,0.0376361729480048,0.1782864910313901,0.0345827095344018
funding,2.0,0.5,0.1718748886852577,-0.0014612042017158,0.1782864910313901,-0.0064116023461324
funding,2.0,0.75,0.1322266250947658,-0.0393289445323195,0.1782864910313901,-0.0460598659366243
target,0.1,0.0,0.0245687420700676,-0.1536619943111586,0.1782864910313901,-0.1537177489613225
target,0.1,0.25,0.0138248869352442,-0.1619791033359333,0.1782864910313901,-0.1644616040961459
target,0.1,0.5,0.0096132781435938,-0.1652325542789194,0.1782864910313901,-0.1686732128877963
target,0.1,0.75,0.0064265432444391,-0.1676348679089647,0.1782864910313901,-0.1718599477869509
