constraint,T,bar_frac_of_unconstrained,w,1+T/(3D),multiplier,abs_err_formula
data,0.0,0.8,0.8470903436930984,1.0,0.18051162896881578,1.284945927437775e-09
data,0.0,0.5,0.563097379542968,1.0,0.7758917710276592,1.473961175335603e-09
data,0.0,0.2,0.13195651722836735,1.0,6.578254179423482,3.7195956870128555e-09
memory,0.0,0.8,1.1809344672232023,1.0,0.18093446911393585,1.8907335697093686e-09
memory,0.0,0.5,1.7841969391802461,1.0,0.7841969441102492,4.930003072445288e-09
data,1000000000000.0,0.8,1.3998819667305469,1.7497581233623756,0.14283837863615645,1.3519214636659171e-09
data,1000000000000.0,0.5,1.0285702390534264,2.199612997379804,0.5175979199023573,1.2271819116449478e-09
data,1000000000000.0,0.2,0.4648673355772444,3.9990324934495027,1.9010908809846683,1.5646031692462259e-09
memory,1000000000000.0,0.8,2.0005609327639404,1.4024850191800848,0.4264401519193939,1.1059973825666702e-08
memory,1000000000000.0,0.5,3.7612704115869997,1.1120166751889526,2.382386734076647,3.864413322673954e-08
