dataset,lam,objective,n,a,E,alpha,beta,sigma_star
rw,0.0,0.006758871627355383,121,0.7309965888635516,2.9334986961228173,0.2598364463703983,0.7060860498264979,0.6743264541013911
rw,0.25,0.006701614862186213,121,0.6201757966843264,3.0876377889129505,0.43424911317103965,0.7090406229233538,0.6362760572256517
rw,0.5,0.006692924643984064,121,0.5691364900169318,3.123492872705294,0.5361687450011421,0.7082363451913696,0.6164458334890995
rw,0.75,0.006691724252387194,121,0.5440126838922986,3.1311334964459747,0.5936305956612395,0.7082270979440529,0.6057196237964464
rw,1.0,0.006693239337966157,121,0.5293858620506762,3.130757011032141,0.6298123026919362,0.70846517753063,0.5991113716127211
rw,1.5,0.0066992247980549235,121,0.5090829092022151,3.128366739234601,0.6835682051935263,0.7088628549732034,0.5895477209496204
owt2,0.0,0.006875601708716766,116,0.7315631865118435,2.542997017973487,0.24079607941156597,0.6562346828098384,0.6903620168901579
owt2,0.25,0.006851106615139055,116,0.5880871189247031,2.73195970123012,0.45427449610740006,0.6485667040063675,0.644570531010955
owt2,0.5,0.006847249696098179,116,0.549145187123777,2.748363928919733,0.5326382554920708,0.6487581503577666,0.6286547618908703
owt2,0.75,0.00684621454018265,116,0.5234504145482565,2.7566013437624526,0.5905786687289398,0.6487019575863736,0.6174210359400084
owt2,1.0,0.006846502560956839,116,0.5047844750680076,2.7612439169635445,0.6362353042692246,0.6485291512809086,0.6088716640307895
owt2,1.5,0.006848761410150232,116,0.4791340031236947,2.765515403901268,0.7044975810201313,0.6480529506810859,0.5965607322211249
