dataset,hparams,warmup,decay,count,loss,n_budgets,a,a_lo,a_hi,a_se,r2,a_unweighted,logk,N_at_chinchilla,N_at_chinchilla_lo,N_at_chinchilla_hi,C_min,C_max,n_boot,run_set
rw,base,long,kaplan,kaplan,train,11,0.836633151221371,0.8232844519035509,0.8454958454118874,0.00583202136393955,0.9990164330526832,0.8348173132031771,-17.0310497640615,3088574783376.671,2540776705801.0234,3539090894821.7534,1.25e+16,1.28e+19,1000,"Kaplan setup (untuned, long warmup)"
rw,base,long,kaplan,standard,train,11,0.6999018783817379,0.6861123346039337,0.7102800908379847,0.006038776885753603,0.9982129529945915,0.7006690281004954,-10.981186424729792,736483751007.7345,598183065203.0166,859297990192.1643,2.5e+16,2.56e+19,985,"Kaplan setup (untuned, long warmup)"
rw,base,long,kaplan,attention,train,10,0.7170576329098811,0.7030771868530588,0.7278586935700012,0.00610954978709811,0.9994218556882002,0.7159159360671484,-11.661809202837222,953573240787.7205,784721200147.1982,1112106917625.5515,5e+16,2.56e+19,1000,"Kaplan setup (untuned, long warmup)"
rw,base,long,kaplan,total,train,10,0.6612114613739966,0.6446339314824455,0.6707174325953026,0.006640203478307246,0.9939272538021486,0.660997489051834,-9.193917445693,529318537632.0631,419951791179.02716,604441324001.1687,5e+16,2.56e+19,1000,"Kaplan setup (untuned, long warmup)"
rw,tuned,short,const,kaplan,train,11,0.6197983010856589,0.6129288531131003,0.6338379841957094,0.005327177832149931,0.9960726274674102,0.6228380166453005,-7.566949203069779,279212849495.8618,252866910766.00497,345544400661.6393,1.25e+16,1.28e+19,1000,"Tuned (short warmup, const LR)"
rw,tuned,short,const,standard,train,12,0.5019618103853584,0.4943431206367198,0.5111213018113432,0.004295440115292342,0.9964550846649539,0.5002481459462064,-2.3317514757408624,82918774584.43129,74048515460.93587,95287910546.21155,1.25e+16,2.56e+19,1000,"Tuned (short warmup, const LR)"
rw,tuned,short,const,attention,train,12,0.5046555148216576,0.4961691240410305,0.5123316539090749,0.004239535896541904,0.9948983194360839,0.5032964206670575,-2.356078899255987,93781092256.6147,84110215406.59625,105335390006.54626,1.25e+16,2.56e+19,1000,"Tuned (short warmup, const LR)"
rw,tuned,short,const,total,train,12,0.45968636075167646,0.4535870971739603,0.4663372563643959,0.0031844838812209856,0.9924917383481057,0.4599176842824066,-0.3648269468101155,58616007015.27094,53563096065.853,65096697289.28312,1.25e+16,2.56e+19,1000,"Tuned (short warmup, const LR)"
owt2,base,long,kaplan,kaplan,train,11,0.8616217470182804,0.8172777090551053,0.895577120840924,0.020036747523168735,0.997934604710914,0.8691531352594477,-18.095536765746353,4182352685377.283,2132070729720.2454,6877415579606.436,1.25e+16,1.28e+19,849,"Kaplan setup (untuned, long warmup)"
owt2,base,long,kaplan,standard,train,11,0.6955374594503798,0.6572085080338655,0.7228040828291112,0.016631590583471023,0.9983321012114807,0.6917159517176539,-10.839818149649947,668065601859.4412,387897544024.54156,983319640436.805,2.5e+16,2.56e+19,603,"Kaplan setup (untuned, long warmup)"
owt2,base,long,kaplan,attention,train,10,0.7125299445804576,0.6685385168127899,0.7393361672803149,0.01765154987165093,0.9986965942317887,0.713330584534615,-11.491747143081962,882248111075.3973,467451867729.3332,1287166461561.0571,5e+16,2.56e+19,877,"Kaplan setup (untuned, long warmup)"
owt2,base,long,kaplan,total,train,10,0.6701631954642077,0.6301459967097197,0.6982103854379045,0.01702519673018655,0.9960235732801431,0.6743476911492253,-9.602663871818393,574087290025.9749,318483480290.4513,862988661247.3043,5e+16,2.56e+19,851,"Kaplan setup (untuned, long warmup)"
owt2,tuned,short,const,kaplan,train,11,0.6305529211444653,0.595826192716119,0.6632480936315968,0.017179333029610604,0.9958275833020918,0.638688867428367,-8.045484239300809,311702939129.9735,185605328860.82166,511912776571.81,1.25e+16,1.28e+19,1000,"Tuned (short warmup, const LR)"
owt2,tuned,short,const,standard,train,12,0.5013921847717935,0.4802040476118054,0.5261524888259794,0.01186562249081897,0.9986684737398083,0.502416326485525,-2.3588332428234473,78226115900.05824,58254952422.03703,113637698262.55574,1.25e+16,2.56e+19,1000,"Tuned (short warmup, const LR)"
owt2,tuned,short,const,attention,train,12,0.506814808207982,0.48410951182570433,0.5337771523624275,0.012782721121432989,0.9970341445041345,0.5064876391739818,-2.4752481150913894,93688398022.25803,66480117241.0633,140933398103.31668,1.25e+16,2.56e+19,1000,"Tuned (short warmup, const LR)"
owt2,tuned,short,const,total,train,12,0.4711973344889964,0.449531023804143,0.49453366430098444,0.011554534642906922,0.9979067923567059,0.4713876733748001,-0.868551966300263,66505859773.73746,47459323089.987495,95680532800.14763,1.25e+16,2.56e+19,998,"Tuned (short warmup, const LR)"
