dataset,hparams,warmup,decay,count,loss,n_budgets,a,a_lo,a_hi,a_se,r2,a_unweighted,logk,N_at_chinchilla,N_at_chinchilla_lo,N_at_chinchilla_hi,C_min,C_max,n_boot,step,label,a_porian,a_porian_lo,a_porian_hi
rw,base,long,kaplan,kaplan,train,11,0.836633151221371,0.8232844519035509,0.8454958454118874,0.00583202136393955,0.9990164330526832,0.8348173132031771,-17.0310497640615,3088574783376.671,2540776705801.0234,3539090894821.7534,1.25e+16,1.28e+19,1000,1,"Reproduce Kaplan (non-embedding, no head FLOPs)",0.835,0.82,0.85
rw,base,long,kaplan,standard,val,11,0.7047124717051724,0.6905873741642977,0.7163035820465273,0.006767505991793034,0.9976447957409169,0.6992015483049954,-11.203685132873012,767145984543.0891,622695894479.5962,912963854226.1378,2.5e+16,2.56e+19,998,2,+ count last-layer (head) FLOPs,0.706,0.69,0.72
rw,base,short,kaplan,standard,val,12,0.6017766697477046,0.5911002307011278,0.6172309630508717,0.006840169742620616,0.9924633703823014,0.6032493288820225,-6.538995976677295,291076309134.8986,248210022119.56458,356543042509.13007,1.25e+16,2.56e+19,849,3,+ warmup scaled to model size,0.602,0.59,0.62
rw,base,short,chinchilla,standard,val,12,0.5715089375242319,0.5610643846491801,0.5881680646211215,0.007068520970117281,0.997805524775845,0.5714940102376985,-5.347527870072085,182814119654.70264,155429526207.5589,238114636424.7332,1.25e+16,2.56e+19,1000,4,+ cosine decay matched to budget,0.571,0.56,0.59
rw,tuned,short,const,standard,val,12,0.4961363762138621,0.49029223506897324,0.5044209328510592,0.003454265161474042,0.9974807782648898,0.4962232932973346,-2.099372262786517,76051352546.22626,69923850526.522,86277523981.06612,1.25e+16,2.56e+19,1000,5,"+ tuned LR, batch, beta2 (constant LR)",0.497,0.49,0.5
owt2,base,long,kaplan,kaplan,train,11,0.8616217470182804,0.8172777090551053,0.895577120840924,0.020036747523168735,0.997934604710914,0.8691531352594477,-18.095536765746353,4182352685377.283,2132070729720.2454,6877415579606.436,1.25e+16,1.28e+19,849,1,"Reproduce Kaplan (non-embedding, no head FLOPs)",0.864,0.82,0.9
owt2,base,long,kaplan,standard,val,11,0.6996713542566328,0.6664241778832015,0.722147620613585,0.014735665971099994,0.9975139155594688,0.7014125162632443,-11.008792543069987,707448075833.7642,431596911878.9781,996696860006.4188,2.5e+16,2.56e+19,839,2,+ count last-layer (head) FLOPs,0.699,0.66,0.72
owt2,base,short,kaplan,standard,val,12,0.6020593630878439,0.5696201056199182,0.6308942196144208,0.015398992268402913,0.9940366362638844,0.6004420616595479,-6.586590228177204,281874885804.3197,170380260392.38196,440203997114.2044,1.25e+16,2.56e+19,761,3,+ warmup scaled to model size,0.603,0.57,0.63
owt2,base,short,chinchilla,standard,val,12,0.5740672507607674,0.5430305084651785,0.6043357528511955,0.015681863546895658,0.9987459090517682,0.5692063831323778,-5.428297820330574,193973009692.75903,116167488710.9061,317179517658.83276,1.25e+16,2.56e+19,871,4,+ cosine decay matched to budget,0.574,0.54,0.61
owt2,tuned,short,const,standard,val,12,0.5171690017651958,0.4906918372556726,0.5414255588851539,0.012808767582450552,0.9980786519210111,0.5171929316491394,-3.008076523001325,96915693820.27856,67562339074.95334,140896713748.97443,1.25e+16,2.56e+19,995,5,"+ tuned LR, batch, beta2 (constant LR)",0.518,0.49,0.54
rw,tuned,long,const,kaplan,train,11,0.7108411498075257,0.7029885273532482,0.7219384013468083,0.00494782519311242,0.9964373352300957,0.7075951117825442,-11.595553739071221,725047576412.7898,649230203432.6508,845953183622.5234,1.25e+16,1.28e+19,1000,kaplan_adj,"Tuned, long warmup, Kaplan count (Kaplan adjusted)",0.717,,
