rule,label,max_snap_log2,u_mean,u_n,u_n_se,u_d,u_d_se,free_E,free_alpha,free_beta,free_a,free_gamma,free_sigma_star,E1.2_E,E1.2_alpha,E1.2_beta,E1.2_a,E1.2_gamma,E1.2_sigma_star,E1.4_E,E1.4_alpha,E1.4_beta,E1.4_a,E1.4_gamma,E1.4_sigma_star,E1.6_E,E1.6_alpha,E1.6_beta,E1.6_a,E1.6_gamma,E1.6_sigma_star,free_a_sd,free_sigma_star_sd,free_a_p05,free_a_p95,E1.4_a_sd,E1.4_sigma_star_sd,E1.4_a_p05,E1.4_a_p95
frontier,"Frontier: min over (LR, batch) grid",0.0,0.0,0.0,0.0,0.0,0.0,1.4267534555353811,0.2373586318175479,0.30557655131600364,0.56282326290289,0.13359095963771803,0.7864927164739938,1.2,0.1719351396383432,0.3086998797427966,0.642275047166299,0.11042964992076108,0.8062451688273566,1.4,0.2273121779023601,0.30560105423048795,0.5734536802687342,0.13035300498800964,0.7896046238883175,1.6,0.3254920122952037,0.3140066527010762,0.4910200284826284,0.15982309714805892,0.7577196482510131,,,,,,,,
steplaw,"Step Law rule (in-sample), snapped to grid",0.45270715214174884,0.0009556714393842229,-0.00048292950696113897,0.00038670790690527735,6.918002694134602e-05,0.00024678028349419664,1.4373702451377028,0.2577365451021478,0.276182340770846,0.5172739681595437,0.1333204054247192,0.7892912480941368,1.2,0.1808225718070962,0.2784854801613966,0.6063152582844332,0.10963548432887502,0.8132368770960388,1.4,0.24207488355237855,0.27561972760872044,0.532398293639861,0.12888025493635438,0.7943775194711359,1.6,0.34622414619584563,0.2904999962999966,0.45624152896306036,0.15796183382432274,0.7585169672345251,,,,,,,,
best_fixed,"One fixed (LR, batch) for all cells (best on average)",0.002310160687201801,0.002858264272687656,-0.0007853311648659354,0.0008390833085807241,-0.0002605020583734993,0.00048091485814363453,1.6261310578664006,0.3262430187294406,0.3469271899141129,0.5153632550275443,0.16813366406241662,0.7481753288784629,1.2,0.16475244076896164,0.35681976156599887,0.6841234252297145,0.11271100409381771,0.7931559517304371,1.4,0.21528692194202925,0.35033235784815986,0.6193783881944621,0.13334406671180107,0.7795388878444801,1.6,0.3086391408983629,0.34612322361063624,0.5286241885179078,0.16315411540226132,0.7533630982334277,,,,,,,,
porian_base,"Porian 'base' fixed: LR 3e-3, batch 0.5M tokens",0.745487854869787,0.004060226732243201,0.003173584995066074,0.0015880860235725595,-0.002310734949126785,0.0011171393291316894,1.5336644540510471,0.26142769250205206,0.338353087969316,0.5641279263790415,0.14747866206924032,0.7692956325484408,1.2,0.15816434695642692,0.34383503314024333,0.6849311906999385,0.10833169448714368,0.799360709642832,1.4,0.20752205630071463,0.3398477750050261,0.6208741431626319,0.12884507889305366,0.7851235322885299,1.6,0.2987326744022044,0.3396285032846506,0.532031889087174,0.15893530909426848,0.7580463269829762,,,,,,,,
porian_rule,"Porian tuned N-rule (LR, batch in N)",0.3815929847058573,0.007689727790534849,0.007243140156876468,0.0022469202627381927,-0.005731454833118286,0.0014113699642431265,1.7468781340466246,0.4203897701593032,0.34849276511275795,0.4532457808908969,0.19053988965439805,0.722313053920681,1.2,0.146283220867583,0.3627692113947148,0.7126362402051973,0.10424672452418081,0.7971136729879701,1.4,0.19271704187480404,0.3563649320792058,0.6490195434990811,0.1250771265420786,0.7845961881318783,1.6,0.28394719037384086,0.3464759692570444,0.5495927044620429,0.15605530428195774,0.7603339381640217,,,,,,,,
deepseek,"DeepSeek C-rule (LR, batch in C)",0.3970705491746823,0.007530234336413174,-0.001552218632786705,0.0006055156985723206,-0.00019172693486254537,0.00028798558626480237,1.526932105727975,0.2995957766955479,0.28557365337597784,0.48801874927244904,0.14620835623026923,0.7736436833637882,1.2,0.17947465103919563,0.2899647093701573,0.6176829934271105,0.11085843969817642,0.8099004300589365,1.4,0.23947814628832315,0.2839910661878993,0.5425172281756667,0.12992102013298787,0.7925596992076814,1.6,0.34413327817078654,0.29264422050757627,0.459570605297709,0.15815353895203324,0.758501618358949,,,,,,,,
bjorck,"Bjorck (N, D)-rule, batch 0.5M tokens",0.26584779346139453,0.00906835251765656,-0.0056915273637826325,0.0006824571053757549,0.0003706229309538791,0.00035836549143867657,1.4709649308444996,0.2651679439967076,0.32195771883277274,0.5483625384065002,0.14540816687406727,0.7730586993647018,1.2,0.18122977933974527,0.32630909487166593,0.6429243383153042,0.1165170359650343,0.7975948132126065,1.4,0.23689904097729295,0.32204946619245,0.5761701875243567,0.13649416486422714,0.781571022002333,1.6,0.3336511785275912,0.328783450380104,0.49632588036987607,0.16559971491915337,0.75119215258274,,,,,,,,
random_k1,"Best of 1 random configuration(s) per cell (MC, R=200)",,0.02578298207013679,-0.004379943798955432,0.011948299128954877,-0.006953040317948177,0.007142484654022335,2.7041880235926446e-09,0.15965934012615052,0.2580627465372969,0.5648294487794863,,0.7604746516354698,,,,,,,1.4,0.24585376106605325,0.2689851515682085,0.539353123440849,,0.7385862086389314,,,,,,,0.31572472627263853,0.13386050866852836,0.03790387773847035,0.930792370409953,0.2658921063523734,0.09579021635275227,0.0727211238529174,0.874036790200345
random_k4,"Best of 4 random configuration(s) per cell (MC, R=200)",,0.007033217784816874,-0.001598119791391263,0.0025341990189000265,-0.002019166344027652,0.0020239642816481836,1.300472998473114,0.2160819274686776,0.289171716028959,0.5891070335690732,,0.7927547417808299,,,,,,,1.4,0.23537647037197923,0.2923135670526805,0.5548263176269408,,0.7859259518096942,,,,,,,0.1771785595376303,0.05154276579317741,0.2746492626693553,0.8533694939632865,0.1388788894980529,0.025101508719156358,0.25572959579705895,0.7317448967315267
random_k16,"Best of 16 random configuration(s) per cell (MC, R=200)",,0.0020635970579418236,-0.00039669625076043313,0.0008382158003841093,-0.0006273854099556684,0.0005572813556140302,1.4162505090207573,0.23981004476722673,0.29458966118078234,0.5514852795308012,,0.7883542281138831,,,,,,,1.4,0.23339865119000283,0.29437847244771387,0.558422243685978,,0.7910936696212374,,,,,,,0.06627961975052728,0.01657679185749441,0.4442581832421689,0.6631993053745434,0.040525417211865325,0.005363592831687618,0.48496132237908,0.6143531442515823
