tag,d,L,lr,seed,D_target,dlnL_edu,bpb_edu_edu,bpb_web_edu,dlnL_web,bpb_edu_web,bpb_web_web,dlnL_wiki,bpb_edu_wiki,bpb_web_wiki
main,128,2,0.005722,0,25000000,-0.035725225828675655,1.7264753631592713,1.7892690665647073,0.03277727244079509,1.9258495668811362,1.8637487779170243,,,
main,128,2,0.005722,0,50000000,-0.03733008121480852,1.6718797625963011,1.7354707130754763,0.035060597240733404,1.8761340346786648,1.8114954105614025,,,
main,128,2,0.005722,0,100000000,-0.037696250758593175,1.6348598394255076,1.697664234042508,0.03715463257021989,1.8416053498776623,1.7744367194820436,,,
main,128,2,0.005722,0,200000000,-0.02798293997313983,1.5764559673893401,1.6211928557140152,0.04417548251018255,1.7756745560782516,1.6989406330961176,,,
main,128,2,0.005722,0,400000000,-0.03518092130409961,1.5402482225034726,1.5954000314132717,0.036073951432838314,1.7344292004852044,1.6729765693926226,,,
main,128,2,0.005722,0,800000000,-0.035784737333098504,1.5274821917235004,1.5831325184507148,0.03622432205584092,1.7218464209808897,1.6605898881463674,,,
main,192,3,0.003973,0,25000000,-0.06535956557856776,1.6025944815680413,1.7108382113832914,0.007396268523827798,1.7979411035968063,1.7846921053774096,,,
main,192,3,0.003973,0,50000000,-0.03964212786882948,1.5265348613775955,1.5882654332479582,0.03481192444766701,1.7237097163441957,1.664736504954379,,,
main,192,3,0.003973,0,100000000,-0.03816141692462499,1.4798126885882141,1.5373757968921962,0.039520956072900515,1.6783747493853771,1.6133374085500598,,,
main,192,3,0.003973,0,200000000,-0.03836642281708835,1.449241235456077,1.5059238390144625,0.04192271785782564,1.649194966674395,1.5814854316756881,,,
main,192,3,0.003973,0,400000000,-0.03980158563109992,1.4252112089644897,1.4830808880364834,0.041763532111055324,1.625122971765309,1.5586498344017254,,,
main,192,3,0.003973,0,800000000,-0.041042417709865886,1.4068857232948722,1.4658290288684104,0.042140859662701424,1.6074192540340562,1.5410886548860716,,,
main,256,4,0.003067,0,25000000,-0.04237406802334304,1.5386340706784745,1.6052333312939857,0.03145900199399598,1.7313469747950707,1.6777283431666763,,,
main,256,4,0.003067,0,50000000,-0.042658671572679774,1.4662820924525841,1.5301850560460923,0.03670818443169682,1.663328430865518,1.6033777363958004,,,
main,256,4,0.003067,0,100000000,-0.04279043964056295,1.4166806531138132,1.4786167267650974,0.03984465902044876,1.6158740595279917,1.5527559192865261,,,
lrcorner,128,2,0.002861,0,25000000,-0.03815022914804744,1.7420588045880123,1.8098027545409838,0.02958284866786587,1.9400983506295972,1.8835453386004466,-0.00666764111038709,2.234424676612937,2.24937279741763
lrcorner,128,2,0.002861,0,50000000,-0.03919063686744151,1.681310384129555,1.7485102100110228,0.03285360110295754,1.8855323151299683,1.8245923189905164,-0.010123130344829034,2.1656072169249914,2.1876412797360802
lrcorner,128,2,0.002861,0,100000000,-0.03756351362624971,1.6417475778474802,1.7045902927739762,0.03690398189943034,1.848252962118825,1.7812882993901749,0.004037285041668781,2.139968800254322,2.1313465531736453
lrcorner,128,2,0.002861,0,200000000,-0.009183432890510268,1.6113393121845168,1.6262050935989256,0.06661305017315056,1.820408283403719,1.7030959763200422,0.05400712501778482,2.0980944558292025,1.9877878868515033
lrcorner,128,2,0.002861,0,400000000,-0.032259039015405055,1.546825025777118,1.5975376877548944,0.04001540308338125,1.7430712706954108,1.6746986728520084,0.00706227240454993,1.9534389081794656,1.9396917905661393
lrcorner,128,2,0.002861,0,800000000,-0.03585135983911608,1.528246663102635,1.5840303701569571,0.03785020340574441,1.7244640504348243,1.6604125629741673,0.0012026908257252167,1.9204073570924582,1.9180990891270164
lrcorner,640,10,0.000672,0,25000000,-0.04556758918271131,1.461070569057385,1.5291882249484015,0.03514795425164302,1.657434591027961,1.6001910456052821,-0.0008041880324810569,1.8284971773281857,1.8299682242955222
lrcorner,640,10,0.000672,0,50000000,-0.04827148041405804,1.3577548382297218,1.4249033142331018,0.04041305228112341,1.558293994091519,1.4965741215783646,-0.0016292092443614958,1.6911493602474834,1.6939068420662926
lrcorner,128,2,0.011444,0,25000000,-0.0341688081960736,1.7274677663042923,1.787513281062619,0.03524330062227432,1.928244797226927,1.8614706680013975,-0.004279376575830884,2.207061754900526,2.2165268411655283
lrcorner,128,2,0.011444,0,50000000,-0.035587446265642364,1.6727631971982209,1.733364494645005,0.03753848033279461,1.8780897709866529,1.8088959751345408,-0.011157389251537642,2.1387096404917303,2.1627056740571984
lrcorner,128,2,0.011444,0,100000000,-0.00754383151940613,1.638095948654991,1.6505001974593507,0.06579184438352137,1.844635072307621,1.7271793092001686,0.05597538297228877,2.120768787908902,2.0053192515346865
lrcorner,128,2,0.011444,0,200000000,-0.015981346565911436,1.5882523870952736,1.6138387062775055,0.05790614442934683,1.7912509073724818,1.6904724774018585,0.0419787899452051,2.0265127928950393,1.9432030920575716
lrcorner,128,2,0.011444,0,400000000,-0.035644808052665955,1.5417600891746046,1.5977070168662855,0.036415207596682264,1.736452246586539,1.6743564548997552,-0.0027347793113983165,1.9198684747619834,1.9251260772618322
lrcorner,128,2,0.011444,0,800000000,-0.03601569947633981,1.531647314168838,1.5878160706804039,0.035784080562922704,1.725671943901181,1.6650121600991201,-0.0015867252731649462,1.9062636474491785,1.9092907651228468
lrcorner,640,10,0.00269,0,25000000,-0.046149802054574085,1.604389914107017,1.6801672979210263,0.029112346284412727,1.8033901278463123,1.75164606006521,-0.021951369237590446,2.0308120681812682,2.075884059846631
