cell,truth,noise_sd,rho_trunk,M_anchor,chi_true,statistic,corpus,conv,n_rep,mean,mc_se,true_value,rmse,levels_mean,n_points,power_normal,mde80_normal,reject_val1,decide_factor_biased,decide_neutral,decide_inconclusive,ci_halfwidth_mean,se_boot_mean,cover_true
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_kappa,edu,P,150,0.7372055731660659,0.0025462070368634463,0.7370283018867925,0.0025438895899516437,,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_chin,edu,P,150,0.7370625457233786,0.002461798339366451,0.7370283018867925,0.002453817576137267,,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_modelfree_P,edu,P,150,0.7371743939528499,0.008571157851456446,0.7375957146469775,0.00855292307123437,8.0,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_modelfree_P6,edu,P,150,0.7418327696886363,0.005412948763517718,0.7370283018867925,0.007224097988444381,9.0,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,q3_slope,edu,P,150,-0.02025863129047101,0.030088706027104426,,,,17.0,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,q3_slope_mainonly,edu,P,150,-0.01678863461979263,0.029883791128800047,,,,17.0,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_kappa,web,P,150,0.7369376164869437,0.0021959588513585817,0.7370283018867925,0.0021905047097476814,,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_chin,web,P,150,0.7369426655820475,0.0021728301281147594,0.7370283018867925,0.0021672678046861893,,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_modelfree_P,web,P,150,0.73897281171691,0.006214050422392509,0.7375957146469775,0.006344555895230692,8.706666666666667,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_modelfree_P6,web,P,150,0.7407903675462088,0.004241196230946788,0.7370283018867925,0.005658707024756378,10.0,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,q3_slope,web,P,150,-0.014198599712910874,0.023667195686041375,,,,15.0,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,q3_slope_mainonly,web,P,150,-0.010882913657656765,0.030494975424516735,,,,15.0,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,tilt_chi,val1,P,150,0.22013136245694434,0.00724093663753205,0.22,0.00721795527795719,,,1.0,0.020274622585089736,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,tilt_chi,val2,P,150,0.22057936608669698,0.007374085099710226,0.22,0.007372264368098253,,,1.0,0.02064743827918863,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,tilt_chi_bootstrap,val1+val2,P,60,0.219089381491779,0.00605650752892501,0.22,0.0060744674491932105,,,,,1.0,1.0,0.0,0.0,0.008788584889083037,0.004813698395537016,0.7333333333333333
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_kappa,edu,T,150,0.6577285444226717,0.0038149648506135623,,,,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_chin,edu,T,150,0.6551968793100528,0.003584955081267919,,,,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_modelfree_T,edu,T,150,0.6957412937311406,0.007533108758455681,,,9.0,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,q3_slope,edu,T,150,0.11098187736051472,0.018224393512419768,,,,12.0,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,q3_slope_mainonly,edu,T,150,-0.09428840107718826,0.06880861320985299,,,,12.0,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_kappa,web,T,150,0.6572356970398412,0.0035664813178656655,,,,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_chin,web,T,150,0.6553403050425607,0.0034485603587555824,,,,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,sig_modelfree_T,web,T,150,0.6884402148559616,0.005824439526671722,,,9.093333333333334,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,q3_slope,web,T,150,0.11577652276479507,0.015483176555504146,,,,10.0,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,q3_slope_mainonly,web,T,150,-0.07885201221973545,0.06859997621761191,,,,10.0,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,tilt_chi,val1,T,150,0.2210283985818208,0.008636738009108082,,,,,1.0,0.024182866425502627,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.22,tilt_chi,val2,T,150,0.22179347878801356,0.008829584276491075,,,,,1.0,0.024722835974175007,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.0,sig_kappa,edu,P,150,0.7368892965081518,0.002532351101925708,0.7370283018867925,0.0025277208280766543,,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.0,sig_chin,edu,P,150,0.7368913100382789,0.002370677620454451,0.7370283018867925,0.002366730177019607,,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.0,sig_modelfree_P,edu,P,150,0.7376837764163855,0.0067137709884575415,0.7375957146469775,0.0066919337729425465,8.673333333333334,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.0,sig_modelfree_P6,edu,P,150,0.7401004330945754,0.004289375771979213,0.7370283018867925,0.005264416052547572,10.0,,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.0,q3_slope,edu,P,150,-0.0188627867622662,0.023404129617008242,,,,17.0,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.0,q3_slope_mainonly,edu,P,150,-0.012260286959966178,0.02862950853771922,,,,17.0,,,,,,,,,
chin_s002_r5,chin,0.002,0.5,20.0,0.0,sig_kappa,web,P,150,0.7367385303739862,0.0025124781150884052,0.7370283018867925,0.0025207995093964874,,,,,,,,,,,
