statistic,scheme,chi_true,n_rep,noise_free_value,truth,mc_sd,mean_boot_se,calibration_factor,cover_noise_free,cover_truth,mean_halfwidth,reject_ci,reject_wcr_p
sig_kappa,wcu,0.22,40,0.7370294142380476,0.737,0.0064896259983203,0.0045766924038121,1.4179729432799388,0.825,0.825,0.0085037690607943,,
sig_kappa,cr2,0.22,40,0.7370294142380476,0.737,0.0064896259983203,0.005796527742504,1.1195712824307087,0.875,0.875,0.0105889321332484,,
sig_mf_P,wcu,0.22,40,0.736281460133994,,0.0207399221984646,0.0065206512803867,3.180651948195369,0.4,,0.0116394847833988,,
sig_mf_P,cr2,0.22,40,0.736281460133994,,0.0207399221984646,0.009862374373384,2.1029339805266516,0.575,,0.0180058086866011,,
sig_mf_P6,wcu,0.22,40,0.7386682096622947,0.737,0.0131418020940699,0.0050576087658725,2.5984220414096333,0.45,0.5,0.0092919091265049,,
sig_mf_P6,cr2,0.22,40,0.7386682096622947,0.737,0.0131418020940699,0.0072199401847375,1.8202092756738892,0.65,0.625,0.0133467695991383,,
q3,wcu,0.22,40,-0.0063662327732574,,0.0744780819983791,0.0336580650269769,2.2127856113738273,0.55,,0.0593934535804515,,
q3,cr2,0.22,40,-0.0063662327732574,,0.0744780819983791,0.042562208687257,1.749864123491259,0.75,,0.0773711193149377,,
chi,wcu,0.22,40,0.2200020792256074,0.22,0.020912761008697,0.0121921947094544,1.7152581226807553,0.675,0.675,0.0226293382211203,1.0,0.975
chi,cr2,0.22,40,0.2200020792256074,0.22,0.020912761008697,0.0148215397938891,1.4109708774873213,0.775,0.775,0.0269706616929616,1.0,0.825
chi,wcu,0.0,40,0.0,0.0,0.0145123380248533,0.0124649337290843,1.1642531232229358,0.8,0.8,0.0232295451327062,0.2,0.075
chi,cr2,0.0,40,0.0,0.0,0.0145123380248533,0.0152129172497523,0.9539483970498556,0.925,0.925,0.028103351955105,0.075,0.05
sig_mf_P,cr2cv,0.22,40,0.736281460133994,,0.020739922198464662,0.012007985591050712,1.7271774721250224,0.65,,0.021919988275783276,,
sig_mf_P6,cr2cv,0.22,40,0.7386682096622947,0.737,0.013141802094069926,0.008369203501111954,1.5702572045624021,0.7,0.675,0.015546384204489182,,
q3,cr2cv,0.22,40,-0.0063662327732574,,0.07447808199837916,0.05369415478165036,1.38707988423037,0.675,,0.09808848487641719,,
