cell,statistic,corpus,scheme,n_rep,noise_free_value,mean_estimate,mean_bias,mc_sd,mc_sd_se,mean_boot_se,factor,factor_mc_se,coverage,coverage_mc_se,mean_halfwidth,truth,kappa,noise_sd,rho_trunk,applied_factor,coverage_calibrated,coverage_calibrated_mc_se,reject_zero,reject_zero_mc_se,mde80_oracle,mde80_uncalibrated,reject_zero_calibrated,reject_zero_calibrated_mc_se,mde80_calibrated
chin_s005_r5,mf_F,edu,wcu,500,0.6950091542213758,0.692726293218808,-0.0022828610025677322,0.01928767016137162,0.0006105405307867217,0.0077528013719928126,2.487832363543945,0.09604279683000265,0.482,0.022346185356789647,0.01346334423483136,chin,1.0,0.005,0.5,1.743444986930914,0.746,0.019467100451787882,,,,,,,
chin_s005_r5,mf_F,edu,cr2cv,500,0.6950091542213758,0.692726293218808,-0.0022828610025677322,0.01928767016137162,0.0006105405307867217,0.012887932681649615,1.4965681958313006,0.05510072423141333,0.726,0.01994612744369192,0.023312910131183584,chin,1.0,0.005,0.5,1.743444986930914,0.91,0.012798437404620923,,,,,,,
chin_s005_r5,mf_F,web,wcu,500,0.6896448816764298,0.6855518888349242,-0.004092992841505771,0.014454919453799663,0.00045756248017332087,0.006562544237206557,2.2026395451701535,0.08035791329739224,0.548,0.02225740326273485,0.011543779518637052,chin,1.0,0.005,0.5,1.743444986930914,0.792,0.018151363585141474,,,,,,,
chin_s005_r5,mf_F,web,cr2cv,500,0.6896448816764298,0.6855518888349242,-0.004092992841505771,0.014454919453799663,0.00045756248017332087,0.010825315336886633,1.3352885346947228,0.048919443217572675,0.76,0.019099738218101316,0.01963923919996337,chin,1.0,0.005,0.5,1.743444986930914,0.924,0.01185107590052481,,,,,,,
chin_s005_r5,mf_F,pooled,wcu,1000,0.6923270179489027,0.689139091026866,-0.0031879269220367514,0.017058975713364337,0.00038164116152578185,0.007157672804599684,2.383313149268551,0.0667136868168757,0.515,0.01580427157448264,0.012503561876734204,chin,1.0,0.005,0.5,1.743444986930914,0.769,0.01332812815064441,,,,,,,
chin_s005_r5,mf_F,pooled,cr2cv,1000,0.6923270179489027,0.689139091026866,-0.0031879269220367514,0.017058975713364337,0.00038164116152578185,0.011856624009268124,1.4387717532435558,0.038950869847882486,0.743,0.013818502089589886,0.021476074665573476,chin,1.0,0.005,0.5,1.743444986930914,0.917,0.008724161850859943,,,,,,,
chin_s005_r5,mf_P,edu,wcu,500,0.7362814601339942,0.7358506866961632,-0.00043077343783086674,0.017929093699722072,0.0005675355443331958,0.007052994934250629,2.5420539596101404,0.10823676265071032,0.5,0.022360679774997897,0.01233954123057089,chin,1.0,0.005,0.5,1.743444986930914,0.72,0.020079840636817812,,,,,,,
chin_s005_r5,mf_P,edu,cr2cv,500,0.7362814601339942,0.7358506866961632,-0.00043077343783086674,0.017929093699722072,0.0005675355443331958,0.012624959870508433,1.4201307476314402,0.057033150429817575,0.74,0.019616319736382767,0.023033393282614396,chin,1.0,0.005,0.5,1.743444986930914,0.928,0.0115599307956406,,,,,,,
chin_s005_r5,mf_P,web,wcu,500,0.7389738221798977,0.7363283352498624,-0.0026454869300353303,0.012975694859401086,0.0004107384438091147,0.006028869075342719,2.1522601830034707,0.07774595239007945,0.532,0.022314838112789434,0.010653869076974902,chin,1.0,0.005,0.5,1.743444986930914,0.794,0.01808668018183547,,,,,,,
chin_s005_r5,mf_P,web,cr2cv,500,0.7389738221798977,0.7363283352498624,-0.0026454869300353303,0.012975694859401086,0.0004107384438091147,0.010135221261089468,1.2802576801373438,0.04498356638897787,0.756,0.019207498535728174,0.018417755965348292,chin,1.0,0.005,0.5,1.743444986930914,0.938,0.010784804124322337,,,,,,,
