i,same_bw,rmse_diff
0,True,4.0766001685454967e-17
1,True,2.2551405187698492e-17
2,True,9.540979117872439e-17
3,True,1.8388068845354155e-16
4,True,3.707971429900425e-17
5,True,1.717376241217039e-16
6,True,3.8163916471489756e-17
7,True,5.0306980803327406e-17
8,True,1.700029006457271e-16
9,True,1.8648277366750676e-16
10,True,1.0581813203458523e-16
11,True,1.0408340855860843e-17
12,True,1.3010426069826053e-18
13,True,1.0408340855860843e-16
14,True,5.724587470723463e-17
15,True,3.122502256758253e-17
16,True,9.562663161322149e-17
17,True,1.8561541192951836e-16
18,True,3.9898639947466563e-17
19,True,2.0990154059319366e-16
20,True,2.749536709423239e-16
21,True,6.331740687315346e-17
22,True,4.163336342344337e-17
23,True,4.5102810375396984e-17
24,True,2.2551405187698492e-17
25,True,4.9439619065339e-17
26,True,1.9081958235744878e-17
27,True,1.3877787807814457e-17
28,True,6.895525817007808e-17
29,True,5.0306980803327406e-17
30,True,1.9081958235744878e-17
31,True,4.85722573273506e-17
32,True,6.678685382510707e-17
33,True,6.071532165918825e-17
34,True,8.673617379884035e-18
35,True,1.4224732503009818e-16
36,True,4.5102810375396984e-17
37,True,5.0306980803327406e-17
38,True,1.0061396160665481e-16
39,True,1.2663481374630692e-16
40,True,6.787105599759258e-17
41,True,1.6479873021779667e-17
42,True,1.0234868508263162e-16
43,True,5.377642775528102e-17
44,True,1.5222198501696482e-16
45,True,1.3877787807814457e-17
46,True,3.469446951953614e-17
47,True,1.2663481374630692e-16
48,True,1.2641797331180982e-16
49,True,9.71445146547012e-17
50,True,1.7520707107365752e-16
51,True,8.847089727481716e-17
52,True,9.410874857174178e-17
53,True,8.673617379884035e-19
54,True,2.0816681711721685e-17
55,True,1.734723475976807e-17
56,True,1.192622389734055e-16
57,True,6.331740687315346e-17
58,True,9.194034422677078e-17
59,True,1.3704315460216776e-16
