truth,noise_sd,rho_trunk,statistic,corpus,conv,n_rep,mean,mc_se_of_mean,sd
chin,0.0,0.5,mean,edu,P,1,0.0062360663228159,,
chin,0.002,0.0,mean,edu,P,150,0.004154767695845624,0.003139625461666107,0.038452401822660146
chin,0.002,0.5,mean,edu,P,500,0.005802942794714388,0.0013079794944430168,0.029247310627503943
chin,0.002,0.9,mean,edu,P,150,0.004987690151094074,0.001725585945197494,0.021134025365260385
chin,0.005,0.0,mean,edu,P,150,-0.005962554963903695,0.007110593576021443,0.08708663014782242
chin,0.005,0.5,mean,edu,P,500,-0.018301896814414204,0.0034915470094940464,0.07807336459864792
chin,0.005,0.9,mean,edu,P,150,-0.01965728427642811,0.005147289240175315,0.06304116098473826
chin,0.0075,0.0,mean,edu,P,150,0.0026543132560950524,0.010163769258915325,0.12448024273864036
chin,0.0075,0.5,mean,edu,P,500,-0.030475000327891792,0.005092998933174675,0.11388291823912483
chin,0.0075,0.9,mean,edu,P,150,-0.01622633858385526,0.007360459712621498,0.09014685284117589
chin,0.01,0.0,mean,edu,P,150,-0.04821924717664514,0.01402258532321699,0.17174089458260977
chin,0.01,0.5,mean,edu,P,500,-0.038476278475350074,0.0067559552584411445,0.1510677521082156
chin,0.01,0.9,mean,edu,P,150,-0.031547138630121485,0.009805118915976583,0.12008769105726975
chin,0.015,0.0,mean,edu,P,150,-0.052160739605964526,0.019562138934376274,0.23958629333327067
chin,0.015,0.5,mean,edu,P,500,-0.05956273183555402,0.009758275617860445,0.21820167624714717
chin,0.015,0.9,mean,edu,P,150,-0.03270742079361026,0.015445642998805808,0.18916972048132816
kappa36,0.0,0.5,mean,edu,P,1,-0.8078113721121963,,
kappa36,0.005,0.5,mean,edu,P,150,-0.9085167191601918,0.014011334438464187,0.17160309994861364
kappa60,0.0,0.5,mean,edu,P,1,-0.5005664511211829,,
kappa60,0.005,0.5,mean,edu,P,150,-0.5750279356186642,0.009630196779568109,0.11794534116267838
chin,0.0,0.5,mean,web,P,1,0.0024387644650206,,
chin,0.002,0.0,mean,web,P,150,0.0058399953367347076,0.0021490808572292783,0.02632075758097398
chin,0.002,0.5,mean,web,P,500,0.004340571497430298,0.001105277054433648,0.02471474627684372
chin,0.002,0.9,mean,web,P,150,0.003925303352807571,0.0016955308199116084,0.020765926759731185
chin,0.005,0.0,mean,web,P,150,0.009074396003542807,0.005974068774284624,0.0731671009264573
chin,0.005,0.5,mean,web,P,500,-0.009779527013791695,0.0028260259340245142,0.0631918609465615
chin,0.005,0.9,mean,web,P,150,-0.005648397016344663,0.004003770823053501,0.04903597781762056
chin,0.0075,0.0,mean,web,P,150,-0.007030608184111268,0.007340056869854393,0.08989697007076768
chin,0.0075,0.5,mean,web,P,500,-0.012158981016222217,0.00411967667236216,0.0921187708472192
chin,0.0075,0.9,mean,web,P,150,-0.02585175197403637,0.00756390659811813,0.0926385581373018
chin,0.01,0.0,mean,web,P,150,-0.008021096051396533,0.009582356076040698,0.11735941459978877
chin,0.01,0.5,mean,web,P,500,-0.009634804517584807,0.005983286384408787,0.13379035084386987
chin,0.01,0.9,mean,web,P,150,-0.011975771460122414,0.008949921281157187,0.10961370188455705
chin,0.015,0.0,mean,web,P,150,-0.0018222866570831143,0.016771395652690233,0.20540680811711554
chin,0.015,0.5,mean,web,P,500,-0.015892300548781598,0.008045552205860207,0.17990401648826804
chin,0.015,0.9,mean,web,P,150,-0.01001858720304565,0.013085357605073263,0.16026224617138404
kappa36,0.0,0.5,mean,web,P,1,-0.8163863228860995,,
kappa36,0.005,0.5,mean,web,P,150,-0.8814162444567506,0.012216996039107194,0.14962703242707892
kappa60,0.0,0.5,mean,web,P,1,-0.5047336971230544,,
kappa60,0.005,0.5,mean,web,P,150,-0.551497503685352,0.007677740120815039,0.09403272836845658
chin,0.0,0.5,mean,edu,T,1,0.1325856116676926,,
chin,0.002,0.0,mean,edu,T,150,0.14535148231414244,0.0027397640896365963,0.03355512017605267
chin,0.002,0.5,mean,edu,T,500,0.14258129580704496,0.001437031446833023,0.03213300000923514
chin,0.002,0.9,mean,edu,T,150,0.13234240651817372,0.0018846158495232491,0.02308173596246902
chin,0.005,0.0,mean,edu,T,150,0.14957967718785967,0.007382240374267456,0.09041361037763992
chin,0.005,0.5,mean,edu,T,500,0.14419674497752732,0.003314892593397611,0.07412325176947629
chin,0.005,0.9,mean,edu,T,150,0.13592792271893314,0.004861337532449624,0.05953898210971119
chin,0.0075,0.0,mean,edu,T,150,0.15532657169375635,0.010627214242868823,0.1301562614113324
chin,0.0075,0.5,mean,edu,T,500,0.14670853771409595,0.005166737216268415,0.11553175637454208
chin,0.0075,0.9,mean,edu,T,150,0.16530393186644768,0.0069070354353761194,0.08459356225996874
chin,0.01,0.0,mean,edu,T,150,0.1523323090161084,0.01542699653087756,0.1889413488216813
chin,0.01,0.5,mean,edu,T,500,0.14415984003991247,0.00620821998524658,0.13882001906284094
chin,0.01,0.9,mean,edu,T,150,0.16024454447066339,0.00911180915194949,0.11159641527949081
