chi_true,n_rep,noise_sd,rho_trunk,conv,valset,statistic,value,mc_se,factor
0.0,500,0.005,0.5,P,val1,chi_hat,0.00023475417550322106,0.0007674068391998245,
0.0,500,0.005,0.5,P,val1,chi_hat_mc_sd,0.01715973858849058,0.0005431820338239022,
0.0,500,0.005,0.5,P,val1,mde80_normal,0.048074466233436385,0.0015217706382305372,
0.0,500,0.005,0.5,P,val1,wcu_interval_rejects_zero,0.27,0.019854470529329156,
0.0,500,0.005,0.5,P,val1,wcu_interval_covers_truth,0.73,0.019854470529329156,
0.0,500,0.005,0.5,P,val1,wcr_raw_p_below_0.05,0.124,0.014739335127474372,
0.0,500,0.005,0.5,P,val1,wcu_mean_boot_se,0.011461047700926237,,
0.0,500,0.005,0.5,P,val1,wcu_factor,1.49722250847135,,
0.0,500,0.005,0.5,P,val1,wcu_mean_halfwidth,0.020872561617051703,,
0.0,500,0.005,0.5,P,val1,cr2_interval_rejects_zero,0.214,0.01834142851579451,
0.0,500,0.005,0.5,P,val1,cr2_interval_covers_truth,0.786,0.01834142851579451,
0.0,500,0.005,0.5,P,val1,wcr_cr2_p_below_0.05,0.092,0.012925633446759968,
0.0,500,0.005,0.5,P,val1,cr2_mean_boot_se,0.013801899853875909,,
0.0,500,0.005,0.5,P,val1,cr2_factor,1.2432881538168608,,
0.0,500,0.005,0.5,P,val1,cr2_mean_halfwidth,0.02479665016215291,,
0.0,500,0.005,0.5,P,val2,chi_hat,5.172259531355827e-05,0.0007624900855999498,
0.0,500,0.005,0.5,P,val2,chi_hat_mc_sd,0.017049796635711212,0.0005397018821184838,
0.0,500,0.005,0.5,P,val2,mde80_normal,0.047766454507659,0.0015120206974149127,
0.0,500,0.005,0.5,P,val2,wcu_interval_rejects_zero,0.244,0.019207498535728174,
0.0,500,0.005,0.5,P,val2,wcu_interval_covers_truth,0.756,0.019207498535728174,
0.0,500,0.005,0.5,P,val2,wcr_raw_p_below_0.05,0.134,0.015234434679370286,
0.0,500,0.005,0.5,P,val2,wcu_mean_boot_se,0.01154290876959571,,
0.0,500,0.005,0.5,P,val2,wcu_factor,1.4770797357959524,,
0.0,500,0.005,0.5,P,val2,wcu_mean_halfwidth,0.02103264825330939,,
