corpus,conv,sample,scheme,statistic,estimate,pop,se,ci_lo,ci_hi,p_zero,n_draws,n_restricted,n_all
edu,P,main,wild,slope|chin_r|local,-0.29075158918611743,-0.16399413191678577,0.10998699745744267,-0.398906462926798,-0.09436526611014465,0.001,999,33,44
edu,P,main,wild,level100|chin_r|local,-0.35279270099461907,-0.4422703176984326,0.07867445352588244,-0.4982103294290288,-0.27107197829316193,,999,33,44
edu,P,main,wild,mean|chin_r|local,-0.6929063123757916,-0.6341063678733275,0.051740082168331,-0.7521216811785766,-0.5980482612130712,,999,33,44
edu,P,main,wild,bin0|chin_r|local,-0.5848832195871941,-0.5766168997010929,0.012482154729069599,-0.6105422183120398,-0.5631847530033196,,999,33,44
edu,P,main,wild,bin1|chin_r|local,-0.5115153307842202,-0.5402373500914748,0.027326384592306612,-0.5651388600539599,-0.4597654012135115,,999,33,44
edu,P,main,wild,bin2|chin_r|local,-1.2523781187274539,-0.9291885242580014,0.2688168313391983,-1.5179063412522287,-0.7869978971962985,,999,33,44
edu,P,main,wild,n_eval|chin_r|local,11.0,11.0,0.0,11.0,11.0,,999,33,44
edu,P,main,wild,slope|chin_r|chin_f,-0.09020370914809954,-0.0857515199805267,0.005854265586409805,-0.0986904374252421,-0.0788422450307361,0.001,999,33,44
edu,P,main,wild,level100|chin_r|chin_f,-0.29565692356546197,-0.29807959429550585,0.009833892463524053,-0.3155957747134174,-0.27831248225839683,,999,33,44
edu,P,main,wild,mean|chin_r|chin_f,-0.4011748654078996,-0.39838948159016224,0.0164078472020243,-0.43075540063474343,-0.36990082095302124,,999,33,44
edu,P,main,wild,bin0|chin_r|chin_f,-0.3486368958543809,-0.34846484461453964,0.01305559893360221,-0.3733479073747612,-0.3239885028860484,,999,33,44
edu,P,main,wild,bin1|chin_r|chin_f,-0.45001340328064504,-0.4447958268138663,0.019568282758973207,-0.4841444877651884,-0.4125852556627158,,999,33,44
edu,P,main,wild,bin2|chin_r|chin_f,-0.5362192209724697,-0.5267193657811373,0.02516451379358778,-0.5782846346897862,-0.4877435795549223,,999,33,44
edu,P,main,wild,n_eval|chin_r|chin_f,11.0,11.0,0.0,11.0,11.0,,999,33,44
edu,P,main,wild,slope|kappa_r|local,-0.002764074775035391,0.11984637382466029,0.11168626944169305,-0.12529799678550363,0.20069737468717808,1.0,999,33,44
edu,P,main,wild,level100|kappa_r|local,0.3506372893141895,0.23546114586180503,0.08737740818528439,0.16452124969649748,0.47730890857715047,,999,33,44
edu,P,main,wild,mean|kappa_r|local,0.3474039468705714,0.3756543022484786,0.07983713723183104,0.20385366811235794,0.49822048666959473,,999,33,44
