corpus,d,D_target,valset,n_lr,bpb_x0.5,bpb_x2,bpb_x1,mult_star,convex,excess_rule_quad,excess_rule_grid,best_mult_grid
edu,128,25000000,edu,3,1.7420588045880123,1.7274677663042923,1.7264753631592713,1.3565029816484966,True,0.0009249852844032125,0.0,1.0
edu,128,25000000,web,3,1.9400983506295972,1.928244797226927,1.9258495668811362,1.2796172852051388,True,0.0005449967591584226,0.0,1.0
edu,128,25000000,wiki,2,2.234424676612937,2.207061754900526,,,,,,
edu,128,50000000,edu,3,1.681310384129555,1.6727631971982209,1.6718797625963011,1.3325102682593732,True,0.0005276861723698678,0.0,1.0
edu,128,50000000,web,3,1.8855323151299683,1.8780897709866529,1.8761340346786648,1.2548084184498458,True,0.0003237827241041602,0.0,1.0
edu,128,50000000,wiki,2,2.1656072169249914,2.1387096404917303,,,,,,
edu,128,100000000,edu,3,1.6417475778474802,1.638095948654991,1.6348598394255076,1.132966806129072,True,0.00010026074554103648,0.0,1.0
edu,128,100000000,web,3,1.848252962118825,1.844635072307621,1.8416053498776623,1.1381692602712021,True,9.146160711126505e-05,0.0,1.0
edu,128,100000000,wiki,2,2.139968800254322,2.120768787908902,,,,,,
edu,128,200000000,edu,3,1.6113393121845168,1.5882523870952736,1.5764559673893401,1.18585043618907,True,0.0008872511440798925,0.0,1.0
edu,128,200000000,web,3,1.820408283403719,1.7912509073724818,1.7756745560782516,1.1811358765661075,True,0.0009695022180341573,0.0,1.0
edu,128,200000000,wiki,2,2.0980944558292025,2.0265127928950393,,,,,,
edu,128,400000000,edu,3,1.546825025777118,1.5417600891746046,1.5402482225034726,1.2421495564703269,True,0.00025651074650356875,0.0,1.0
edu,128,400000000,web,3,1.7430712706954108,1.736452246586539,1.7344292004852044,1.23972414897897,True,0.00029487178944964665,0.0,1.0
edu,128,400000000,wiki,2,1.9534389081794656,1.9198684747619834,,,,,,
edu,128,800000000,edu,3,1.528246663102635,1.531647314168838,1.5274821917235004,0.7874300530861896,True,0.00019158579505351714,0.0,1.0
edu,128,800000000,web,3,1.7244640504348243,1.725671943901181,1.7218464209808897,0.937148651213117,True,1.639347759152532e-05,0.0,1.0
edu,128,800000000,wiki,2,1.9204073570924582,1.9062636474491785,,,,,,
edu,640,25000000,edu,3,1.461070569057385,1.604389914107017,1.4689505613675473,0.6757466273026512,True,0.013233235899777485,0.005378808518965605,0.499628252788104
edu,640,25000000,web,3,1.657434591027961,1.8033901278463123,1.665480589704486,0.6758072558278855,True,0.011932722728824563,0.004842744375692876,0.499628252788104
edu,640,25000000,wiki,2,1.8284971773281857,2.0308120681812682,,,,,,
edu,640,50000000,edu,3,1.3577548382297218,1.4233437378921627,1.3606460480896516,0.6829891103558592,True,0.00649037493651089,0.0021271409707389055,0.499628252788104
edu,640,50000000,web,3,1.558293994091519,1.62406826830093,1.5616553956038162,0.6789197784605278,True,0.005776851093621693,0.0021547803461193227,0.499628252788104
edu,640,50000000,wiki,2,1.6911493602474834,1.7703567653410197,,,,,,
web,128,25000000,edu,3,1.8098027545409838,1.787513281062619,1.7892690665647073,1.5095715886784062,True,0.001840708287430104,0.000981768233273561,2.0
web,128,25000000,web,3,1.8835453386004466,1.8614706680013975,1.8637487779170243,1.5485422121949834,True,0.0018594456451187513,0.0012230743625641916,2.0
web,128,25000000,wiki,2,2.24937279741763,2.2165268411655283,,,,,,
web,128,50000000,edu,3,1.7485102100110228,1.733364494645005,1.7354707130754763,1.617365617679238,True,0.0015086454465086385,0.0012143665312308594,2.0
web,128,50000000,web,3,1.8245923189905164,1.8088959751345408,1.8114954105614025,1.6805860987992856,True,0.0016177397328305254,0.001435997159766056,2.0
web,128,50000000,wiki,2,2.1876412797360802,2.1627056740571984,,,,,,
web,128,100000000,edu,3,1.7045902927739762,1.6505001974593507,1.697664234042508,2.0,False,0.02817493436400398,0.02817493436400398,2.0
web,128,100000000,web,3,1.7812882993901749,1.7271793092001686,1.7744367194820436,2.0,False,0.02699341066894967,0.02699341066894967,2.0
web,128,100000000,wiki,2,2.1313465531736453,2.0053192515346865,,,,,,
web,128,200000000,edu,3,1.6262050935989256,1.6138387062775055,1.6211928557140152,2.0,False,0.004546578272233315,0.004546578272233315,2.0
web,128,200000000,web,3,1.7030959763200422,1.6904724774018585,1.6989406330961176,2.0,False,0.004996837527833198,0.004996837527833198,2.0
web,128,200000000,wiki,2,1.9877878868515033,1.9432030920575716,,,,,,
web,128,400000000,edu,3,1.5975376877548944,1.5977070168662855,1.5954000314132717,0.9868922977791752,True,5.043831688422706e-07,0.0,1.0
web,128,400000000,web,3,1.6746986728520084,1.6743564548997552,1.6729765693926226,1.0389569047815315,True,2.8169833777846875e-06,0.0,1.0
web,128,400000000,wiki,2,1.9396917905661393,1.9251260772618322,,,,,,
web,128,800000000,edu,3,1.5840303701569571,1.5878160706804039,1.5831325184507148,0.7906034052636615,True,0.00020228822573037375,0.0,1.0
web,128,800000000,web,3,1.6604125629741673,1.6650121600991201,1.6605898881463674,0.6868973916519147,True,0.00037472166021046416,0.00010679014844372503,0.5
web,128,800000000,wiki,2,1.9180990891270164,1.9092907651228468,,,,,,
web,640,25000000,edu,2,1.5291882249484015,1.6801672979210263,,,,,,
web,640,25000000,web,2,1.6001910456052821,1.75164606006521,,,,,,
web,640,25000000,wiki,2,1.8299682242955222,2.075884059846631,,,,,,
web,640,50000000,edu,1,1.4249033142331018,,,,,,,
web,640,50000000,web,1,1.4965741215783646,,,,,,,
web,640,50000000,wiki,1,1.6939068420662926,,,,,,,
