corpus,conv,subset,sigma_star,LR
edu,P,full,0.05,145.24383832810818
edu,P,full,0.07,145.13309853965086
edu,P,full,0.09,144.91932317381907
edu,P,full,0.11,144.57762041279972
edu,P,full,0.13,144.08948972936727
edu,P,full,0.15,143.44173024915312
edu,P,full,0.17,142.62352747291516
edu,P,full,0.19,141.624000700894
edu,P,full,0.21,140.4307398084545
edu,P,full,0.23,139.0290361653905
edu,P,full,0.25,137.4014159946471
edu,P,full,0.27,135.52723685000913
edu,P,full,0.29,133.38225609174654
edu,P,full,0.31,130.9381617970343
edu,P,full,0.33,128.16208729904773
edu,P,full,0.35,125.01613755619103
edu,P,full,0.37,121.45695446541292
edu,P,full,0.39,117.43534128861474
edu,P,full,0.41,112.89594861774916
edu,P,full,0.43,107.77699522470203
edu,P,full,0.45,102.00997808943062
edu,P,full,0.47,95.51938157540081
edu,P,full,0.49,88.222656180895
edu,P,full,0.51,80.03143695783241
edu,P,full,0.53,70.85657793912641
edu,P,full,0.55,60.62315342288719
edu,P,full,0.57,49.30950209469172
edu,P,full,0.59,37.04092910953978
edu,P,full,0.61,24.29500978185361
edu,P,full,0.63,12.271874796572003
edu,P,full,0.65,3.2462964281380393
edu,P,full,0.67,0.005886215920120234
edu,P,full,0.69,3.7072782295118265
edu,P,full,0.71,12.646631018653592
edu,P,full,0.73,24.029751766388753
edu,P,full,0.75,35.844659431884835
edu,P,full,0.77,47.10870602634166
edu,P,full,0.79,57.46534849020272
edu,P,full,0.81,66.84945102436822
edu,P,full,0.83,75.3236191815527
edu,P,full,0.85,83.12006411459986
edu,P,full,0.87,90.31876835293691
edu,P,full,0.89,96.96034326254754
edu,P,full,0.91,103.09632839580907
edu,P,full,0.93,108.78055281573947
edu,P,full,0.95,114.06621469137102
edu,P,full,0.97,119.00722621421112
edu,P,full,0.99,124.47149700949387
edu,P,onpath1,0.05,22.445121954254958
edu,P,onpath1,0.07,21.612298693503664
edu,P,onpath1,0.09,20.456191946603067
edu,P,onpath1,0.11,18.136272127569686
edu,P,onpath1,0.13,16.52954478832313
edu,P,onpath1,0.15,14.908480701244633
edu,P,onpath1,0.17,13.324205337559828
edu,P,onpath1,0.19,11.809262581411314
edu,P,onpath1,0.21,10.38461219240192
edu,P,onpath1,0.23,9.063265468344936
edu,P,onpath1,0.25,7.85247089170176
edu,P,onpath1,0.27,6.75513634428381
edu,P,onpath1,0.29,5.770816495340556
edu,P,onpath1,0.31,4.89645519545818
edu,P,onpath1,0.33,4.12699429206424
edu,P,onpath1,0.35,3.455906563456845
edu,P,onpath1,0.37,2.875674700341878
edu,P,onpath1,0.39,2.3782173620393214
edu,P,onpath1,0.41,1.9552549488882862
edu,P,onpath1,0.43,1.5986076918595924
edu,P,onpath1,0.45,1.3004231022406467
edu,P,onpath1,0.47,1.0533354256913727
edu,P,onpath1,0.49,0.8505644435651328
edu,P,onpath1,0.51,0.6859638207790973
edu,P,onpath1,0.53,0.5540302007651423
edu,P,onpath1,0.55,0.4498837494509582
edu,P,onpath1,0.57,0.3692294551533514
edu,P,onpath1,0.59,0.3083066727524148
edu,P,onpath1,0.61,0.2638325034556619
edu,P,onpath1,0.63,0.2329429428936696
edu,P,onpath1,0.65,0.2131341213269003
edu,P,onpath1,0.67,0.20220486973348895
edu,P,onpath1,0.69,0.1982006921165598
edu,P,onpath1,0.71,0.19935825265950685
edu,P,onpath1,0.73,0.2040484917327628
edu,P,onpath1,0.75,0.21071506208944543
edu,P,onpath1,0.77,0.21780272884471893
edu,P,onpath1,0.79,0.2236670009145578
edu,P,onpath1,0.81,0.22644976603217593
edu,P,onpath1,0.83,0.22389395217576658
edu,P,onpath1,0.85,0.2130455440193307
edu,P,onpath1,0.87,0.18973845535964395
edu,P,onpath1,0.89,0.14763288247790918
edu,P,onpath1,0.91,0.07625491351036247
edu,P,onpath1,0.93,3.2363951512913363e-09
edu,P,onpath1,0.95,1.3516956124599708
edu,P,onpath1,0.97,4.025014188678269
edu,P,onpath1,0.99,7.077373839642132
edu,P,onpath2,0.05,52.37115519946634
edu,P,onpath2,0.07,51.82442541984779
edu,P,onpath2,0.09,50.99863904686476
edu,P,onpath2,0.11,49.927351541426496
edu,P,onpath2,0.13,48.63813053888644
edu,P,onpath2,0.15,47.15899093287849
edu,P,onpath2,0.17,45.51542306224286
edu,P,onpath2,0.19,43.72784308191428
edu,P,onpath2,0.21,41.81118411279796
edu,P,onpath2,0.23,39.775512209735304
edu,P,onpath2,0.25,37.62719762197803
edu,P,onpath2,0.27,35.37684578421532
edu,P,onpath2,0.29,33.009131221737526
edu,P,onpath2,0.31,30.548286686081276
edu,P,onpath2,0.33,27.995766421736786
edu,P,onpath2,0.35,25.36333815691432
edu,P,onpath2,0.37,22.667706951049635
edu,P,onpath2,0.39,19.93147897154659
edu,P,onpath2,0.41,17.184187577024765
edu,P,onpath2,0.43,14.46333921320478
edu,P,onpath2,0.45,11.815214890223135
edu,P,onpath2,0.47,9.294898438743092
edu,P,onpath2,0.49,6.964773400531892
edu,P,onpath2,0.51,4.8907048625450456
edu,P,onpath2,0.53,3.135545147118745
edu,P,onpath2,0.55,1.7506192764372914
edu,P,onpath2,0.57,0.7671861544920011
edu,P,onpath2,0.59,0.19070359764478087
edu,P,onpath2,0.61,0.00015750057762321928
edu,P,onpath2,0.63,0.15275152575730672
edu,P,onpath2,0.65,0.5920911517260743
edu,P,onpath2,0.67,1.2570150824178008
edu,P,onpath2,0.69,2.0887630849894436
edu,P,onpath2,0.71,3.0354716754509465
edu,P,onpath2,0.73,4.0541343572809
edu,P,onpath2,0.75,5.1107334500373
edu,P,onpath2,0.77,6.179321152779238
edu,P,onpath2,0.79,7.240647465961404
edu,P,onpath2,0.81,8.280699740108343
edu,P,onpath2,0.83,9.289324515020107
edu,P,onpath2,0.85,10.258961854334471
edu,P,onpath2,0.87,11.183408931378723
edu,P,onpath2,0.89,12.056382846639016
edu,P,onpath2,0.91,12.869330045303155
edu,P,onpath2,0.93,13.606987945590976
edu,P,onpath2,0.95,14.666597147695049
edu,P,onpath2,0.97,16.939881901040767
edu,P,onpath2,0.99,19.98669156850626
edu,T,full,0.05,139.45953658588908
edu,T,full,0.07,139.2593598904329
edu,T,full,0.09,138.89668548048888
edu,T,full,0.11,138.33526774526229
edu,T,full,0.13,137.5578576812705
edu,T,full,0.15,136.552705982326
edu,T,full,0.17,135.3069962758821
edu,T,full,0.19,133.80504704362303
edu,T,full,0.21,132.02788942699343
edu,T,full,0.23,129.95288809120052
edu,T,full,0.25,127.55322033704957
edu,T,full,0.27,124.79730438771765
edu,T,full,0.29,121.64824523268504
edu,T,full,0.31,118.06331614285455
edu,T,full,0.33,113.99347363264592
edu,T,full,0.35,109.38290294938983
edu,T,full,0.37,104.16860057647685
edu,T,full,0.39,98.28003658205961
edu,T,full,0.41,91.63906511363298
edu,T,full,0.43,84.16060778135972
edu,T,full,0.45,75.75552209985952
edu,T,full,0.47,66.33913478958102
edu,T,full,0.49,55.85359452338926
edu,T,full,0.51,44.322369329360754
edu,T,full,0.53,31.97472510379547
edu,T,full,0.55,19.499945185696397
edu,T,full,0.57,8.436681054681756
edu,T,full,0.59,1.3127769893608232
edu,T,full,0.61,0.5196625682735146
edu,T,full,0.63,6.174646416621449
edu,T,full,0.65,16.007062736622927
edu,T,full,0.67,27.46269551306955
edu,T,full,0.69,38.94909425788097
edu,T,full,0.71,49.74893221718825
edu,T,full,0.73,59.62711707803812
edu,T,full,0.75,68.56449093161785
edu,T,full,0.77,76.6256160591697
