sample,objective,sigma_star,obj,LR,LR_KB,kappa,E,a_share,kappa_at_bound
full design (n=240),huber,0.05,0.005232208924968149,816.8312520985032,1405.9094148414629,0.008942582321429596,1.151137452677093,0.47484100244914507,False
full design (n=240),huber,0.1,0.005133740075298194,807.7116877274715,1373.733862872996,0.018677211776818237,1.1359348905145978,0.4753023286084976,False
full design (n=240),huber,0.15,0.004958356115053398,791.0267938036802,1316.1075052205272,0.029607038153664486,1.1305952278698495,0.4757264017683591,False
full design (n=240),huber,0.2,0.004703455026162382,765.6938785480144,1232.3995124518708,0.0428012071645456,1.1528420964443875,0.47569595149300936,False
full design (n=240),huber,0.25,0.004378419052044237,731.3212521190989,1125.4959416758263,0.06157028772867229,1.2414107310130562,0.47576092778685936,False
full design (n=240),huber,0.3,0.003993880463662362,687.1975369311457,999.2729757047192,0.08586756689941968,1.3261832847913029,0.476576396190682,False
full design (n=240),huber,0.35,0.0035637604332062,632.5029688981787,858.393541352596,0.112864561367355,1.3632344449938003,0.4782530402592676,False
full design (n=240),huber,0.4,0.0030984662990621832,565.3466287359009,705.6665459358412,0.14723835964222565,1.406717593241066,0.48049752840027216,False
full design (n=240),huber,0.45,0.0026204159207000493,484.9110159542253,547.9221356644747,0.19390059378829325,1.4722563963392796,0.4825689000794031,False
full design (n=240),huber,0.5,0.002152903335630856,390.5834637867211,394.1323627621094,0.2624861303908882,1.5687712078624771,0.48477283223582557,False
full design (n=240),huber,0.55,0.0017035548784959385,278.21539317515834,246.16557936674707,0.36249875727300407,1.6774970534156417,0.48907731775185637,False
full design (n=240),huber,0.6,0.001315788059398132,154.2403202635761,119.31773808514801,0.4836438809914082,1.741893239572369,0.4971643343082537,False
full design (n=240),huber,0.61,0.0012482522695040836,128.9484567604597,96.89247719789763,0.5077751292948689,1.746708949657066,0.4996520659792635,False
full design (n=240),huber,0.62,0.0011858255085340555,104.3219488471411,76.25788012391506,0.5327330780593397,1.7507460967917865,0.5032390957578272,False
full design (n=240),huber,0.63,0.001132944624261746,82.42480091336316,58.8971156061544,0.5552108303619387,1.7493269341141136,0.5063909670716964,False
full design (n=240),huber,0.64,0.0010923061696251242,64.89093256554845,46.311346283099866,0.5771669666692585,1.745702836049846,0.5053623088238912,False
full design (n=240),huber,0.65,0.0010565307923484212,48.90668782821426,34.575394320902134,0.6016056014116756,1.7439308448537454,0.5041406615407399,False
full design (n=240),huber,0.66,0.001023538577847595,33.67874265497379,23.58121408219909,0.6277216207980955,1.7424803513119749,0.5028720552971644,False
full design (n=240),huber,0.67,0.0009939431367076642,19.59501562171681,13.534984224577286,0.6549928557501555,1.7401764056185782,0.5024043403642369,False
