mx,mz,hx,hz,loocv_rmse,conv
0.08,0.08,0.09470213529746743,0.13241804112582736,0.001274976230313413,ne
0.08,0.1,0.09470213529746743,0.16552255140728422,0.000870625748074137,ne
0.08,0.125,0.09470213529746743,0.20690318925910525,0.0008310840436920605,ne
0.08,0.15,0.09470213529746743,0.24828382711092628,0.000853978664373517,ne
0.08,0.175,0.09470213529746743,0.28966446496274734,0.0008683090438073195,ne
0.08,0.2,0.09470213529746743,0.33104510281456845,0.0008724077644833413,ne
0.08,0.25,0.09470213529746743,0.4138063785182105,0.0008738118737206231,ne
0.08,0.3,0.09470213529746743,0.49656765422185256,0.0008661083933848238,ne
0.08,0.45,0.09470213529746743,0.7448514813327789,0.0008325673972263792,ne
0.08,0.6,0.09470213529746743,0.9931353084437051,0.0008390268292383714,ne
0.08,0.8,0.09470213529746743,1.3241804112582738,0.0009174424295463523,ne
0.08,1.0,0.09470213529746743,1.655225514072842,0.0010284411183033263,ne
0.1,0.08,0.1183776691218343,0.13241804112582736,0.00135448831621559,ne
0.1,0.1,0.1183776691218343,0.16552255140728422,0.0010661050209181632,ne
0.1,0.125,0.1183776691218343,0.20690318925910525,0.0008636220125914587,ne
0.1,0.15,0.1183776691218343,0.24828382711092628,0.000811915090581334,ne
0.1,0.175,0.1183776691218343,0.28966446496274734,0.0008034429525768601,ne
0.1,0.2,0.1183776691218343,0.33104510281456845,0.0008040261232021162,ne
0.1,0.25,0.1183776691218343,0.4138063785182105,0.0008059046408742357,ne
0.1,0.3,0.1183776691218343,0.49656765422185256,0.0008034413588440395,ne
0.1,0.45,0.1183776691218343,0.7448514813327789,0.0007901042776736452,ne
0.1,0.6,0.1183776691218343,0.9931353084437051,0.0008075076760354767,ne
0.1,0.8,0.1183776691218343,1.3241804112582738,0.000889088061243249,ne
0.1,1.0,0.1183776691218343,1.655225514072842,0.0009966077412916548,ne
0.125,0.08,0.14797208640229287,0.13241804112582736,0.001306155182383936,ne
0.125,0.1,0.14797208640229287,0.16552255140728422,0.0011236823851859966,ne
0.125,0.125,0.14797208640229287,0.20690318925910525,0.0009512562523552416,ne
0.125,0.15,0.14797208640229287,0.24828382711092628,0.0008670932510847894,ne
0.125,0.175,0.14797208640229287,0.28966446496274734,0.0008298682545439917,ne
0.125,0.2,0.14797208640229287,0.33104510281456845,0.0008134757635458813,ne
0.125,0.25,0.14797208640229287,0.4138063785182105,0.0008009504329005973,ne
0.125,0.3,0.14797208640229287,0.49656765422185256,0.000794651884858394,ne
0.125,0.45,0.14797208640229287,0.7448514813327789,0.0007841131831144965,ne
0.125,0.6,0.14797208640229287,0.9931353084437051,0.0008033512001139681,ne
0.125,0.8,0.14797208640229287,1.3241804112582738,0.0008822157656129084,ne
0.125,1.0,0.14797208640229287,1.655225514072842,0.000983783011513347,ne
0.15,0.08,0.17756650368275143,0.13241804112582736,0.0011655638389240308,ne
0.15,0.1,0.17756650368275143,0.16552255140728422,0.0010965696447509303,ne
0.15,0.125,0.17756650368275143,0.20690318925910525,0.000979289693149423,ne
0.15,0.15,0.17756650368275143,0.24828382711092628,0.0009036679882199968,ne
0.15,0.175,0.17756650368275143,0.28966446496274734,0.0008627194672130952,ne
0.15,0.2,0.17756650368275143,0.33104510281456845,0.0008410560203306002,ne
0.15,0.25,0.17756650368275143,0.4138063785182105,0.0008220916880779651,ne
0.15,0.3,0.17756650368275143,0.49656765422185256,0.0008132405405105561,ne
0.15,0.45,0.17756650368275143,0.7448514813327789,0.0008012862789508953,ne
0.15,0.6,0.17756650368275143,0.9931353084437051,0.0008187676059792631,ne
0.15,0.8,0.17756650368275143,1.3241804112582738,0.0008928444076202759,ne
0.15,1.0,0.17756650368275143,1.655225514072842,0.0009886160951235992,ne
0.175,0.08,0.20716092096321,0.13241804112582736,0.0011775019469928954,ne
0.175,0.1,0.20716092096321,0.16552255140728422,0.0010660956899575084,ne
0.175,0.125,0.20716092096321,0.20690318925910525,0.00098548297106632,ne
0.175,0.15,0.20716092096321,0.24828382711092628,0.0009256362097956301,ne
0.175,0.175,0.20716092096321,0.28966446496274734,0.000889300802010066,ne
0.175,0.2,0.20716092096321,0.33104510281456845,0.0008680012283548804,ne
0.175,0.25,0.20716092096321,0.4138063785182105,0.0008475218143013871,ne
