spec,conv,M_bin,delta,se,lo,hi,se_run_wild,delta_pop,ratio,ratio_lo,ratio_hi
chin_full,ne,M<16,0.15816385731566318,0.004822660411049597,0.14790198021177528,0.16608589269445317,0.004798728787576682,0.15509293814187672,1.171358114579838,1.1593992467244763,1.1806745086829782
chin_full,ne,16-64,0.0080189196287385,0.003566840188399499,2.1166599284817497e-05,0.013382638274765568,0.004476740973193285,0.015372576545602794,1.0080511572775026,1.0000211668232988,1.0134725865790228
chin_full,ne,64-256,-0.19476720098588873,0.005738165208251806,-0.20714884009136753,-0.1848795800432823,0.004732803625262194,-0.18094995860511026,0.8230262354518396,0.8128986490737001,0.8312043714201643
chin_full,ne,"256-1,024",-0.48719677752546564,0.0072539529924474265,-0.5014269381294457,-0.47415947949018095,0.008538764007473791,-0.47335932582835366,0.6143461315381377,0.6056657951884444,0.6224079833443262
chin_full,ne,">=1,024",-0.8213912260707029,0.03977822337167255,-0.8962034607074694,-0.7464181831706176,0.037028366041820845,-0.8382125758758612,0.4398193405382271,0.40811615122924993,0.4740615169227598
chin_full,ne,M>=1000,-0.8213912260707029,0.03977822337167255,-0.8962034607074694,-0.7464181831706176,0.037028366041820845,-0.8382125758758612,0.4398193405382271,0.40811615122924993,0.4740615169227598
chin_M100,ne,M<16,0.07886998981648388,0.005101675933660944,0.06839605857916703,0.08778333277694621,0.005122075442488671,0.0763995457454108,1.0820636336334633,1.0707893198031588,1.0917515496238583
chin_M100,ne,16-64,-0.23008926900358875,0.004723637867753052,-0.24027988481118287,-0.22186722065362863,0.005530139478369857,-0.22725701982716712,0.7944626784460278,0.7864077266837597,0.8010217164137579
chin_M100,ne,64-256,-0.5450651761219039,0.00710177181271975,-0.5591863866538324,-0.5323728151087804,0.00671583004955154,-0.5387587208196633,0.5798039927326265,0.5716739962785817,0.5872099746004124
chin_M100,ne,"256-1,024",-0.9450231786638704,0.009838550176363679,-0.9650836117627458,-0.9265904608767774,0.009681377998639738,-0.94184115384366,0.3886705619330341,0.3809513463941062,0.3959012526269191
chin_M100,ne,">=1,024",-1.3594615231157274,0.042872805819382055,-1.4378306461989543,-1.2755741952599364,0.037773385330954756,-1.3900863076484562,0.2567990200660647,0.23744229672172928,0.27927056633938235
