conv,param,est,se,lo,hi,p_zero,n
ne,b1_only,0.41971679213031354,0.0028100848185019086,0.4154922982294249,0.4262732428178795,0.001,328
ne,b1,0.4128153429674366,0.0023478371531396266,0.4088282006587022,0.4177336286550824,0.001,328
ne,b2,0.02039274009757119,0.0009281905657066091,0.018561983649880598,0.022112764468724247,0.001,328
ne,path_1_over_sigma_minus_1,0.43350881999130486,0.014567335421752314,0.39187181453630876,0.4444621569217954,0.001,328
emb,b1_only,0.5361858973301464,0.002317727306928836,0.5320244514681911,0.540491197788166,0.001,305
emb,b1,0.49242792794585916,0.002000971078357547,0.48859576769892704,0.49608595656320426,0.001,305
emb,b2,0.033430088993885006,0.0010632710792734348,0.031461461959379114,0.035493890024326166,0.001,305
emb,path_1_over_sigma_minus_1,0.47737785100115615,0.009613565896682422,0.45352230837729585,0.49033562204371123,0.001,305
ne,b1_only minus path (1/sigma*-1),-0.013792027860991318,0.01620157382308873,-0.02481758589281021,0.030557679405124397,0.364,328
emb,b1_only minus path (1/sigma*-1),0.05880804632899028,0.009037588995148184,0.04678342088214359,0.08209833639772805,0.001,305
