conv,C,sigma_local_path,M_star_local,N_star_local,neff,se,lo,hi,nvalid,sigma_chin_full,sigma_chin_M100,sigma_kappa_full,sigma_kappa_M100,sigma_eq3_full,sigma_eq3_M100
ne,1e+18,,,,,,,,0,0.7715456823245482,0.8200344023372372,0.7100137957247379,0.744770859290739,0.7446240127150942,0.7748097951909119
ne,2e+18,0.6435156992572072,31.744887517004234,102471354.37473266,18.346999887853965,,,,0,0.7715456823245482,0.8200344023372372,0.7100137957247379,0.744770859290739,0.738194142482117,0.7697897999665881
ne,5e+18,0.7611634092830982,45.188289278166955,135798954.64400136,32.49633060314791,0.03712221021371991,0.7022015247301422,0.8268304361899995,999,0.7715456823245482,0.8200344023372372,0.7100137957247379,0.744770859290739,0.7303552729819168,0.7630598281826144
ne,1e+19,0.7152481763981748,27.38886525103709,246681939.94636548,36.38707149919807,0.025080487546709527,0.6679238870193901,0.7576261485342415,999,0.7715456823245482,0.8200344023372372,0.7100137957247379,0.744770859290739,0.7247771330215208,0.7579106717313491
ne,2e+19,0.6608124830849683,31.346806850111243,326093932.9119989,36.85567836340111,0.012258017016402164,0.6368148106244744,0.6849185432256969,999,0.7715456823245482,0.8200344023372372,0.7100137957247379,0.744770859290739,0.7194001748103522,0.7527229095390586
ne,5e+19,0.6869023503515463,34.36187288497082,492460003.13768315,37.007232456576645,0.021634049766923145,0.6460511947156572,0.7232182822004878,999,0.7715456823245482,0.8200344023372372,0.7100137957247379,0.744770859290739,0.7124779344955035,0.7458240792791531
ne,1e+20,0.7130023474836643,31.41096741538805,728423114.8087535,37.98616616527212,0.016869999653592767,0.6835906487148143,0.744327597755775,999,0.7715456823245482,0.8200344023372372,0.7100137957247379,0.744770859290739,0.7073073981144509,0.7405884416335535
ne,2e+20,0.7360407518649443,29.221068972500078,1068049357.1587839,37.46518876014977,0.011892938071193604,0.7135285805698213,0.758736391152177,999,0.7715456823245482,0.8200344023372372,0.7100137957247379,0.744770859290739,0.702142365140623,0.7353506573403757
ne,5e+20,0.7221296826885655,25.002375507271207,1825655123.2704992,36.342188800985845,0.008299024937524118,0.7074621324287974,0.7364513542988818,999,0.7715456823245482,0.8200344023372372,0.7100137957247379,0.744770859290739,0.6952617316096763,0.7284425877860203
ne,1e+21,0.657596869451135,26.995858844823605,2484710529.9339647,33.51101663506575,0.010615920670055127,0.6402562700703379,0.6753490977421824,999,0.7715456823245482,0.8200344023372372,0.7100137957247379,0.744770859290739,0.6899805025847512,0.7232434830636396
emb,1e+18,,,,,,,,0,0.7243633830065584,0.7703925146797908,0.6678003640383113,0.6980557030327819,0.7082345586227357,
emb,2e+18,,,,,,,,0,0.7243633830065584,0.7703925146797908,0.6678003640383113,0.6980557030327819,0.7069103741921405,
emb,5e+18,0.840379077710611,8.214228421080906,318512139.42044604,41.06444091628942,0.050607352339699534,0.7532582023099078,0.9242578690803046,999,0.7243633830065584,0.7703925146797908,0.6678003640383113,0.6980557030327819,0.7023106314766716,
emb,1e+19,0.6143712047280875,9.041993211833482,429331038.0382537,46.54141008321428,0.01908451370134085,0.5792001207586811,0.6470794026240662,999,0.7243633830065584,0.7703925146797908,0.6678003640383113,0.6980557030327819,0.6971035951000096,
emb,2e+19,0.6052128005010889,12.268565624638423,521245690.6309467,49.56670113788233,0.011702915943155244,0.5833329137470517,0.6266843170413763,999,0.7243633830065584,0.7703925146797908,0.6678003640383113,0.6980557030327819,0.6907250182679928,
emb,5e+19,0.6806611099643997,16.074431712716667,720015031.1962043,50.07065173471803,0.02119224637998439,0.6397462878172042,0.7193829905142396,999,0.7243633830065584,0.7703925146797908,0.6678003640383113,0.6980557030327819,0.6808981716399279,
emb,1e+20,0.6717813890862655,16.809207740971036,995751002.9760525,49.79414374720146,0.026637633906164276,0.6232469569229446,0.715582669535386,999,0.7243633830065584,0.7703925146797908,0.6678003640383113,0.6980557030327819,0.6726624035411628,
emb,2e+20,0.7194027576635731,17.391377067908927,1384434416.049043,47.83102716745754,0.01377126146768436,0.6939975368038299,0.7464764869219045,999,0.7243633830065584,0.7703925146797908,0.6678003640383113,0.6980557030327819,0.6639148300595905,
emb,5e+20,0.7006455187309163,16.893475881517933,2221006701.308868,43.309374989954854,0.009479307372124381,0.6816337840573163,0.718363005084967,999,0.7243633830065584,0.7703925146797908,0.6678003640383113,0.6980557030327819,,
emb,1e+21,0.6353017315092958,20.141066536364036,2876624286.323234,38.39891582810794,0.010683740533675105,0.6174222933942036,0.6549198501695963,999,0.7243633830065584,0.7703925146797908,0.6678003640383113,0.6980557030327819,,
