variant,key,value
"primary (CV bandwidth, n_eff >= 15)",delta|chin_full|ne|M<16,0.15816385731566318
"primary (CV bandwidth, n_eff >= 15)",delta|chin_full|ne|16-64,0.0080189196287385
"primary (CV bandwidth, n_eff >= 15)",delta|chin_full|ne|64-256,-0.19476720098588873
"primary (CV bandwidth, n_eff >= 15)","delta|chin_full|ne|256-1,024",-0.48719677752546564
"primary (CV bandwidth, n_eff >= 15)","delta|chin_full|ne|>=1,024",-0.8213912260707029
"primary (CV bandwidth, n_eff >= 15)",delta|chin_full|ne|M>=1000,-0.8213912260707029
"primary (CV bandwidth, n_eff >= 15)",delta|chin_M100|ne|M<16,0.07886998981648388
"primary (CV bandwidth, n_eff >= 15)",delta|chin_M100|ne|16-64,-0.23008926900358875
"primary (CV bandwidth, n_eff >= 15)",delta|chin_M100|ne|64-256,-0.5450651761219039
"primary (CV bandwidth, n_eff >= 15)","delta|chin_M100|ne|256-1,024",-0.9450231786638704
"primary (CV bandwidth, n_eff >= 15)","delta|chin_M100|ne|>=1,024",-1.3594615231157274
"primary (CV bandwidth, n_eff >= 15)",delta|chin_M100|ne|M>=1000,-1.3594615231157274
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_full|ne|M<16,-0.02119254725098539
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_full|ne|16-64,0.05303945178803586
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_full|ne|64-256,0.004130158244471964
"primary (CV bandwidth, n_eff >= 15)","delta|kappa_full|ne|256-1,024",-0.13875930686498594
"primary (CV bandwidth, n_eff >= 15)","delta|kappa_full|ne|>=1,024",-0.3554612772632681
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_full|ne|M>=1000,-0.3554612772632681
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_M100|ne|M<16,0.022574330734304843
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_M100|ne|16-64,-0.03920861777127969
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_M100|ne|64-256,-0.18409630593635878
"primary (CV bandwidth, n_eff >= 15)","delta|kappa_M100|ne|256-1,024",-0.419023227594969
"primary (CV bandwidth, n_eff >= 15)","delta|kappa_M100|ne|>=1,024",-0.704543192505731
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_M100|ne|M>=1000,-0.704543192505731
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_full|ne|M<16,-0.027319253170435535
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_full|ne|16-64,0.013758227663876339
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_full|ne|64-256,-0.01167017356898596
"primary (CV bandwidth, n_eff >= 15)","delta|eq3_full|ne|256-1,024",-0.1285872872610228
"primary (CV bandwidth, n_eff >= 15)","delta|eq3_full|ne|>=1,024",-0.3136879655633452
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_full|ne|M>=1000,-0.3136879655633452
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_M100|ne|M<16,0.0005086239539818828
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_M100|ne|16-64,-0.03751131484791957
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_M100|ne|64-256,-0.16720090481154729
"primary (CV bandwidth, n_eff >= 15)","delta|eq3_M100|ne|256-1,024",-0.39996276636957045
"primary (CV bandwidth, n_eff >= 15)","delta|eq3_M100|ne|>=1,024",-0.6945301491620358
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_M100|ne|M>=1000,-0.6945301491620358
"primary (CV bandwidth, n_eff >= 15)",lnw_local|ne|M<16,-0.6893308484246123
"primary (CV bandwidth, n_eff >= 15)",lnw_local|ne|16-64,0.058694717209786175
"primary (CV bandwidth, n_eff >= 15)",lnw_local|ne|64-256,0.6751658858027132
"primary (CV bandwidth, n_eff >= 15)","lnw_local|ne|256-1,024",1.3679457112677416
"primary (CV bandwidth, n_eff >= 15)","lnw_local|ne|>=1,024",2.0119530459010617
"primary (CV bandwidth, n_eff >= 15)",lin|ne|b1_only,0.41971679213031354
"primary (CV bandwidth, n_eff >= 15)",lin|ne|b1,0.4128153429674366
"primary (CV bandwidth, n_eff >= 15)",lin|ne|b2,0.02039274009757119
"primary (CV bandwidth, n_eff >= 15)",lin|ne|path_1_over_sigma_minus_1,0.43350881999130486
"primary (CV bandwidth, n_eff >= 15)",lin|ne|n,328.0
"primary (CV bandwidth, n_eff >= 15)",delta|chin_full|emb|M<16,0.11318146536747585
"primary (CV bandwidth, n_eff >= 15)",delta|chin_full|emb|16-64,-0.038294012204192825
"primary (CV bandwidth, n_eff >= 15)",delta|chin_full|emb|64-256,-0.26431595337671526
"primary (CV bandwidth, n_eff >= 15)","delta|chin_full|emb|256-1,024",-0.6558845643307513
"primary (CV bandwidth, n_eff >= 15)","delta|chin_full|emb|>=1,024",-1.1702695870991477
"primary (CV bandwidth, n_eff >= 15)",delta|chin_full|emb|M>=1000,-1.1702695870991477
"primary (CV bandwidth, n_eff >= 15)",delta|chin_M100|emb|M<16,0.06676046774748867
"primary (CV bandwidth, n_eff >= 15)",delta|chin_M100|emb|16-64,-0.24659442119023542
"primary (CV bandwidth, n_eff >= 15)",delta|chin_M100|emb|64-256,-0.5865543830882489
"primary (CV bandwidth, n_eff >= 15)","delta|chin_M100|emb|256-1,024",-1.0867053781196847
"primary (CV bandwidth, n_eff >= 15)","delta|chin_M100|emb|>=1,024",-1.673374177557064
"primary (CV bandwidth, n_eff >= 15)",delta|chin_M100|emb|M>=1000,-1.673374177557064
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_full|emb|M<16,-0.04498836504766926
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_full|emb|16-64,0.02708507105049962
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_full|emb|64-256,-0.042789355697593214
"primary (CV bandwidth, n_eff >= 15)","delta|kappa_full|emb|256-1,024",-0.28437250202283976
"primary (CV bandwidth, n_eff >= 15)","delta|kappa_full|emb|>=1,024",-0.6967202359648191
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_full|emb|M>=1000,-0.6967202359648191
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_M100|emb|M<16,-0.004225266647081844
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_M100|emb|16-64,-0.05503003735737474
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_M100|emb|64-256,-0.21048515894886752
"primary (CV bandwidth, n_eff >= 15)","delta|kappa_M100|emb|256-1,024",-0.5345186888013383
"primary (CV bandwidth, n_eff >= 15)","delta|kappa_M100|emb|>=1,024",-1.0034145400430212
"primary (CV bandwidth, n_eff >= 15)",delta|kappa_M100|emb|M>=1000,-1.0034145400430212
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_full|emb|M<16,-0.07352851683644564
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_full|emb|16-64,-0.013740248665357382
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_full|emb|64-256,-0.04655141850821278
"primary (CV bandwidth, n_eff >= 15)","delta|eq3_full|emb|256-1,024",-0.2510300962526655
"primary (CV bandwidth, n_eff >= 15)","delta|eq3_full|emb|>=1,024",-0.6176425537742167
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_full|emb|M>=1000,-0.6176425537742167
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_M100|emb|M<16,-0.03588874265849181
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_M100|emb|16-64,-0.05079126764073654
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_M100|emb|64-256,-0.1712641653935686
"primary (CV bandwidth, n_eff >= 15)","delta|eq3_M100|emb|256-1,024",-0.4911539687420384
"primary (CV bandwidth, n_eff >= 15)","delta|eq3_M100|emb|>=1,024",-0.9782218361751278
"primary (CV bandwidth, n_eff >= 15)",delta|eq3_M100|emb|M>=1000,-0.9782218361751278
"primary (CV bandwidth, n_eff >= 15)",lnw_local|emb|M<16,-0.49889297124973586
"primary (CV bandwidth, n_eff >= 15)",lnw_local|emb|16-64,0.34291055271259446
"primary (CV bandwidth, n_eff >= 15)",lnw_local|emb|64-256,1.0434371992657767
"primary (CV bandwidth, n_eff >= 15)","lnw_local|emb|256-1,024",1.8984084358033022
"primary (CV bandwidth, n_eff >= 15)","lnw_local|emb|>=1,024",2.7421267335156974
"primary (CV bandwidth, n_eff >= 15)",lin|emb|b1_only,0.5361858973301464
"primary (CV bandwidth, n_eff >= 15)",lin|emb|b1,0.49242792794585916
"primary (CV bandwidth, n_eff >= 15)",lin|emb|b2,0.033430088993885006
"primary (CV bandwidth, n_eff >= 15)",lin|emb|path_1_over_sigma_minus_1,0.47737785100115615
"primary (CV bandwidth, n_eff >= 15)",lin|emb|n,305.0
"primary (CV bandwidth, n_eff >= 15)",h_N|ne,0.2367553382436686
"primary (CV bandwidth, n_eff >= 15)",h_D|ne,0.7448514813327789
"primary (CV bandwidth, n_eff >= 15)",path_sigma_mean|ne,0.6996013077625894
"primary (CV bandwidth, n_eff >= 15)",path_sigma_mean_poolC|ne,0.7066120088257621
"primary (CV bandwidth, n_eff >= 15)",path_sigma_min_poolC|ne,0.657596869451135
"primary (CV bandwidth, n_eff >= 15)",path_sigma_max_poolC|ne,0.7611634092830982
"primary (CV bandwidth, n_eff >= 15)",h_N|emb,0.20029903890912398
