conv,variant,b1,sigma_slope,se,lo,hi
ne,primary (wild cluster bootstrap by model size),0.4128153429674366,0.707806582776507,0.0011762433077694742,0.705351118001369,0.7098097550378724
ne,"primary (CV bandwidth, n_eff >= 15)",0.4128153429674366,0.707806582776507,,,
ne,n_eff >= 25,0.4080859638177797,0.7101839132666832,,,
ne,bandwidth x 1.5,0.41718704101268844,0.7056231612768795,,,
ne,bandwidth x 2,0.42700009952454115,0.7007707990582396,,,
ne,h_N x 0.75 (h_D unchanged),0.4111276056468065,0.7086531338472671,,,
ne,extended-grid CV optimum,0.4057555027925257,0.7113612559321343,,,
emb,primary (wild cluster bootstrap by model size),0.49242792794585916,0.6700491067440524,0.0008983675918739546,0.6684107925838642,0.6717740448407973
emb,"primary (CV bandwidth, n_eff >= 15)",0.49242792794585916,0.6700491067440524,,,
emb,n_eff >= 25,0.4860822073550349,0.6729102838663443,,,
emb,bandwidth x 1.5,0.4957194794426637,0.6685745647790995,,,
emb,bandwidth x 2,0.5036588014792542,0.6650444894920511,,,
emb,h_N x 0.75 (h_D unchanged),0.4931424654454285,0.6697284573590128,,,
emb,extended-grid CV optimum,0.48375277181119475,0.6739667274753024,,,
