set,variant,members,k,mu_fixed,se_fixed,Q,df,p_Q,I2,tau2,tau,mu_re,se_re,lo_re,hi_re,se_hksj,lo_hksj,hi_hksj,pi_lo,pi_hi
"sigma*_kappa, seven sweep-corpus technologies (m2 Table 4; pairs/cell bootstrap SEs)",all technologies,"Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",7,0.7064640750833654,0.0024864274908927976,82.10311613697826,6,1.313150704102889e-15,0.9269211659397947,0.004629628981973528,0.06804137698469608,0.6223623269431036,0.02983944186439842,0.5638770208888827,0.6808476329973244,0.02983944186439842,0.5493478430135554,0.6953768108726517,0.43137620508376334,0.8133484488024438
"sigma*_kappa, seven sweep-corpus technologies (m2 Table 4; pairs/cell bootstrap SEs)",leave out Chinchilla,"Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.7066560782887343,0.0025264896448340323,81.91955018245744,5,3.3273693413046186e-16,0.9389645086079743,0.011321477195628628,0.10640243040282786,0.6010137860499487,0.04733491948223978,0.5082373438647587,0.6937902282351387,0.04733491948223978,0.47933550183759566,0.7226920702623018,0.2776792382435416,0.9243483338563558
"sigma*_kappa, seven sweep-corpus technologies (m2 Table 4; pairs/cell bootstrap SEs)",leave out Farseer,"Chinchilla; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.6427910725997912,0.01082023558511595,45.543805127600336,5,1.1246889009170989e-08,0.8902155850616462,0.008310034248714224,0.09115938925154239,0.599535403878611,0.04168310194742254,0.5178365240616629,0.6812342836955592,0.04168310194742254,0.49238557915958997,0.7066852285976322,0.32123205781812125,0.8778387499391008
"sigma*_kappa, seven sweep-corpus technologies (m2 Table 4; pairs/cell bootstrap SEs)","leave out Gadre, C4","Chinchilla; Farseer; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.706677199829875,0.002489082701966966,78.66491651233433,5,1.5961568642264997e-15,0.9364392638843515,0.0046671864037964765,0.06831680908675754,0.6243916509960877,0.031882283551350234,0.5619023752354413,0.6868809267567342,0.03430549766181119,0.5362065618441718,0.7125767401480037,0.41507519104505575,0.8337081109471197
"sigma*_kappa, seven sweep-corpus technologies (m2 Table 4; pairs/cell bootstrap SEs)","leave out Gadre, RedPajama","Chinchilla; Farseer; Gadre, C4; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.7066126427318827,0.002488644224003458,80.10170761166265,5,7.990577475101774e-16,0.9375793581799745,0.0047258918012342355,0.068745122017742,0.6220826954028438,0.031895426587385804,0.5595676592915676,0.68459773151412,0.03424342776621782,0.53405716199708,0.7101082288086076,0.4116726641359648,0.8324927266697227
"sigma*_kappa, seven sweep-corpus technologies (m2 Table 4; pairs/cell bootstrap SEs)","leave out Gadre, RefinedWeb","Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; OLMo ladder; Muennighoff",6,0.7066425257451279,0.0024884077579980374,78.87065100095371,5,1.445638701997784e-15,0.9366050623832236,0.004631450009508416,0.06805475743479229,0.6256154419189887,0.03153861545510969,0.5637997556269737,0.6874311282110036,0.03385579186605239,0.5385863583170307,0.7126445255209466,0.4173610650846399,0.8338698187533374
"sigma*_kappa, seven sweep-corpus technologies (m2 Table 4; pairs/cell bootstrap SEs)",leave out OLMo ladder,"Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; Muennighoff",6,0.7087412993587161,0.0025038131682102492,22.331017508671792,5,0.0004529109603984583,0.7760961855831983,0.0014215127448316603,0.03770295405975055,0.6576016673883501,0.021496128355241128,0.6154692558120776,0.6997340789646227,0.02953011792470295,0.5816920826469104,0.7335112521297898,0.5371027893799626,0.7781005453967377
"sigma*_kappa, seven sweep-corpus technologies (m2 Table 4; pairs/cell bootstrap SEs)",leave out Muennighoff,"Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder",6,0.7068563246799219,0.0024889176426864394,69.68442067822474,5,1.1920704338045556e-13,0.928247950527019,0.0040876860277005485,0.06393501409791467,0.6376430019562137,0.03016458255004711,0.5785204201581213,0.6967655837543061,0.03016458255004711,0.5601024739735104,0.715183529938917,0.44136604360804643,0.833919960304381
"sigma*_kappa, seven sweep-corpus technologies (m2 Table 4; pairs/cell bootstrap SEs)",one estimate per study (inverse-variance within study),Hoffmann et al. (2022); Li et al. (2025); Gadre et al. (2025); Bhagia et al. (2024); Muennighoff et al. (2023),5,0.7064640750833656,0.0024864274908927976,81.98936175418783,4,6.598277751810572e-17,0.95121318285179,0.004745312128405908,0.06888622597011618,0.6252477389559857,0.033270360204278274,0.5600378329556003,0.6904576449563712,0.039528338883367674,0.5154994759466599,0.7349960019653116,0.3817910334807415,0.86870444443123
"sigma*_kappa, seven sweep-corpus technologies (design-conditional wild SEs)",all technologies,"Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",7,0.7005343265907744,0.003508993506747097,104.37116524492464,6,3.067614505339387e-20,0.9425128579726021,0.004561296378038107,0.06753737023336123,0.6200804544512766,0.028721692160055934,0.5637859378175669,0.6763749710849862,0.02921269266376043,0.5485995705684652,0.691561338334088,0.43142300383376453,0.8087379050687886
"sigma*_kappa, seven sweep-corpus technologies (design-conditional wild SEs)",leave out Chinchilla,"Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.7005323894551485,0.00368268040383703,104.37116224076496,5,6.3270602272971854e-21,0.9520940469316043,0.011299580918462438,0.10629948691533012,0.6001846854243681,0.046288279830000785,0.5094596569575666,0.6909097138911696,0.046288279830000785,0.48119687409051726,0.7191724967582189,0.2782824166073346,0.9220869542414016
"sigma*_kappa, seven sweep-corpus technologies (design-conditional wild SEs)",leave out Farseer,"Chinchilla; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.6462983118297315,0.009097311153415848,62.61634119825306,5,3.4955948163661226e-12,0.9201486400463862,0.008607289528903118,0.09277547913593935,0.5986559958191422,0.04115941529385728,0.517983541843182,0.6793284497951024,0.04115941529385728,0.4928523504993412,0.7044596411389432,0.31685862125121805,0.8804533703870663
"sigma*_kappa, seven sweep-corpus technologies (design-conditional wild SEs)","leave out Gadre, C4","Chinchilla; Farseer; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.701098113387914,0.003519522526659701,100.0760164289415,5,5.0937267635392324e-20,0.9500379793439298,0.004587345539076653,0.06772994565977927,0.6219414033413818,0.030770657087099827,0.5616309154506661,0.6822518912320975,0.034113529144157946,0.5342497849739594,0.7096330217088043,0.415395927159157,0.8284868795236067
"sigma*_kappa, seven sweep-corpus technologies (design-conditional wild SEs)","leave out Gadre, RedPajama","Chinchilla; Farseer; Gadre, C4; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.700890981340681,0.0035170735749542174,102.13054267754873,5,1.8787982489391053e-20,0.9510430487402164,0.004642849318049814,0.06813845696851238,0.6195565129048152,0.030740870451528884,0.5593044068198185,0.6798086189898118,0.03397999113841109,0.5322081649093326,0.7069048609002977,0.412011893979499,0.8271011318301313
"sigma*_kappa, seven sweep-corpus technologies (design-conditional wild SEs)","leave out Gadre, RefinedWeb","Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; OLMo ladder; Muennighoff",6,0.7010436054039164,0.0035174083828903766,99.98454030227333,5,5.3249494438716984e-20,0.9499922689559406,0.004546062053317998,0.06742449149469351,0.6234475296946123,0.03049762744563421,0.5636721799011692,0.6832228794880553,0.033743568956736324,0.5367069242648844,0.7101881351243401,0.4179874528038774,0.8289076065853471
"sigma*_kappa, seven sweep-corpus technologies (design-conditional wild SEs)",leave out OLMo ladder,"Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; Muennighoff",6,0.7063327317496422,0.0035734715941496452,30.746975837902973,5,1.0508735404502267e-05,0.8373823810718871,0.0015549923104506158,0.039433390805897174,0.6497550211506794,0.021084122754562354,0.6084301405517372,0.6910799017496216,0.030398712773461976,0.5716126422684924,0.7278974000328664,0.5256031327983061,0.7739069095030527
"sigma*_kappa, seven sweep-corpus technologies (design-conditional wild SEs)",leave out Muennighoff,"Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder",6,0.7015978157440909,0.003518810395346003,87.9776294927494,5,1.7864916902614262e-17,0.9431673707415352,0.0039927078374289195,0.06318787729801437,0.6358901398030059,0.02899244439152937,0.5790649487956083,0.6927153308104035,0.02899244439152937,0.5613626888794445,0.7104175907265673,0.44286689825848274,0.8289133813475291
"sigma*_kappa, seven sweep-corpus technologies (design-conditional wild SEs)",one estimate per study (inverse-variance within study),Hoffmann et al. (2022); Li et al. (2025); Gadre et al. (2025); Bhagia et al. (2024); Muennighoff et al. (2023),5,0.7005343265907742,0.0035089935067470967,104.2135529945274,4,1.2458462194514763e-21,0.961617276399644,0.004649452600739194,0.06818689464068,0.6229371671677261,0.03239426119642156,0.5594444152227398,0.6864299191127123,0.039688891037358835,0.5127431399163226,0.7331311944191296,0.3826921738366721,0.86318216049878
"sigma* under kappa = 1 (Chinchilla form), seven technologies (m2 Table 4 SEs)",all technologies,"Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",7,0.7598638845159986,0.0044318607182944674,36.30994062127673,6,2.3994493137904112e-06,0.834755995263618,0.000885325774177274,0.02975442444708474,0.7770124589068804,0.013156116758762701,0.7512264700597056,0.8027984477540553,0.013156116758762701,0.7448206008948169,0.8092043169189439,0.6933832027669469,0.860641715046814
