a,b,diff,z,p
Chinchilla,Farseer,-0.009460373762385066,-0.7772329438359499,0.4370213490816063
Chinchilla,"Gadre, C4",0.09382462579254014,2.0027599659122495,0.04520305885034933
Chinchilla,"Gadre, RedPajama",0.07737363800829766,1.4579178766719385,0.14486318053427027
Chinchilla,"Gadre, RefinedWeb",0.10607626277165183,2.0375978701478497,0.04159016522471505
Chinchilla,OLMo ladder,0.15636161160920892,7.15182258368997,8.563320286971884e-13
Chinchilla,Muennighoff,0.1898228050911024,3.9211369674211043,8.813214802030341e-05
Farseer,"Gadre, C4",0.1032849995549252,2.267138319638063,0.023381777339153472
Farseer,"Gadre, RedPajama",0.08683401177068273,1.671944552014626,0.09453525641408381
Farseer,"Gadre, RefinedWeb",0.1155366365340369,2.269807400742002,0.023219271350289714
Farseer,OLMo ladder,0.16582198537159398,8.754496047286109,2.050174867495514e-18
Farseer,Muennighoff,0.19928317885348745,4.225442554386384,2.3847165497188172e-05
"Gadre, C4","Gadre, RedPajama",-0.016450987784242477,-0.2388496560405465,0.8112221643857209
"Gadre, C4","Gadre, RefinedWeb",0.01225163697911169,0.17990843309469595,0.8572244545768011
"Gadre, C4",OLMo ladder,0.06253698581666878,1.275117309060516,0.20226772373009527
"Gadre, C4",Muennighoff,0.09599817929856225,1.4689430347367058,0.14184824080949615
"Gadre, RedPajama","Gadre, RefinedWeb",0.028702624763354168,0.3957806055207686,0.6922668855840963
"Gadre, RedPajama",OLMo ladder,0.07898797360091125,1.4356262534880775,0.15110872011384416
"Gadre, RedPajama",Muennighoff,0.11244916708280472,1.6076097622523022,0.10792067281014499
"Gadre, RefinedWeb",OLMo ladder,0.05028534883755709,0.9304432775702527,0.35214161991997095
"Gadre, RefinedWeb",Muennighoff,0.08374654231945056,1.2104993652993983,0.2260873341674986
OLMo ladder,Muennighoff,0.03346119348189347,0.662090201213422,0.5079134152802318
