design,budget_C,c,n_budget,nwin,nleft,nright,xstar,Nstar,Mstar,Lstar,curv,slope,S,sigma,sigma_pop,se_sigma,lo_sigma,hi_sigma,se_curv,se_slope,weight,share_nonconvex_draws
Chinchilla,6e+18,43.238291143120875,12,9,3,6,19.024961079597745,182993479.60511053,29.862679236618803,3.0494242860844265,0.2172747281686367,-0.22077059878643923,0.9841651441042462,0.6702041956194545,0.6935540469908584,0.06595241200685853,0.5822699641478508,0.8181180970919779,0.057912929682500676,0.01134221198250028,0.05879903589451067,0.0
Chinchilla,1e+19,43.74911676688687,26,13,4,9,19.38296332746682,261766469.76319057,24.32320037301068,2.9359411521032333,0.16967913941664614,-0.20142179300564916,0.8424070547911727,0.7036289881946332,0.7609745907449279,0.06262900868768358,0.6146389288964895,0.8347921831846886,0.05011022269078988,0.0071867097461554025,0.07020049411995362,0.0
Chinchilla,3e+19,44.84772905555498,17,13,3,10,20.051567390996627,510840206.0750901,19.16019221007877,2.7399600142938456,0.08819514095663133,-0.16691246261127052,0.5283915866847686,0.7910167121788297,0.7534334909637226,0.05315281737546206,0.7072370286826767,0.9151040588833109,0.02828254405239796,0.0026198746937341685,0.20874358547302405,0.0
Chinchilla,6e+19,45.540876236114926,15,14,7,7,20.481891200298975,785547276.456598,16.205235455424624,2.6255099143168983,0.14426146735491274,-0.14806780472783698,0.9742932815143667,0.6724286446229998,0.6753929157340001,0.044767323612859664,0.5948301140111835,0.7799836380660334,0.028995481829218742,0.002347926080809405,0.16671030845922993,0.0
Chinchilla,1e+20,46.051701859880914,15,14,7,7,20.77942624193116,1057767341.2835343,14.895958086525816,2.561153555816325,0.08416713129560205,-0.13631961395128164,0.6174249534310006,0.7641097779626266,0.7235320016125609,0.05943516474177534,0.6794269185326814,0.8911680803773889,0.02730004510811737,0.0025500360318290033,0.11343972138323954,0.0
Chinchilla,3e+20,47.15031414854902,13,10,5,5,21.294629937063714,1770680790.6427038,15.9473840311516,2.4164230319081605,0.09180615113288826,-0.11327187548728766,0.8104937853102956,0.7116187235330207,0.689510809987262,0.07318957185724054,0.5854985873982836,0.8675713989220531,0.03250918837230899,0.0020343355238541675,0.10061455795689403,0.01001001001001001
Chinchilla,6e+20,47.84346132910897,13,9,5,4,21.464742162819405,2099032083.53261,22.696654487986713,2.3449461735489923,0.1563386963491037,-0.10129651529321772,1.5433768466423377,0.5644333319768616,0.6268657633275915,0.05396979030154773,0.4822378301528129,0.6854766921668756,0.033988606438330675,0.0018449198500866246,0.07401948676573918,0.0
Chinchilla,1e+21,48.35428695287496,17,14,10,4,21.7410261390992,2766990595.9459,21.768744564699237,2.296964334905261,0.11601929086617613,-0.09337117601379638,1.242560025687513,0.6167966002652316,0.6256141983628213,0.03813294490192356,0.5530067372590551,0.7041192159781052,0.018117670868333623,0.002639991907202645,0.16396112404679491,0.0
Chinchilla,3e+21,49.45289924154307,9,8,3,5,22.155776605127834,4189204119.0939565,28.49095196793034,2.2013258448553352,0.1141911977557819,-0.07844966191115688,1.4555983413300342,0.5787709688592496,0.603439538467953,0.05426047808491607,0.4887559397418805,0.6981035173609,0.028031699400930702,0.0066607189469396815,0.043511685900614216,0.0
Llama 3,6e+18,43.238291143120875,16,13,4,9,19.280614529292343,236300422.30042675,17.908986308996198,0.9000484629521918,0.039318580046010854,-0.04213762459765474,0.933099110864432,0.6818726283717592,0.6943755840104933,0.027211437358833756,0.637442646166957,0.7430164384689738,0.004317104294078151,0.002041533416738113,0.048321242075526065,0.0
Llama 3,1e+19,43.74911676688687,17,16,5,11,19.650579705422356,342088387.774921,14.24203619258786,0.8779010631098725,0.03852334553094772,-0.04016280556419061,0.9591796436973855,0.6758629893456127,0.6922805000440344,0.02573098818738616,0.6291377315305515,0.7290938774902818,0.004409305727037661,0.0011127980192957986,0.04348200081855599,0.0
Llama 3,3e+19,44.84772905555498,16,12,3,9,20.279441612544097,641578184.7053396,12.147050234272527,0.8367201167431759,0.02605245723105687,-0.035904002529790514,0.7256142879736165,0.7337795405698869,0.7152702981472676,0.023207165400208812,0.6902647369196103,0.7811437388823653,0.0030099235954765373,0.00047741794080843344,0.06980376288410348,0.0
Llama 3,6e+19,45.540876236114926,16,14,4,10,20.47867437311716,783024366.6830429,16.30983044244151,0.8133779948919845,0.022152723891955772,-0.03313702706202822,0.6685187494487282,0.7494794632464797,0.7103712294400237,0.02843625503463509,0.6996605110801473,0.8080059032038698,0.003233646943139389,0.000636557567073035,0.0496471184453999,0.0
Llama 3,1e+20,46.051701859880914,18,13,8,5,20.899339912421873,1192526392.3384619,11.71959896791946,0.7966248039758179,0.03058407525630269,-0.031030521005428382,0.9856126892278866,0.669879253667435,0.6746517261732866,0.04981052247942428,0.5997927190816761,0.7582030909155588,0.006841785083344825,0.0006100096690970454,0.0064248749162814645,0.0
Llama 3,3e+20,47.15031414854902,14,14,9,5,21.404146802779778,1975617417.2608075,12.810447817921316,0.7640781324092663,0.032632475130130845,-0.02641237577062427,1.2354994269930288,0.6181425913151024,0.6176374624151868,0.01349903500464954,0.5941709410423658,0.6441055562908757,0.0018123623667641036,0.00022700050811562752,0.1028774413543646,0.0
Llama 3,6e+20,47.84346132910897,12,11,9,2,21.61255943740988,2433410084.2549977,16.88765674669994,0.7481067483504117,0.03338105013102077,-0.023506595308089243,1.4200716732266825,0.584783066289687,0.5930552504529795,0.015133670180302355,0.5600440261461253,0.6168901175945186,0.0018941922939495453,0.0007700159677289798,0.05861886317314119,0.0
Llama 3,1e+21,48.35428695287496,12,9,5,4,21.84967062769541,3084546949.783022,17.51725207646364,0.7360481375975356,0.027275814886904115,-0.02128268649793587,1.281596422968007,0.6094594649122393,0.6086248492267092,0.01662749483861038,0.5838520753301291,0.6460770528312998,0.0006245390977824089,0.0014572352517976774,0.6208246963326274,0.0
"Marin, Comma",3e+18,42.545143962560935,5,5,3,2,19.473639046747024,286611743.2137733,6.08670205063302,3.91585686578885,0.14439726275143622,-0.20598559070376374,0.7010066202111186,0.7404646789957421,0.7332331672791598,0.1217832342137914,0.6034094002153488,1.0654521626871911,0.08135992649798149,0.013260973908695245,0.04299178719099188,0.0
"Marin, Comma",9e+18,43.64375625122904,10,8,3,5,19.77818723585217,388649021.4627959,9.930614013121614,3.7015177487365745,0.14729306816097365,-0.188233268245509,0.7825028462495915,0.7187773420234623,0.7060990658676094,0.03975013888426349,0.6515304269648164,0.8103533114708618,0.02834952163431608,0.006995491210529778,0.4846303805499122,0.0
"Marin, Comma",1.8e+19,44.33690343178899,15,9,3,6,20.049722538468988,509898650.0127805,11.53861095083165,3.5672780656588334,0.17202769776163696,-0.17746817251047606,0.9693439411029156,0.6735494572774657,0.6876684109326643,0.03687804848854777,0.6074672567486298,0.7517264939682862,0.029146578783124884,0.003929204223509288,0.37682410168057145,0.0
"Marin, Comma",1.8e+20,46.63948852478303,15,6,2,4,20.754242288987868,1031461214.7946197,28.197814574398638,3.2062194909699677,0.09323780410848248,-0.1477464000870027,0.6310665035058586,0.7601480226117541,0.7644241919515273,0.1413383382521159,0.5788287733670905,1.1097514849491767,0.07382924022899491,0.008323275673952914,0.03294497548643483,0.15115115115115116
"Marin, Comma",3e+20,47.15031414854902,15,6,2,4,21.16987609736982,1563005015.6501467,20.46676773328802,3.1205071397760173,0.12945035196122034,-0.14125758417710754,0.9164134634988278,0.6857738194640604,0.7203230331020257,0.08923867241211018,0.5405260103631111,0.9024455297778248,0.056270077918216276,0.009866894196210431,0.06260875509208973,0.02702702702702703
"Marin, DCLM",3e+18,42.545143962560935,5,5,3,2,19.52827009810428,302705244.0542272,5.456700467598561,3.758642856724855,0.16349243896033983,-0.2191627694934925,0.7459863704870472,0.7283357344724425,0.7159595469157624,0.15394364046474313,0.5489630024025083,1.3178055425680362,0.1059147479291222,0.023895491000744697,0.036840146525740004,0.03403403403403404
"Marin, DCLM",9e+18,43.64375625122904,10,8,3,5,19.89486124926582,436745519.96699035,7.863834076261382,3.5376663427615336,0.16428637561746973,-0.19190513994046973,0.85608116420661,0.7002602114620156,0.7044416572417234,0.04461879806017752,0.6296015867346995,0.8060904926202707,0.033511178736891085,0.006570914689955592,0.35186115320676153,0.0
"Marin, DCLM",1.8e+19,44.33690343178899,15,9,3,6,20.08171363647689,526474595.3760964,10.823467458648244,3.4019970439932945,0.15864793574609282,-0.1772594774603418,0.8950039683017066,0.6908453397296234,0.6925967948484616,0.05315902269094406,0.6047468641246356,0.8093869237914523,0.03913894925147569,0.007304626754953478,0.16989940982986496,0.0
"Marin, DCLM",3e+19,44.84772905555498,10,5,2,3,20.361078883968688,696152207.9470356,10.31719394358799,3.3194297011088727,0.12127294227159906,-0.1684110819928494,0.7201007251811862,0.7352668897460699,0.691674793731024,0.11236840290978697,0.5607405150202177,1.0562140991380562,0.06978263211397291,0.0075569758388825126,0.055122170696634165,0.0
"Marin, DCLM",9e+19,45.946341344223086,15,5,2,3,20.79943091870098,1079140705.8948865,12.880570814537466,3.1424141245352635,0.09221321131928724,-0.15206031525234465,0.6064252278200205,0.7673345003926215,0.7070950669786736,0.11812369711764253,0.5917222402833423,1.1116772146234486,0.060637981657873194,0.004065484199512032,0.08508723404414212,0.01901901901901902
"Marin, DCLM",1.8e+20,46.63948852478303,15,6,2,4,21.163564774045366,1553171449.6872668,12.436049933969853,3.041092650649299,0.12495779923170447,-0.1439395825273252,0.8681267309357573,0.6973192566520512,0.7069015362155515,0.07153709765850802,0.5865966650478407,0.888434029394078,0.039786215156851476,0.010443320815332906,0.1441337168035992,0.0
"Marin, DCLM",3e+20,47.15031414854902,15,7,3,4,21.451906453524384,2072261693.9230847,11.643426505074936,2.967185126434451,0.09909754206524868,-0.1387471220637792,0.7142313338917082,0.7368568681035629,0.7085256963290331,0.05996075052436683,0.6531500504001674,0.8911485808999101,0.03032662521367003,0.01904571106113805,0.15705616889325805,0.0
"Marin, Nemotron-CC",3e+18,42.545143962560935,5,5,3,2,19.50853362456758,296789480.2024684,5.676400086391813,3.7352650209081517,0.14714586241264954,-0.22094501951986179,0.6659840657753406,0.7501920306557968,0.7431940979276235,0.0946064354987729,0.6274602241672682,0.9963278884841386,0.06455748228972004,0.017704967418289065,0.05817007598804627,0.0
"Marin, Nemotron-CC",9e+18,43.64375625122904,10,8,3,5,19.853908196073775,419220753.05272526,8.535042961944157,3.507031976364989,0.17021356037748436,-0.198779269156041,0.8562943263659317,0.7002079517990722,0.709838567008688,0.044610669825372734,0.6337027667846177,0.8140740628994745,0.03513860462795767,0.004696117916419366,0.23932983318372944,0.0
"Marin, Nemotron-CC",1.8e+19,44.33690343178899,15,9,2,7,20.03461539856708,502253433.8486621,11.892562032660432,3.370486669232653,0.1496463310383731,-0.18550635134822266,0.8066911453477136,0.7125828587570597,0.706356794503305,0.06586534266207585,0.6149240221450814,0.8766291242061192,0.047071630983091965,0.005399392787986328,0.12029996528496364,0.0
"Marin, Nemotron-CC",3e+19,44.84772905555498,10,5,2,3,20.333753601517,677387199.4076629,10.896726067009386,3.2798357850426494,0.14194933777661145,-0.17641428093249606,0.8046363198392514,0.7131049348011833,0.6957031850864827,0.07780093041949097,0.5920950210020716,0.8935717386941286,0.053885299104207626,0.005531252223559817,0.07000210362750371,0.0
"Marin, Nemotron-CC",9e+19,45.946341344223086,15,5,2,3,20.83307994328056,1116070580.722355,12.042258296344484,3.096164121176003,0.12137099422235902,-0.1578405335501928,0.7689469332905126,0.7222962549243496,0.6932876997860169,0.0731673724772769,0.6130925775309558,0.8856464874203421,0.04358473229521066,0.003637634671747706,0.09186467025953254,0.0
"Marin, Nemotron-CC",1.8e+20,46.63948852478303,15,6,2,4,21.188501498863825,1592389410.2143571,11.831033748635818,2.9915810454093363,0.14499499650743208,-0.14696095737650577,0.9866225635422542,0.6696527456847174,0.6962059938693557,0.04250323665710664,0.5967241672683897,0.7710423531283018,0.026120777181551307,0.008436540447776284,0.2831231960662004,0.0
"Marin, Nemotron-CC",3e+20,47.15031414854902,15,7,2,5,21.417887828961437,2002951799.048655,12.46318403691949,2.9170912143896306,0.10158731594227877,-0.13919518784326476,0.7298191662822938,0.7326492628901037,0.7062713760397583,0.05199953551582887,0.6522592382282728,0.8474543870379677,0.029660797665988822,0.014719057922526127,0.13721015559002403,0.0
"Porian, RefinedWeb",1.25e+16,37.06450503921894,8,5,3,2,16.349221541150786,12600178.533551246,13.122161096720554,4.553952125338768,0.775379121320046,-0.2727243072168613,2.8430876925960633,0.4129596916152329,0.37484026350774075,0.04562850075266909,0.33502477555725957,0.5163887209230839,0.1270392480774243,0.014339812118606791,0.01685436108284317,0.0
"Porian, RefinedWeb",2.5e+16,37.75765221977888,9,6,4,2,16.644997635269032,16936771.341809735,14.525380229893024,4.367406748742016,0.6250900071811718,-0.2522791407576792,2.477771270759112,0.4466507731336045,0.4313752546180619,0.02001783845187716,0.41059043641695303,0.4882756768515053,0.040817839771618375,0.00870292246650275,0.13838309147376573,0.0
