design,order,h,fkind,center,k_valid,ok,sigma_fe,se_sigma_fe,sigma_re,se_sigma_re,sigma_median_budget,drift_sigma_per_decade,p_drift,primary
Chinchilla,2,0.6,logcubic,path,7,True,0.6003701619506063,0.04197321834576717,0.6027538323591468,0.04306621899559138,0.6234011726111549,-0.06333360358741465,0.385,False
Chinchilla,2,0.8,logcubic,path,9,True,0.6804660840416372,0.022681660349584555,0.668729727819049,0.03298880916375404,0.6699858014016521,-0.0955482715292247,0.01,False
Chinchilla,2,1.0,logcubic,path,9,True,0.6825267216221018,0.019486797940474025,0.6721080107785442,0.027400645339046095,0.6724286446229998,-0.07450056976551,0.005,True
Chinchilla,2,1.25,logcubic,path,9,True,0.7184218522325221,0.01176687855162029,0.713545107298195,0.011280960090845648,0.6941906529148718,-0.034352182833536846,0.05,False
Chinchilla,2,1.5,logcubic,path,9,True,0.7124297450063506,0.0067790212371997794,0.6905296200662354,0.015741387565530295,0.6951481953711625,-0.05723478089361525,0.005,False
Chinchilla,2,inf,logcubic,path,9,True,0.6807193088614025,0.014278350808499575,0.6708871326187819,0.01711307819418559,0.6726162862546887,-0.05093571473970327,0.055,False
Chinchilla,3,1.0,logcubic,path,9,True,0.6679427406549158,0.024916410661274146,0.6649087211995504,0.023607165346818865,0.6799338021930339,-0.0528275096235987,0.1,False
Chinchilla,3,1.5,logcubic,path,9,True,0.7069937448172713,0.010953320262468114,0.6957214407660272,0.014851216332763395,0.6777467188946957,-0.05019561531847881,0.005,False
Chinchilla,2,1.0,logquad,path,9,True,0.6919426174885247,0.017861838194836326,0.6754669691185876,0.027769972282737483,0.6742497550047539,-0.0679258429239188,0.01,False
Chinchilla,2,1.0,cubic,path,9,True,0.6876267050202914,0.020498788466983078,0.6792511296516313,0.026608534246094957,0.6734142957790208,-0.06453615687087658,0.02,False
Chinchilla,2,1.0,power,path,9,True,0.6868293307053639,0.018550405017102027,0.6780126100269357,0.02722127837045783,0.6734272392747189,-0.07169758297441996,0.01,False
Chinchilla,2,1.0,logcubic,iter,9,True,0.706368777570359,0.018136946851048885,0.7008573554061669,0.02424158047416927,0.71166823698126,-0.05370008717175129,0.025,False
Llama 3,2,0.6,logcubic,path,7,True,0.6397134757895527,0.015660165092594307,0.6546475043979819,0.034355253890613384,0.6421242405215212,-0.11625465197705237,0.005,False
Llama 3,2,0.8,logcubic,path,8,True,0.6541877040665689,0.010966212137321454,0.6767266154922349,0.02806351033397724,0.679523137333079,-0.06726308810410125,0.005,False
Llama 3,2,1.0,logcubic,path,8,True,0.6276478269484109,0.011052110781774697,0.6602680261149991,0.023007253327271066,0.6728711215065238,-0.05356733174787963,0.005,True
Llama 3,2,1.25,logcubic,path,8,True,0.6234759914851696,0.010035603335449094,0.6571553481949624,0.01993972341824624,0.6704405819962247,-0.057975932418595846,0.005,False
Llama 3,2,1.5,logcubic,path,8,True,0.6227891241899287,0.011214524528460498,0.6542769117208723,0.016784005508501437,0.6553886914907272,-0.054941186374040565,0.005,False
Llama 3,2,inf,logcubic,path,9,True,0.629611121386691,0.0020910701361921036,0.641884359309905,0.013327463600944783,0.6525293320075929,-0.042911084933340275,0.005,False
Llama 3,3,1.0,logcubic,path,9,True,0.6269361223243651,0.004867644535546219,0.6552091129675385,0.022877018613450546,0.6559900320523051,-0.04339793781902426,0.005,False
Llama 3,3,1.5,logcubic,path,8,True,0.622142729263954,0.003069490724164063,0.6525157116754712,0.018428678585526773,0.638120386491075,-0.04414876688006276,0.005,False
Llama 3,2,1.0,logquad,path,8,True,0.637881434840188,0.005443966951034096,0.6622909382169038,0.02040036863434975,0.6731715951914958,-0.04505558923499768,0.005,False
Llama 3,2,1.0,cubic,path,8,True,0.637116504451853,0.009912658246143765,0.6601275882631173,0.023000375907304457,0.6729793510472948,-0.05441586089914071,0.005,False
Llama 3,2,1.0,power,path,8,True,0.638624606674016,0.005091213478096244,0.6633651758333425,0.019557879201658097,0.67312653546785,-0.04312604518119856,0.005,False
Llama 3,2,1.0,logcubic,iter,8,True,0.6316832031736963,0.011921330557441306,0.6659208044488845,0.02477836116884187,0.6687154062285914,-0.05899644255646072,0.005,False
"Marin, Comma",2,0.6,auto,path,2,False,,,,,,,,
"Marin, Comma",2,0.8,logquad,path,4,True,0.684490561905093,0.06214624757663814,0.6850810263944959,0.05906339120718532,0.6233266695538724,0.02332204524828488,0.92,False
"Marin, Comma",2,1.0,logquad,path,5,True,0.6980498127506715,0.02512058270055837,0.6997796402000632,0.023957109810731948,0.7187773420234623,-0.01815156601628595,0.685,True
"Marin, Comma",2,1.25,logcubic,path,6,True,0.7088332213707927,0.014470220326818196,0.7206860941161051,0.023096504192643377,0.741485963675808,0.047384925932580944,0.165,False
"Marin, Comma",2,1.5,logcubic,path,7,True,0.7046125628439773,0.009332965824912954,0.7231455586734806,0.019343474271302293,0.7616769620047542,0.06005267753730754,0.02,False
"Marin, Comma",2,inf,logcubic,path,7,True,0.7031955773244364,0.00830584934036127,0.6988456159226144,0.006253005771744167,0.7082186161631783,0.02857750115733014,0.17,False
"Marin, Comma",3,1.0,logquad,path,5,True,0.6695458091544225,0.039030952520481665,0.6683339099719197,0.03838251473761706,0.5366854475063418,-0.10195949388587362,0.855,False
"Marin, Comma",3,1.5,logcubic,path,6,True,0.6832151083582124,0.014302199142972366,0.6850797546593571,0.014790322662104899,0.6779169777691643,0.012935187917956437,0.7,False
"Marin, Comma",2,1.0,logquad,path,5,True,0.704812900969377,0.026373517068532807,0.7057274375402787,0.02460528268806196,0.7187773420234623,-0.007672667186853655,0.88,False
"Marin, Comma",2,1.0,cubic,path,5,True,0.7024678979173272,0.025743523051870446,0.7021148810061408,0.027360781051741202,0.7163886180503239,0.0007592778501006453,1.0,False
"Marin, Comma",2,1.0,power,path,5,True,0.7047475533884164,0.0255545874975179,0.7041830875698456,0.02596598903723307,0.7190703400798193,-0.01712349663008886,0.785,False
"Marin, Comma",2,1.0,logquad,iter,5,True,0.7084393919890807,0.029243047445133452,0.7071476471505985,0.030017412791567565,0.7172500978474473,-0.04691891916213446,0.49230769230769234,False
"Marin, DCLM",2,0.6,logquad,path,4,True,0.6369095850285298,0.08012391309094707,0.6367859953881063,0.0862383627656075,0.6099735382094954,0.05948814484224047,0.5798319327731093,False
"Marin, DCLM",2,0.8,logcubic,path,7,True,0.7038144388928937,0.04357412848190087,0.7026142632400397,0.04148456786202414,0.6945334552188458,0.0033162368712295197,0.945,False
"Marin, DCLM",2,1.0,logcubic,path,7,True,0.7113154333681893,0.02747376196304762,0.7121195228724501,0.028074792290426857,0.7283357344724425,0.018257280103097604,0.675,True
"Marin, DCLM",2,1.25,logcubic,path,7,True,0.690378238899588,0.013402163066451771,0.6910837157855313,0.01371991725592404,0.700868258934198,0.013385947086208792,0.675,False
"Marin, DCLM",2,1.5,logcubic,path,7,True,0.6962280599796343,0.007597697057779968,0.6963016970449937,0.008994325001864744,0.6965695681568885,0.01673582349249254,0.505,False
"Marin, DCLM",2,inf,logcubic,path,7,True,0.6648344803949414,0.013135040545936333,0.6793847866796839,0.005172698800548757,0.6780544840633511,-0.007221337617208952,0.675,False
"Marin, DCLM",3,1.0,logcubic,path,7,True,0.685466189485826,0.04215878416655188,0.6882712485483705,0.04346943188611699,0.6853526272423018,0.0010546911886741364,0.995,False
