tech,variant,n,n_sizes,sigma_kappa,kappa,a1,b1,E_kappa,sigma_chin,E_chin,qlr_kappa1,sigma_kappa_E_chin,kappa_E_chin,inference,E_set_lo,E_set_hi,sigma_kappa_over_E_set_lo,sigma_kappa_over_E_set_hi,sigma_kappa_E_grid_min,sigma_kappa_E_grid_max,se_sigma_kappa,lo,hi,B
Chinchilla,baseline,240,43,0.7005534219623528,0.7741442045647092,0.42435902605976666,0.43052675038495714,1.7571362425912174,0.7367885709273698,1.8172180991452733,31.203496466570627,0.703163671891406,0.8422195874872019,"wild (Feng-He-Hu), run level",1.7197856643085738,1.7887848303054237,0.6969080356767513,0.702719816844698,0.6413164742682833,0.7110729059948199,0.011562402234116488,0.6800509871189013,0.7216803315156242,499
Chinchilla,drop runs with N below its 10th percentile,216,37,0.6897269443576078,0.7473906211997807,0.4559149286362123,0.44378330174500535,1.7672616463358457,0.7288323408699744,1.844832724906938,36.072721036334286,0.6899967844395305,0.8273174948387698,"wild (Feng-He-Hu), run level",,,,,,,0.013542710441406397,0.6637764966191416,0.7128558852642323,199
Chinchilla,drop runs with N below its 25th percentile,180,31,0.6484072787544882,0.6896033858329177,0.6017212967606971,0.48275980875952074,1.824598468220508,0.7018292945236178,1.901941913298118,25.21285967743631,0.6540070320297896,0.8040876058518096,"wild (Feng-He-Hu), run level",,,,,,,0.0165849098738051,0.6199737742296679,0.6813829065692991,199
Chinchilla,all 245 runs (outliers kept),245,43,0.6638272800372299,0.6998939149237574,0.4652138213389722,0.5476180705468697,1.8045983118512725,0.7136836239040595,1.8913384937084672,45.67649226371594,0.67121471414875,0.8068561139940227,"wild (Feng-He-Hu), run level",,,,,,,0.015561267391394913,0.6386276461662347,0.7016688679273528,199
Farseer,baseline,404,25,0.7100137957247379,0.47167750693026417,0.3915371046128119,0.4253095708218881,0.26546879710392307,0.7715456823245482,0.36867186973460303,1173.1736607028804,0.6964038214299866,0.6733322243182577,"wild cluster (Webb), model size",0.2577331965214286,0.2735733929785714,0.7093073372042957,0.7108205369693759,0.673615562561006,0.7286865114444075,0.0038033051572511183,0.7024155131307515,0.7170994623482307,499
Farseer,drop the 1 smallest model size,389,24,0.7101798870233076,0.47349777811315374,0.39256627631674257,0.42362161712378477,0.2662235463002534,0.7726526818570526,0.3670438267698337,1126.8777427777675,0.6944176567739272,0.6654810013330448,"wild cluster (Webb), model size",,,,,,,0.004072010832090809,0.7032555935270874,0.7173080358392958,199
Farseer,drop the 2 smallest model sizes,374,23,0.7090298947462095,0.4753804007706849,0.3979924672459893,0.422763067632947,0.2686617507686476,0.7704573895195874,0.36865652236531876,1084.7642377573247,0.6916638838618663,0.6672381331384237,"wild cluster (Webb), model size",,,,,,,0.004084349110066114,0.701188189997379,0.716604067221056,199
Farseer,drop the 5 smallest model sizes,324,20,0.7101784300930718,0.4613921885818589,0.3950295891127365,0.4211640817340275,0.258911850181598,0.7741014945289072,0.3633163505830953,961.5380402501019,0.6869032976851803,0.6517356965494656,"wild cluster (Webb), model size",,,,,,,0.005103366261563608,0.7011195791234747,0.7201121687587463,199
Farseer,N incl. both embeddings,404,25,0.6678003640383113,0.524198978410569,0.5732080987561042,0.4216989239140139,0.31615593603724657,0.7243633830065584,0.3920112563718819,1172.4151877774402,0.6480209334311878,0.7023479780652797,"wild cluster (Webb), model size",,,,,,,0.0038848202652013567,0.6612089785391507,0.6754939804775446,199
Farseer,"drop M > 1,000",389,25,0.7157641245067954,0.48243936778286417,0.378070307106219,0.4161462951552042,0.2639265900777989,0.7854989469704147,0.35313296183568893,1087.9070657033826,0.7045814408515505,0.6488142020578045,"wild cluster (Webb), model size",,,,,,,0.003590404650904714,0.7097137820778633,0.7223733949710173,199
Farseer,drop M < 2,355,25,0.6944783432995197,0.4314599662522274,0.4205092660719965,0.4593501554584824,0.26176430155676644,0.7966553116580535,0.3317207036843545,1143.735509972155,0.6900473418217924,0.5522573113930507,"wild cluster (Webb), model size",,,,,,,0.0015392132197408024,0.6913662894854526,0.6971858504204141,199
"Gadre, C4",baseline,34,6,0.6067287961698127,0.3528673804026429,0.6960115353310007,0.6003541763769288,1.4024360069676185,0.7952908342556049,1.6200235289881637,22.896380817035215,0.6023866418162547,0.3817131737518889,"wild (Feng-He-Hu), run level",1.242157791928961,1.604595613409603,0.5998545951042475,0.6135495283090584,0.5529931164209236,0.6428611991298724,0.04539839720959178,0.526825901779545,0.6904125553588735,499
"Gadre, C4",drop the 1 smallest model size,26,5,0.5277745273119443,0.40641545965764186,1.0594276150232171,0.730069407855812,1.9564146035068892,0.7199799344389219,2.0460109181718873,16.414257439677723,0.5345666482948919,0.4536561541104722,"wild (Feng-He-Hu), run level",,,,,,,0.05035219149920632,0.44316370070625366,0.6370335260062875,199
"Gadre, C4",drop the 2 smallest model sizes,18,4,0.49320611440493084,0.29505590641839197,1.1795112507999428,0.8755885169980798,1.8156540231899236,0.7288365682648874,2.033987023891073,7.281601228179307,0.5416659130719185,0.4571118845118963,"wild (Feng-He-Hu), run level",,,,,,,0.09271002617893309,0.3112655517357272,0.6482193904693915,199
"Gadre, RedPajama",baseline,35,6,0.6231797839540552,0.3945600332861967,0.6110770779465969,0.5982696491087418,1.6190228261892992,0.7948841498996213,1.7202448247971178,12.984965049807903,0.6791288009732644,0.5367939343891186,"wild (Feng-He-Hu), run level",1.4775136526867798,1.7269415143361306,0.6064587891769776,0.6845943663605061,0.5956145285955692,0.7020913882904724,0.05179649334893955,0.5222093838345292,0.7313681222873429,499
"Gadre, RedPajama",drop the 1 smallest model size,27,5,0.573990087840136,0.3782839060755389,0.7866594365521965,0.6977212912157484,1.8124026915830505,0.7709040702598587,1.873565550727786,10.755325105284568,0.5678066499159411,0.3862945617345664,"wild (Feng-He-Hu), run level",,,,,,,0.07078599480686446,0.45993812051099153,0.7161209484938744,199
"Gadre, RedPajama",drop the 2 smallest model sizes,19,4,0.6956227345925508,0.5692921026475148,0.449319158435733,0.42580251390504575,1.7055646558882613,0.7825282100511668,1.8145496348326453,4.243493347985741,0.6582942797526716,0.5407553869223658,"wild (Feng-He-Hu), run level",,,,,,,0.09734857354841114,0.5365657229885205,0.8936243718263575,199
