split,sigma_star,alpha,beta,k,w,C_over_Cmin,cosh_formula,brute_force,overhead_pct,expenditure_share_inference
homothetic (alpha = beta),0.6,0.6666666666666667,0.6666666666666667,2,1.5874010519681996,1.082608090954615,1.0826080909546152,1.0826080909556808,8.260809095461497,0.37003947505256346
homothetic (alpha = beta),0.6,0.6666666666666667,0.6666666666666667,10,4.64158883361278,2.2444725900224376,2.2444725900224363,2.2444725900245546,124.44725900224375,0.7845565309968117
homothetic (alpha = beta),0.6,0.6666666666666667,0.6666666666666667,100,21.544346900318853,14.322637113481013,14.322637113480997,14.322637113483118,1332.2637113481014,0.9535841116638722
homothetic (alpha = beta),0.6,0.6666666666666667,0.6666666666666667,1000,100.00000000000004,128.7876250000004,128.78762499999996,128.78762499992936,12778.762500000039,0.99
homothetic (alpha = beta),0.7,0.4285714285714286,0.4285714285714286,2,1.3459001926323562,1.0526269919386122,1.052626991938612,1.0526269919386098,5.26269919386122,0.2570028554315258
homothetic (alpha = beta),0.7,0.4285714285714286,0.4285714285714286,10,2.6826957952797263,1.7270329943763456,1.7270329943763452,1.7270329943763478,72.70329943763456,0.6272406279685061
homothetic (alpha = beta),0.7,0.4285714285714286,0.4285714285714286,100,7.196856730011523,7.225717200255832,7.225717200255822,7.225717200252708,622.5717200255832,0.8610504505626863
homothetic (alpha = beta),0.7,0.4285714285714286,0.4285714285714286,1000,19.3069772888325,49.835406841252635,49.83540684125244,49.83540684125427,4883.540684125263,0.9482052532076879
homothetic (alpha = beta),0.74,0.3513513513513513,0.3513513513513513,2,1.2757550489349951,1.0429967618648992,1.0429967618649003,1.042996761864983,4.29967618648992,0.21615046647488986
homothetic (alpha = beta),0.74,0.3513513513513513,0.3513513513513513,10,2.245697995539774,1.5738658511894275,1.573865851189427,1.5738658511894263,57.38658511894275,0.5547041490057345
homothetic (alpha = beta),0.74,0.3513513513513513,0.3513513513513513,100,5.043159487171359,5.415518401512332,5.415518401512326,5.415518401512336,441.55184015123325,0.8017116050872929
homothetic (alpha = beta),0.74,0.3513513513513513,0.3513513513513513,1000,11.325413151528114,31.30562141191978,31.305621411919788,31.305621411919734,3030.562141191978,0.911703000445059
homothetic (alpha = beta),0.8,0.25,0.25,2,1.189207115002721,1.030445071945705,1.0304450719457054,1.0304450719457063,3.0445071945705005,0.15910358474628544
homothetic (alpha = beta),0.8,0.25,0.25,10,1.778279410038923,1.3866517290987683,1.3866517290987683,1.3866517290987648,38.66517290987683,0.437658674809651
homothetic (alpha = beta),0.8,0.25,0.25,100,3.1622776601683795,3.5189121050494405,3.5189121050494396,3.518912105048665,251.89121050494404,0.6837722339831621
homothetic (alpha = beta),0.8,0.25,0.25,1000,5.62341325190349,14.468211737234217,14.46821173723421,14.468211737234233,1346.8211737234217,0.8221720589961077
alpha/beta of Besiroglu et al. (0.951),0.6,0.6498505231689089,0.6834828101644246,2,1.5874010519681996,1.0822797729765228,,1.082279772976377,8.227977297652277,0.37003947505256346
alpha/beta of Besiroglu et al. (0.951),0.6,0.6498505231689089,0.6834828101644246,10,4.64158883361278,2.2240965818995178,,2.224096581899166,122.40965818995177,0.7845565309968117
alpha/beta of Besiroglu et al. (0.951),0.6,0.6498505231689089,0.6834828101644246,100,21.544346900318853,13.674358605181254,,13.674358605170788,1267.4358605181255,0.9535841116638722
alpha/beta of Besiroglu et al. (0.951),0.6,0.6498505231689089,0.6834828101644246,1000,100.00000000000004,116.77194179918773,,116.7719417990048,11577.194179918773,0.99
alpha/beta of Besiroglu et al. (0.951),0.7,0.41776105060858426,0.43938180653427295,2,1.3459001926323562,1.052493215527099,,1.0524932155271007,5.249321552709896,0.2570028554315258
alpha/beta of Besiroglu et al. (0.951),0.7,0.41776105060858426,0.43938180653427295,10,2.6826957952797263,1.7196946326173799,,1.719694632617412,71.96946326173799,0.6272406279685061
alpha/beta of Besiroglu et al. (0.951),0.7,0.41776105060858426,0.43938180653427295,100,7.196856730011523,7.034872627024984,,7.034872627018119,603.4872627024984,0.8610504505626863
alpha/beta of Besiroglu et al. (0.951),0.7,0.41776105060858426,0.43938180653427295,1000,19.3069772888325,46.61202190665568,,46.6120219066541,4561.202190665567,0.9482052532076879
alpha/beta of Besiroglu et al. (0.951),0.74,0.3424887892376681,0.3602139134650345,2,1.2757550489349951,1.042907370179985,,1.0429073701801,4.290737017998492,0.21615046647488986
alpha/beta of Besiroglu et al. (0.951),0.74,0.3424887892376681,0.3602139134650345,10,2.245697995539774,1.569227032999921,,1.5692270329999123,56.922703299992094,0.5547041490057345
alpha/beta of Besiroglu et al. (0.951),0.74,0.3424887892376681,0.3602139134650345,100,5.043159487171359,5.30915074759669,,5.3091507475965996,430.91507475966904,0.8017116050872929
alpha/beta of Besiroglu et al. (0.951),0.74,0.3424887892376681,0.3602139134650345,1000,11.325413151528114,29.68803950825494,,29.688039508254494,2868.8039508254938,0.911703000445059
alpha/beta of Besiroglu et al. (0.951),0.8,0.24369394618834084,0.25630605381165916,2,1.189207115002721,1.0304001977882358,,1.0304001977882393,3.040019778823577,0.15910358474628544
alpha/beta of Besiroglu et al. (0.951),0.8,0.24369394618834084,0.25630605381165916,10,1.778279410038923,1.3845121117745174,,1.384512111774518,38.45121117745174,0.437658674809651
alpha/beta of Besiroglu et al. (0.951),0.8,0.24369394618834084,0.25630605381165916,100,3.1622776601683795,3.479654999655149,,3.4796549996536847,247.96549996551488,0.6837722339831621
alpha/beta of Besiroglu et al. (0.951),0.8,0.24369394618834084,0.25630605381165916,1000,5.62341325190349,13.999545798824272,,13.99954579882433,1299.9545798824272,0.8221720589961077
alpha/beta of Hoffmann et al. (1.191),0.6,0.7246701917427764,0.6086631415905571,2,1.5874010519681996,1.0837634014442383,,1.083763401444211,8.376340144423832,0.37003947505256346
