design,C,sigma
Chinchilla,5.999999999999989e+18,0.7355551864624614
Chinchilla,1.0000000000000033e+19,0.7194328839556655
Chinchilla,3.0000000000000025e+19,0.8688332090183716
Chinchilla,6.000000000000016e+19,0.6727242291721683
Chinchilla,1.0000000000000008e+20,0.7643125782600099
Chinchilla,2.9999999999999954e+20,0.7116682369812602
Chinchilla,6.000000000000001e+20,0.6038605232613746
Chinchilla,9.999999999999983e+20,0.6164188331912681
Chinchilla,3.0000000000000094e+21,0.6000508217455234
Llama 3,5.999999999999989e+18,0.7121817530684418
Llama 3,1.0000000000000033e+19,0.6678270026114927
Llama 3,3.0000000000000025e+19,0.7336969349342725
Llama 3,6.000000000000016e+19,0.8074431464448694
Llama 3,1.0000000000000008e+20,0.6696038098455876
Llama 3,2.9999999999999954e+20,0.6183665516678761
Llama 3,6.000000000000001e+20,0.5858437580704146
Llama 3,9.999999999999983e+20,0.6114360296741935
"Marin, Comma",3.00000000000001e+18,0.7376762750751726
"Marin, Comma",9.000000000000009e+18,0.7179308180833949
"Marin, Comma",1.8000000000000051e+19,0.7010925185054394
"Marin, Comma",1.8000000000000007e+20,0.684062080592587
"Marin, Comma",2.9999999999999954e+20,0.6220774205177565
"Marin, DCLM",3.00000000000001e+18,0.7301526965400904
"Marin, DCLM",9.000000000000009e+18,0.6888003340995098
"Marin, DCLM",1.8000000000000051e+19,0.6491528920823757
"Marin, DCLM",3.0000000000000025e+19,0.6993431689713479
"Marin, DCLM",8.999999999999987e+19,0.7278310138612375
"Marin, DCLM",1.8000000000000007e+20,0.6767696602306881
"Marin, DCLM",2.9999999999999954e+20,0.6950928551500503
"Marin, Nemotron-CC",3.00000000000001e+18,0.7536507302500964
"Marin, Nemotron-CC",9.000000000000009e+18,0.7068659946871427
"Marin, Nemotron-CC",1.8000000000000051e+19,0.6519487840551917
"Marin, Nemotron-CC",3.0000000000000025e+19,0.6596921022025365
"Marin, Nemotron-CC",8.999999999999987e+19,0.7222037092266168
"Marin, Nemotron-CC",1.8000000000000007e+20,0.6624728227657186
"Marin, Nemotron-CC",2.9999999999999954e+20,0.6939525892064419
"Porian, RefinedWeb",1.2500000000000032e+16,0.3607573909436271
"Porian, RefinedWeb",2.4999999999999932e+16,0.39812988985033565
"Porian, RefinedWeb",4.999999999999996e+16,0.44868397953163697
"Porian, RefinedWeb",1.000000000000001e+17,0.4813073017261267
"Porian, RefinedWeb",2.0000000000000058e+17,0.47562070485825464
"Porian, RefinedWeb",3.9999999999999904e+17,0.4992469879239125
"Porian, RefinedWeb",7.999999999999996e+17,0.5087980672980509
"Porian, RefinedWeb",1.6000000000000023e+18,0.5037175848241972
"Porian, RefinedWeb",3.20000000000001e+18,0.48006250314724913
"Porian, RefinedWeb",6.399999999999988e+18,0.508488617815569
"Porian, RefinedWeb",1.2799999999999998e+19,0.5272987073606326
"Porian, RefinedWeb",2.5600000000000045e+19,0.5679015603115423
"Porian, OpenWebText2",1.2500000000000032e+16,0.3627908579785425
"Porian, OpenWebText2",2.4999999999999932e+16,0.427828270771104
"Porian, OpenWebText2",4.999999999999996e+16,0.4719055306040402
"Porian, OpenWebText2",1.000000000000001e+17,0.476133315457231
"Porian, OpenWebText2",2.0000000000000058e+17,0.5043653413817973
"Porian, OpenWebText2",3.9999999999999904e+17,0.5048503516099473
"Porian, OpenWebText2",7.999999999999996e+17,0.5343689729135628
"Porian, OpenWebText2",1.6000000000000023e+18,0.5131439922888509
"Porian, OpenWebText2",3.20000000000001e+18,0.4862392466048903
"Porian, OpenWebText2",6.399999999999988e+18,0.5082415024079264
"Porian, OpenWebText2",1.2799999999999998e+19,0.5179637076261763
"Porian, OpenWebText2",2.5600000000000045e+19,0.5693547567420201
