year,n,C_total,s_agg,s_agg_untrunc,top_share_C,top_model,tech,sample,all
2023.0,24,8.9468366943744e+24,0.2765747619447369,0.26788926386434064,0.421375062080935,falcon-180B,reference,clean,
2024.0,40,6.937497168903169e+25,0.5847245285923777,0.5847245285923777,0.5475732280217414,Llama-3.1-405B,reference,clean,
2025.0,13,1.6798354847239678e+25,0.8291467257178425,0.8291467257178425,0.37825060019160706,Apertus-70B-2509,reference,clean,
2023.0,24,8.9468366943744e+24,0.2727432333283492,0.2571576262559476,0.421375062080935,falcon-180B,lab-own where available,clean,
2024.0,40,6.937497168903169e+25,0.5552945350456888,0.5518014243257394,0.5475732280217414,Llama-3.1-405B,lab-own where available,clean,
2025.0,13,1.6798354847239678e+25,0.8238572711071473,0.8238572711071473,0.37825060019160706,Apertus-70B-2509,lab-own where available,clean,
2023.0,24,8.9468366943744e+24,0.006897803575871649,-1.7844302572595163,0.421375062080935,falcon-180B,min over technologies,clean,
2024.0,40,6.937497168903169e+25,0.04283209890335047,-0.8652662606032829,0.5475732280217414,Llama-3.1-405B,min over technologies,clean,
2025.0,13,1.6798354847239678e+25,0.20534503914947816,0.11222803384647975,0.37825060019160706,Apertus-70B-2509,min over technologies,clean,
2023.0,24,8.9468366943744e+24,0.6018185158291881,0.6018185158291881,0.421375062080935,falcon-180B,max over technologies,clean,
2024.0,40,6.937497168903169e+25,0.8140259943124444,0.8140259943124444,0.5475732280217414,Llama-3.1-405B,max over technologies,clean,
2025.0,13,1.6798354847239678e+25,0.957602147121531,0.957602147121531,0.37825060019160706,Apertus-70B-2509,max over technologies,clean,
2023.0,24,8.9468366943744e+24,0.2765747619447369,0.26788926386434064,0.421375062080935,falcon-180B,reference,"clean, leave out Llama 3.1 405B",
2024.0,39,3.1387094497351683e+25,0.7337305328308972,0.7337305328308972,0.2501751155923828,Qwen2.5-72B,reference,"clean, leave out Llama 3.1 405B",
2025.0,13,1.6798354847239678e+25,0.8291467257178425,0.8291467257178425,0.37825060019160706,Apertus-70B-2509,reference,"clean, leave out Llama 3.1 405B",
,77,9.512016323064576e+25,0.6575274933783338,0.6573464835626974,0.3993672414077722,Llama-3.1-405B,reference,clean,2019-2025
2019.0,1,4.6386183e+21,0.688617965294694,0.688617965294694,1.0,Grover-Mega,reference,open-weight universe (clean),
2020.0,1,2e+21,0.5527089381085636,0.5527089381085636,1.0,AraGPT2-Mega,reference,open-weight universe (clean),
2021.0,1,1.8347472e+21,0.8373066053871355,0.8373066053871355,1.0,EMDR,reference,open-weight universe (clean),
2022.0,5,6.735619041558e+23,0.008454773089700569,-1.3346788096240483,0.46767238179066706,OPT-175B,reference,open-weight universe (clean),
2023.0,53,1.2560591559023827e+25,0.3477812049731015,0.33385428425666114,0.300143018726818,falcon-180B,reference,open-weight universe (clean),
2024.0,56,9.79044113249029e+25,0.5352970422731679,0.5352970422731679,0.3880098626568978,Llama-3.1-405B,reference,open-weight universe (clean),
2025.0,24,2.858678884723968e+25,0.8190952726708132,0.8190952726708132,0.22227007857210015,Apertus-70B-2509,reference,open-weight universe (clean),
2019.0,1,4.6386183e+21,0.688617965294694,0.688617965294694,1.0,Grover-Mega,reference,"open-weight universe, leave out Llama 3.1 405B",
2020.0,1,2e+21,0.5527089381085636,0.5527089381085636,1.0,AraGPT2-Mega,reference,"open-weight universe, leave out Llama 3.1 405B",
2021.0,1,1.8347472e+21,0.8373066053871355,0.8373066053871355,1.0,EMDR,reference,"open-weight universe, leave out Llama 3.1 405B",
2022.0,5,6.735619041558e+23,0.008454773089700569,-1.3346788096240483,0.46767238179066706,OPT-175B,reference,"open-weight universe, leave out Llama 3.1 405B",
2023.0,53,1.2560591559023827e+25,0.3477812049731015,0.33385428425666114,0.300143018726818,falcon-180B,reference,"open-weight universe, leave out Llama 3.1 405B",
2024.0,55,5.9916534133222885e+25,0.6290024789261534,0.6290024789261534,0.3064262689022868,Nemotron-4 340B,reference,"open-weight universe, leave out Llama 3.1 405B",
2025.0,24,2.858678884723968e+25,0.8190952726708132,0.8190952726708132,0.22227007857210015,Apertus-70B-2509,reference,"open-weight universe, leave out Llama 3.1 405B",
