term,estimate,se,z,n,B,sample
tier 2.4-3.3B,8.926740596865464,3.8962120983894626,2.2911331240297264,220,999,open-weight production-scale 2023-2026 (total N)
tier 6.5-9.5B,45.27625864374336,6.790858918882715,6.667235939455,220,999,open-weight production-scale 2023-2026 (total N)
tier 11.5-14.9B,17.820114355775615,4.579068633104365,3.891646049361467,220,999,open-weight production-scale 2023-2026 (total N)
tier 26-32.9B,1.3062888889753443,2.6844354438707225,0.48661586999901524,220,999,open-weight production-scale 2023-2026 (total N)
tier 65-72.9B,9.245713603092423,3.705367790571755,2.4952215611680932,220,999,open-weight production-scale 2023-2026 (total N)
pooled,82.5751160884522,9.832396833181836,8.398269261242815,220,999,open-weight production-scale 2023-2026 (total N)
share_in_windows,0.509090909090909,0.03398412875001644,14.980254837066045,220,999,open-weight production-scale 2023-2026 (total N)
share_pred,0.13374947232521725,0.015365367864885588,8.70460593598116,220,999,open-weight production-scale 2023-2026 (total N)
tier 2.4-3.3B,5.081958004080123,2.551305020435468,1.9919053046870545,77,999,clean sample
tier 6.5-9.5B,18.822548906578735,4.182863870761174,4.499919071751554,77,999,clean sample
tier 11.5-14.9B,4.725883195614914,2.432256639725941,1.943003513045158,77,999,clean sample
tier 26-32.9B,1.1151070832256187,1.4303586035853584,0.7795996615327614,77,999,clean sample
tier 65-72.9B,7.485775205651912,2.777724417100384,2.694930843235405,77,999,clean sample
pooled,37.2312723951513,5.513205823916485,6.753107644492556,77,999,clean sample
share_in_windows,0.5844155844155844,0.05535236331636688,10.55809633773634,77,999,clean sample
share_pred,0.10089256629673633,0.023162425511382697,4.355872240027486,77,999,clean sample
