step,label,n,n_dropped,median_w,share_w_gt1,share_band_gt1,share_allpoints_gt1,median_s,median_w_kappa1,share_w_gt1_kappa1,median_M,n_families,n_developers
start,Verified sample (m3 Sample B core),173,0,3.766930300291516,0.930635838150289,0.1676300578034682,0.6127167630057804,0.7345318547777187,3.185899681978087,0.9479768786127167,477.464969761453,67,28
a_dedupe,(a) one observation per pretraining run,165,8,3.7904764973965337,0.9272727272727272,0.17575757575757575,0.6181818181818182,0.7361809258844253,3.1895938351575652,0.9454545454545454,484.375,65,28
b1_research_suite,(b1) drop research suites (D fixed by design),120,45,4.1973882618118346,0.975,0.15833333333333333,0.7,0.7616936805213745,3.5142556514272503,1.0,628.4323407827924,56,24
b2_replication,(b2) drop replications / dataset benchmarks,112,8,4.457273435418705,0.9821428571428571,0.16964285714285715,0.7232142857142857,0.7756300107402581,3.700004135512124,1.0,716.5178571428571,51,20
c_moe,(c) drop mixture-of-experts,100,12,4.3016374628678635,0.98,0.18,0.69,0.767514067304813,3.6140054805199116,1.0,658.9173450733392,43,18
d_distilled_pruned,(d) drop distilled / pruned / derived init.,90,10,4.03251996969461,0.9777777777777777,0.16666666666666666,0.6555555555555556,0.7520153417129352,3.4207376895543637,1.0,575.7242725581102,40,18
e_multimodal,(e) drop multimodal pretraining,90,0,4.03251996969461,0.9777777777777777,0.16666666666666666,0.6555555555555556,0.7520153417129352,3.4207376895543637,1.0,575.7242725581102,40,18
f_instruct_only,(f) drop instruction-tuned-only releases,83,7,3.986234596660721,0.9759036144578314,0.18072289156626506,0.6385542168674698,0.7491366913433287,3.336123407238904,1.0,549.3855429869253,37,18
g_nontransformer,(g) drop non-transformer / hybrid,83,0,3.986234596660721,0.9759036144578314,0.18072289156626506,0.6385542168674698,0.7491366913433287,3.336123407238904,1.0,549.3855429869253,37,18
h_D_undocumented,(h) drop D without primary source (= clean sample),77,6,3.986234596660721,0.974025974025974,0.18181818181818182,0.6363636363636364,0.7491366913433287,3.336123407238904,1.0,549.3855429869253,36,18
r_synthetic,(robustness) clean without synthetic-data models,68,9,3.7982724964522836,0.9705882352941176,0.14705882352941177,0.6029411764705882,0.7367213298382864,3.2586322399707015,1.0,497.6847688746242,31,16
