gen,size,min,max,cls,ratio
Apertus,2,15000000000000.0,15000000000000.0,common-D,1.0
BTLM,1,627000000000.0,627000000000.0,singleton,1.0
DeepSeek-LLM,2,2000000000000.0,2000000000000.0,common-D,1.0
Falcon,3,1000000000000.0,3500000000000.0,size-specific-D,3.5
Falcon2,1,5500000000000.0,5500000000000.0,singleton,1.0
Falcon3,1,14000000000000.0,14000000000000.0,singleton,1.0
Gemma,2,3000000000000.0,6000000000000.0,size-specific-D,2.0
Gemma-2,1,13000000000000.0,13000000000000.0,singleton,1.0
Granite-3.0,2,12000000000000.0,12000000000000.0,common-D,1.0
H2O-Danube1,1,1000000000000.0,1000000000000.0,singleton,1.0
H2O-Danube3,2,4000000000000.0,6000000000000.0,size-specific-D,1.5
Llama,4,1000000000000.0,1400000000000.0,size-specific-D,1.4
Llama-2,3,2000000000000.0,2000000000000.0,common-D,1.0
Llama-3 herd,3,15000000000000.0,15600000000000.0,common-D,1.04
MAP-Neo,1,4420000000000.0,4420000000000.0,singleton,1.0
MPT,2,1000000000000.0,1000000000000.0,common-D,1.0
Marin,1,12700000000000.0,12700000000000.0,singleton,1.0
OLMo-1,2,2500000000000.0,3000000000000.0,size-specific-D,1.2
OLMo-1.7,1,2050000000000.0,2050000000000.0,singleton,1.0
OLMo-2,4,4050000000000.0,6150000000000.0,size-specific-D,1.5185185185185186
Olmo-3,2,5600000000000.0,6030000000000.0,common-D,1.0767857142857142
Phi-1.5,1,150000000000.0,150000000000.0,singleton,1.0
Phi-2,1,1400000000000.0,1400000000000.0,singleton,1.0
Qwen,3,2400000000000.0,3000000000000.0,size-specific-D,1.25
Qwen2,4,7000000000000.0,12000000000000.0,size-specific-D,1.7142857142857142
Qwen2.5,7,18000000000000.0,18000000000000.0,common-D,1.0
Qwen3,5,36000000000000.0,36000000000000.0,common-D,1.0
SmolLM,3,600000000000.0,1000000000000.0,size-specific-D,1.6666666666666667
SmolLM2,3,2000000000000.0,11000000000000.0,size-specific-D,5.5
SmolLM3,1,11200000000000.0,11200000000000.0,singleton,1.0
StableLM-2,1,2000000000000.0,2000000000000.0,singleton,1.0
StableLM-3B-4E1T,1,4000000000000.0,4000000000000.0,singleton,1.0
StableLM-alpha,2,1500000000000.0,1500000000000.0,common-D,1.0
StableLM-alpha-v2,1,1100000000000.0,1100000000000.0,singleton,1.0
TinyLlama,1,2000000000000.0,2000000000000.0,singleton,1.0
Yi,2,3000000000000.0,3000000000000.0,common-D,1.0
