gen,n,D_ratio,W_f,s_f,w_min,w_max,mean_w_cw
Apertus,2,1.0,2.849525401212539,0.6490643671488323,2.673888514371844,6.718012933819263,3.087968303570933
DeepSeek-LLM,2,1.0,1.2194073906863316,0.17992952344075946,1.148289251101515,2.994591864090517,1.3229394982761502
Granite-3.0,2,1.0,6.684818764034058,0.8504073131525657,6.065254501907896,9.969034078997668,6.989207336126167
Llama-2,3,1.0,1.2918697978794211,0.22592818437161366,1.1342082029477754,3.0433828355478063,1.45043567492703
Llama-3 herd,3,1.04,1.4159250031248287,0.2937479048727276,1.294637585696465,6.726198783692177,1.5762203958245742
MPT,2,1.0,1.31262427951553,0.23816737538247806,1.198205810299115,2.2219596870208873,1.3918889761653963
Olmo-3,2,1.0767857142857142,2.6960441531478128,0.6290861932537593,2.4401251592773328,4.731512601723413,2.8892587326666126
Qwen2.5,7,1.0,3.5278519291198953,0.7165413911661895,2.8563728297133966,23.754563355883434,4.110467742074144
Qwen3,5,1.0,9.12634690657012,0.89042713253864,7.571378670676145,29.563227837013635,10.048600460879506
StableLM-alpha,2,1.0,2.9093465389093205,0.6562802036037659,2.645746147222831,3.7905518494064783,2.9891878578779254
Yi,2,1.0,1.9683458240456289,0.4919591934588733,1.8146027362193395,3.7904764973965337,2.1106683736310368
