model,dev,date,year,lab_vintage,M,lab_tech,w_lab,w_lab_lo,w_lab_hi,s_lab,w_lab_altmin,w_lab_altmax,w_chin_q,s_ref,w_chin,band_lo,band_hi
Llama-2-7b-hf,Meta,2023-07-18 00:00:00,2023,ex post,296.80558548411165,meta_mf,3.5128190754293476,2.7803275593141055,4.511666529782036,0.7153283506701019,1.9496058987400355,4.695316988090609,3.0433828355478063,0.6714182690657119,2.6733050016617095,0.427089581484175,16.5323697437948
Llama-2-13b-hf,Meta,2023-07-18 00:00:00,2023,ex post,153.6586090222828,meta_mf,2.4388476138099864,2.05821056722284,2.925786190976817,0.5899702817275277,1.6059777865610376,3.343827438095003,2.3015790923908654,0.5655156916805294,2.126900483529219,0.3135824282348436,7.2548648552128014
Llama-2-70b-hf,Meta,2023-07-18 00:00:00,2023,ex post,28.99531803831451,meta_mf,0.9677742461186838,0.9074662978605876,1.0397534986023,-0.03329883390734927,0.9668182952130466,1.4152177737123237,1.1342082029477754,0.11832766029990965,1.1918314124898022,0.06800675329761562,4.124030631074715
llama-7b,Meta,2023-02-24 00:00:00,2023,ex post,148.40279274205582,meta_mf,2.521572533496897,2.1211786594439537,3.034111066850342,0.6034220762179671,1.6346976205407564,3.2813033761142356,2.2581621401727494,0.5571620025816658,2.0726147995349407,0.4055924785806592,7.0219061020683675
llama-13b,Meta,2023-02-27 00:00:00,2023,ex post,76.8293045111414,meta_mf,1.7506541112186569,1.5687120360138458,1.9682366546845689,0.4287849361037488,1.3465737193497793,2.3368203445251203,1.7077505689864003,0.4144343921410437,1.6489870839880008,0.2625446978560752,4.225582354207143
llama-30b,Meta,2023-02-27 00:00:00,2023,ex post,43.03858899503889,meta_mf,1.237689184456354,1.1626231099159225,1.3376417467295203,0.19204270946324642,1.1199827020960993,1.73403635356986,1.3382207429418487,0.2527391274763298,1.3574142257492832,0.12636815585154235,4.022449274415276
llama-65b,Meta,2023-02-24 00:00:00,2023,ex post,21.444217241505925,meta_mf,0.8412434131361805,0.7788734729274539,0.9068929866628691,-0.1887165883082166,0.8368671913221754,1.2588460810305449,0.9957237297255829,-0.004294635295671469,1.0656985131255488,0.05928198325362658,3.4766665808782844
Meta-Llama-3-70B,Meta,2024-04-18 00:00:00,2024,contemporaneous,212.60399694026583,meta_mf,2.5054120348052806,2.088500184036015,3.0248301473502117,0.6008640550504423,1.6291222457773489,3.9639411486254583,2.6746307161288074,0.6261166096800928,2.478012002522387,0.16989335129199745,11.68473174086923
Meta-Llama-3-8B,Meta,2024-04-18 00:00:00,2024,contemporaneous,1867.9342473118008,meta_mf,8.355713625033404,5.6745223137985015,12.755942206163727,0.8803214130024708,3.0897070134167275,12.155027890601524,6.726198783692177,0.8513276172532214,5.270983254526004,0.46776132430910017,168.05636119572483
Llama-3.1-405B,Meta,2024-07-23 00:00:00,2024,contemporaneous,38.437525546170825,meta_mf,0.9679943091076826,0.8822822659921593,1.076417133965247,-0.03306392464416545,0.9670447744101337,1.6411407320336044,1.294637585696465,0.22758306181722765,1.369159122056123,0.03593301496874272,8.238528419995513
deepseek-llm-67b-base,DeepSeek,2024-01-05 00:00:00,2024,contemporaneous,29.850746268656717,deepseek,1.342332580993408,1.3057684109722927,1.3820028042883064,0.25502813970294974,1.342332580993408,1.342332580993408,1.148289251101515,0.1291392834682256,1.2039277565253241,0.07004126332625285,4.149889011429481
deepseek-llm-7b-base,DeepSeek,2024-01-05 00:00:00,2024,contemporaneous,285.7142857142857,deepseek,3.424351338515145,3.050928098502826,3.867785987005,0.7079738901926995,3.424351338515145,3.424351338515145,2.994591864090517,0.666064677463582,2.6381771577149187,0.4278324642703772,15.784261273097885
OLMo-1B-hf,AI2,2024-02-01 00:00:00,2024,ex post,2549.3632873412785,olmo_q,19.20026205220526,13.915124092508893,33.16647590326036,0.9479173775190665,2.0090711021625784,19.20026205220526,7.599357530431011,0.8684099286030982,5.687481780672016,1.0763253183624855,269.2445744013048
OLMo-7B-hf,AI2,2024-02-01 00:00:00,2024,ex post,362.94501309417336,olmo_q,2.944878859146488,2.3365592817897713,3.7530450183713464,0.660427458027992,1.1976908251840295,2.944878859146488,3.3191740354760872,0.6987202269866623,2.8795022371665615,0.4321652300940797,21.14586709563202
OLMo-7B-0424-hf,AI2,2024-04-17 00:00:00,2024,ex post,297.61491073722215,olmo_q,2.5519376252892503,2.041856129150284,3.2740371637612937,0.6081408925946399,1.1609367878905081,2.5519376252892503,3.047365754006383,0.6718477266191969,2.6771471487772276,0.42582218290885343,16.589988531053805
OLMo-2-0425-1B,AI2,2025-04-17 22:45:45,2025,contemporaneous,2727.4256541209866,olmo_q,20.174240891600228,14.512395562706729,35.22478923250651,0.9504318400194992,2.0096692830678986,20.174240891600228,7.834719517998362,0.8723630121406716,5.857229724556282,1.0129231134487398,291.2147333362029
