design,experiment,deg,n_points,n_budgets,Cmax,S2,S2_lo,S2_hi,S2_median_rule,sigma_star,sigma_lo,sigma_hi,a,lnG,Mstar_Cmax,mc_factor,mc_mean,resid_sd,mc_R,S2_bc,sigma_star_bc,B,n_draws_ok
meta,llama_3,2,133,10,1e+22,0.5318587675764959,0.5011778632752834,0.5649949407767952,0.5242435460582403,0.6528016950166154,0.6389797014319061,0.6661435826253066,0.46322087290540404,0.2443455515113092,22.325762235636894,0.8945808220379249,0.5945340593875913,0.0016296347673316295,300,0.4757906535066593,0.6776028819696598,999,999
meta,llama_3,3,133,9,1e+22,0.5204920514388099,,,0.5172377205366412,0.6576818333602735,,,0.4631487771493786,0.27407195087665787,21.185869037819085,,,,0,,,0,0
marin_comma,marin_202603__comma__llama_2,2,85,7,3e+20,0.5391510408811228,0.49570053792387425,0.6370070729292009,0.5359408883339974,0.6497088157296939,0.6108709098065388,0.6685830315927161,0.40492945874824543,3.052993745369805,12.410429363203777,0.893075751259025,0.6037013546958896,0.030449569496609378,300,0.48150272087699403,0.6749903229391557,999,999
marin_comma,marin_202603__comma__llama_2,3,85,7,3e+20,0.6900104097085589,,,0.6119650941448656,0.5917123316254894,,,0.3350268001338243,5.885475109209809,24.408748059816055,,,,0,,,0,0
marin_dclm,marin_202603__dclm__llama_2,2,85,7,3e+20,0.5904122945094851,0.5312974059231594,0.7060011989102609,0.5823246666316446,0.6287677751563283,0.5861660593431987,0.6530410070127031,0.4235790714856966,2.345121702395095,9.416300889065331,0.8654352683336605,0.6822142754203739,0.03202834752276402,300,0.5109636225263083,0.6618293022356257,999,999
marin_dclm,marin_202603__dclm__llama_2,3,85,7,3e+20,0.6460854277653095,,,0.6191376416288127,0.607501884855137,,,0.35972505667311505,4.919728306646917,17.919343301765945,,,,0,,,0,0
marin_nemotron,marin_202603__nemotron__llama_2,2,88,7,3e+20,0.5528579729643139,0.5006438174903174,0.6304102290431922,0.5476480132155616,0.6439738967827555,0.6133425699781403,0.6663806483222674,0.4223734822719467,2.371323913480751,9.968254275557294,0.8831293953377511,0.6260214821100757,0.025059910206597938,300,0.48824512737162934,0.6719323192181971,999,999
marin_nemotron,marin_202603__nemotron__llama_2,3,88,7,3e+20,0.6078612867202662,,,0.6174996773540781,0.6219441989550053,,,0.3720639660497823,4.3737463495041675,17.435258103319356,,,,0,,,0,0
chin_iso,epochai_chinchilla__massivetext__chinchilla,2,123,8,3e+21,0.6397729047430717,0.5529116043111697,0.7004305821496072,0.5597589025281376,0.6098405438384075,0.5880863414817237,0.6439516565037026,0.4919863836084432,-1.1783551800961791,22.65966659299974,0.7519911108021665,0.850771898168598,0.0844567490804534,300,0.4811035372988712,0.6751722447599626,999,999
chin_iso,epochai_chinchilla__massivetext__chinchilla,3,123,8,3e+21,0.5936196210471474,,,0.5789820465691065,0.6275023140985881,,,0.48079822183308424,-0.6269805480583062,21.852566231199837,,,,0,,,0,0
