anchor,kind,conv,C0,lnMs,lnMs_lo,lnMs_hi,a,lab
chin_iso,iso,total,3e+21,3.1205865420317638,2.904192435270066,3.3820520606581415,0.4919863836084432,
meta,iso,total,1e+22,3.105741268873416,3.0353547934535583,3.1670551909100784,0.46322087290540404,Meta
marin_comma,iso,total,3e+20,2.5185371967810894,2.3675574069222445,2.6294030595020663,0.40492945874824543,Marin
marin_dclm,iso,total,3e+20,2.2424423245308267,2.0805718986310042,2.3606793698520385,0.4235790714856966,Marin
marin_nemotron,iso,total,3e+20,2.2994054709048655,2.164532991543925,2.403898359946479,0.4223734822719467,Marin
deepseek,iso,ds,3e+20,3.026598226360858,3.026598226360858,3.026598226360858,0.5243,DeepSeek
chin,all,total,1.3e+22,2.9913644003971425,2.4670497688841113,3.4384598648047993,0.5138995166400605,
besi,all,total,1.3e+22,3.00750372680669,3.00750372680669,3.00750372680669,0.5126121076233184,
hoff,all,total,1.3e+22,3.7490288688365614,3.7490288688365614,3.7490288688365614,0.4564973561929178,
farseer,all,nonemb,3.5e+21,3.14649366553527,2.769983521224855,3.5356277533125815,0.5262862914401026,
farseer_emb,all,total,4.1e+21,3.2375963103675662,2.875554049639034,3.5469374503821682,0.41107534815931157,
farseer_q,all,nonemb,3.5e+21,3.1398714449081693,3.0886228642515574,3.1932668585349657,0.5206724642363436,
gadre_rw,all,total,8e+21,0.9366319259312803,-0.5324172796291847,3.0163829497523413,0.5655649742397674,
gadre_c4,all,total,8e+21,1.8865359366751695,-0.2861748707641303,5.094258751417748,0.5093775244848627,
gadre_rp,all,total,8e+21,1.6318465036736445,-0.42564647450606086,2.5602646067434955,0.5289881222161921,
olmo,all,olmo,1.2e+22,4.523049744945686,0.6712420340774465,7.3766173650618025,0.3701326547720303,AI2
meta_a2,all,total,1e+22,3.1057412688734143,2.6976190281168573,3.270650336533261,0.4632208729054042,Meta
meta_a3,all,total,1e+22,2.511870897592037,2.070448017573724,3.327195070149911,0.5268194506631989,Meta
chin_q,all,total,1.3e+22,3.102478493116463,2.827814173334427,3.383070827477032,0.5036073384721135,
gadre_rw_q,all,total,8e+21,3.887371225230095,2.3634246802002914,4.416545536162096,0.47693532478942063,
gadre_c4_q,all,total,8e+21,4.006679625048699,2.629371288952989,4.9700995417573814,0.4631055657789476,
gadre_rp_q,all,total,8e+21,3.425106464583,2.0546099555581954,4.099889942330407,0.4947048151901647,
olmo_q,all,olmo,1.2e+22,4.341354065535992,4.136848597549326,4.561116378612312,0.43079881341437265,AI2
muen,all,total,9.25956e+21,3.931479540100165,1.3131772202547545,6.64348235581652,0.5351989283763525,
muen_q,all,total,9.25956e+21,4.083450542125623,3.2439221773537987,5.317225420229917,0.44430475206321374,
chin_ne,all,nonemb,1.3e+22,2.760504539517843,2.249563215448336,3.263750469003391,0.5561105649981141,
marin_comma_a3,all,total,3e+20,2.9074844418262877,2.561188071734197,3.1452063595573807,0.3445042756857398,Marin
marin_comma_a2,all,total,3e+20,2.518537196780848,2.397100819050581,3.1112402735566684,0.4049294587482616,Marin
marin_dclm_a3,all,total,3e+20,2.5724955347727665,2.260763517005738,2.7378109070018897,0.37117687075037675,Marin
marin_dclm_a2,all,total,3e+20,2.2424423245305496,2.1186395654658297,2.7068336877444845,0.423579071485716,Marin
marin_nemotron_a3,all,total,3e+20,2.541021372799136,2.2136131210900922,2.6740991353863754,0.38511292695443444,Marin
marin_nemotron_a2,all,total,3e+20,2.2994054709045777,2.1879950042004332,2.680605161871764,0.4223734822719683,Marin
meta_mf,all,total,1e+22,3.105741268873416,3.0353547934535583,3.167055190910073,0.46322087290540404,Meta
marin_comma_mf,all,total,3e+20,2.5185371967810894,2.3675574069222445,2.6294030595020663,0.40492945874824543,Marin
marin_dclm_mf,all,total,3e+20,2.2424423245308267,2.0805718986310042,2.3606793698520385,0.4235790714856966,Marin
marin_nemotron_mf,all,total,3e+20,2.2994054709048655,2.164532991543925,2.403898359946479,0.4223734822719467,Marin
deepseek,all,ds,3e+20,3.026598226360858,3.026598226360858,3.026598226360858,0.5243,DeepSeek
minicpm,all,nonemb,1.44e+21,5.298892264783997,5.298892264783997,5.298892264783997,0.4423076923076923,
