key,stock,source,scenario,p5,p50,p95
chin,unique,all,opt,2026.0586912404622,2027.9898792539661,2030.158560408543
chin,unique,all,obsOT,2025.6584426324662,2027.458119091915,2029.363998871695
chin,unique,tech,opt,2027.21660488619,2027.9789878921538,2028.9991978206176
chin,unique,tech,obsOT,2027.2634013246495,2027.4476816665012,2027.7127385429728
chin,unique,trend,opt,2027.4772083726511,2027.9051036027909,2028.3733386539557
chin,unique,trend,obsOT,2027.028683812884,2027.429936884004,2027.8674307016877
chin,unique,stock,opt,2026.1663710789371,2027.9070536925633,2029.6746023930145
chin,unique,stock,obsOT,2025.6909213261288,2027.431603939755,2029.199152640206
chin,unique,gS,opt,2027.6871028718067,2027.9051522285677,2028.1404306270008
chin,unique,gS,obsOT,2027.2383273972505,2027.4298368914256,2027.6364783956412
chin,effective,all,opt,2027.4505687362187,2029.5624644019222,2031.9419758052668
chin,effective,all,obsOT,2027.0850916782242,2029.0306810070529,2031.1283226869186
chin,effective,tech,opt,2028.6843584901828,2029.556216876801,2030.7089212984483
chin,effective,tech,obsOT,2028.73972090313,2029.0257642793745,2029.427348209259
chin,effective,trend,opt,2028.950221885062,2029.4797397052805,2030.0551332935015
chin,effective,trend,obsOT,2028.502536084494,2029.003605442775,2029.5469780933925
chin,effective,stock,opt,2027.6121905071823,2029.4764209338764,2031.3219763450197
chin,effective,stock,obsOT,2027.1367407543737,2029.000971181068,2030.8465265922111
chin,effective,gS,opt,2029.1719135614119,2029.4781944322328,2029.8085861158904
chin,effective,gS,obsOT,2028.7231181631266,2029.0028213574697,2029.3045431367489
chin_q,unique,all,opt,2025.8609446171688,2027.7126881155275,2029.6916433580686
chin_q,unique,all,obsOT,2025.6098562227992,2027.374794768273,2029.2226020803323
chin_q,unique,tech,opt,2027.191925238582,2027.6575320635175,2028.3967440275508
chin_q,unique,tech,obsOT,2027.2418681881877,2027.3636415722167,2027.5636802625163
chin_q,unique,trend,opt,2027.24222855927,2027.6488084780585,2028.1082956502978
chin_q,unique,trend,obsOT,2026.969138190705,2027.357188217812,2027.7983594881114
chin_q,unique,stock,opt,2025.9362416605845,2027.6503495234044,2029.3819767928783
chin_q,unique,stock,obsOT,2025.6446106502876,2027.3587185131078,2029.0903457825814
chin_q,unique,gS,opt,2027.453850106871,2027.654190522905,2027.8692540389823
chin_q,unique,gS,obsOT,2027.1782321797793,2027.3625853906742,2027.560486795293
chin_q,effective,all,opt,2027.2970006628864,2029.2729720516018,2031.44601708756
chin_q,effective,all,obsOT,2027.0516330053,2028.936806161007,2030.932200936061
chin_q,effective,tech,opt,2028.6685364780092,2029.2013050656337,2030.0422695811335
chin_q,effective,tech,obsOT,2028.7218904938275,2028.9035763432703,2029.2044120619448
chin_q,effective,trend,opt,2028.685854449882,2029.1955310505077,2029.7440108475578
chin_q,effective,trend,obsOT,2028.4109708366873,2028.9041181912667,2029.4335692946256
chin_q,effective,stock,opt,2027.3870989050754,2029.2101214904537,2031.034986935944
chin_q,effective,stock,obsOT,2027.0954678947787,2028.9184904801568,2030.7433559256474
chin_q,effective,gS,opt,2028.9098224303632,2029.1911016485674,2029.4979782461648
chin_q,effective,gS,obsOT,2028.634074145476,2028.8995559976665,2029.1891976144354
meta_a2,unique,all,opt,2025.4130531186404,2027.0484716904837,2028.8043586759354
meta_a2,unique,all,obsOT,2025.5096531584777,2027.1217092558015,2028.8230580666354
meta_a2,unique,tech,opt,2026.7472895517647,2027.0327295231962,2027.5828451298698
meta_a2,unique,tech,obsOT,2027.052461888313,2027.1274069665249,2027.2690272907964
meta_a2,unique,trend,opt,2026.6398916927717,2027.0117407985492,2027.4269306890815
meta_a2,unique,trend,obsOT,2026.73921470686,2027.1176344807266,2027.5393111937617
meta_a2,unique,stock,opt,2025.4323577174987,2027.0184797157233,2028.6148189276744
meta_a2,unique,stock,obsOT,2025.538310844463,2027.1244328426878,2028.720772054639
meta_a2,unique,gS,opt,2026.864211748113,2027.016588152596,2027.1793132711161
meta_a2,unique,gS,obsOT,2026.9647971872607,2027.1225247490283,2027.290964451157
meta_a2,effective,all,opt,2026.7041123526487,2028.4651650946003,2030.3541111335346
meta_a2,effective,all,obsOT,2026.813238140934,2028.541383366704,2030.3723596764225
meta_a2,effective,tech,opt,2028.129610373158,2028.4494657673272,2029.073867574203
meta_a2,effective,tech,obsOT,2028.4403936621975,2028.5451637773226,2028.7595350518448
meta_a2,effective,trend,opt,2027.9723686022874,2028.430791888213,2028.9382096308946
meta_a2,effective,trend,obsOT,2028.0722660509791,2028.5368836386847,2029.0506306458888
meta_a2,effective,stock,opt,2026.7682302676085,2028.426370852439,2030.0999019493179
meta_a2,effective,stock,obsOT,2026.8741833945728,2028.5323239794034,2030.2058550762822
meta_a2,effective,gS,opt,2028.2088498525802,2028.43461037877,2028.6719814036235
meta_a2,effective,gS,obsOT,2028.3094553383792,2028.5406122907204,2028.7836572711929
farseer,unique,all,opt,2026.0101600164385,2028.0190229116588,2030.2913553179174
farseer,unique,all,obsOT,2025.6716079388734,2027.4983052546913,2029.4836280147401
farseer,unique,tech,opt,2027.1467734780326,2028.015725513645,2029.0305670163993
farseer,unique,tech,obsOT,2027.2600852181977,2027.501023065763,2027.763384466631
farseer,unique,trend,opt,2027.6313615174238,2028.0693559550239,2028.557196632732
farseer,unique,trend,obsOT,2027.1093982623204,2027.514443117237,2027.9661499530205
farseer,unique,stock,opt,2026.2562000963735,2028.0660489422921,2029.8838287693636
farseer,unique,stock,obsOT,2025.7010192188,2027.5108680647186,2029.32864789179
farseer,unique,gS,opt,2027.838560735241,2028.0726280013319,2028.3250585107905
farseer,unique,gS,obsOT,2027.3151960321316,2027.5173496322227,2027.7353627577318
farseer,effective,all,opt,2027.5040176757666,2029.6377118141165,2032.0872770204344
farseer,effective,all,obsOT,2027.1592109330284,2029.10940765223,2031.2631717018783
farseer,effective,tech,opt,2028.6372642697042,2029.62672206836,2030.7820194813585
farseer,effective,tech,obsOT,2028.7512637213536,2029.111830957276,2029.5080138146957
farseer,effective,trend,opt,2029.1546324645801,2029.6887224012605,2030.2723926178655
farseer,effective,trend,obsOT,2028.631860010838,2029.1330813012928,2029.6828169400696
farseer,effective,stock,opt,2027.800124228132,2029.698429713789,2031.5884986318965
farseer,effective,stock,obsOT,2027.2449433505585,2029.1432488362154,2031.033317754323
farseer,effective,gS,opt,2029.3622335045072,2029.686462502777,2030.0412755520163
farseer,effective,gS,obsOT,2028.8389090779679,2029.1314951135723,2029.4516803653898
gadre_rw,unique,all,opt,2026.8155294705962,2029.9063258994793,2035.069524680222
gadre_rw,unique,all,obsOT,2025.7596895307215,2027.7157740155844,2030.0962171272636
gadre_rw,unique,tech,opt,2027.5048404786492,2029.880297548059,2034.365111958819
gadre_rw,unique,tech,obsOT,2027.1951690571398,2027.6833844635885,2028.5889093299652
gadre_rw,unique,trend,opt,2029.9618323039758,2030.5558497114077,2031.2060092150857
gadre_rw,unique,trend,obsOT,2027.3897039997198,2027.8178112283194,2028.2878985857224
gadre_rw,unique,stock,opt,2028.5867578384566,2030.5516134413192,2032.5278997019832
gadre_rw,unique,stock,obsOT,2025.8506895400935,2027.8155451429561,2029.79183140362
gadre_rw,unique,gS,opt,2030.1422397967162,2030.5497046385535,2031.001641446265
gadre_rw,unique,gS,obsOT,2027.5778966971523,2027.8152477547576,2028.0785040366918
gadre_rw,effective,all,opt,2028.2030044085175,2031.5871233530183,2037.2364440656102
gadre_rw,effective,all,obsOT,2027.2293163716436,2029.4080615692005,2032.2024395597605
gadre_rw,effective,tech,opt,2028.9600913800718,2031.5420456806924,2036.4887529243622
gadre_rw,effective,tech,obsOT,2028.6634071667056,2029.3797744408625,2030.7460762655423
gadre_rw,effective,trend,opt,2031.61653500107,2032.3278000080966,2033.0887504268462
gadre_rw,effective,trend,obsOT,2029.0476984379627,2029.5896129753407,2030.1737816834736
gadre_rw,effective,stock,opt,2030.2167020224567,2032.3162928226202,2034.4297128932462
gadre_rw,effective,stock,obsOT,2027.4806337240934,2029.5802245242571,2031.693644594883
gadre_rw,effective,gS,opt,2031.8032401477512,2032.330073003247,2032.8997331092644
gadre_rw,effective,gS,obsOT,2029.239376112233,2029.5931106412181,2029.9756009266696
olmo,unique,all,opt,2022.707953410959,2025.5621334260777,2042.7967490617277
olmo,unique,all,obsOT,2025.3256077226288,2026.8699477954306,2031.7154871127555
olmo,unique,tech,opt,2022.8311612215025,2025.4033619918293,2044.0548985391529
olmo,unique,tech,obsOT,2026.0508394767803,2026.7445478098284,2032.4192365593085
olmo,unique,trend,opt,2024.9080672157359,2025.1728295913929,2025.4592608567257
olmo,unique,trend,obsOT,2026.3420628914878,2026.6923056608434,2027.074912333203
olmo,unique,stock,opt,2023.8369323548802,2025.1754934108353,2026.532810231929
olmo,unique,stock,obsOT,2025.3579471889825,2026.6965082449374,2028.053825066031
olmo,unique,gS,opt,2025.1215364368352,2025.1721568644864,2025.2248531485748
olmo,unique,gS,obsOT,2026.5768771609019,2026.6931842371641,2026.8142608660382
olmo,effective,all,opt,2023.5638384667477,2026.768247631364,2046.6702944981105
olmo,effective,all,obsOT,2026.3174402788447,2028.106309613031,2035.4101890911622
olmo,effective,tech,opt,2023.7111533794,2026.649597199189,2048.077972441014
olmo,effective,tech,obsOT,2026.9308316346778,2027.9666290729917,2036.6726813440914
olmo,effective,trend,opt,2026.030886669886,2026.3676158771377,2026.7343272828296
olmo,effective,trend,obsOT,2027.4641560731197,2027.887824709637,2028.3498847641647
olmo,effective,stock,opt,2024.9680128844916,2026.3625107118132,2027.7724448179395
olmo,effective,stock,obsOT,2026.4890277185937,2027.8835255459155,2029.2934596520417
olmo,effective,gS,opt,2026.2655397894212,2026.367151269629,2026.474500743558
olmo,effective,gS,obsOT,2027.7207634122367,2027.887642969853,2028.063946205304
