check,ra3,ra2,abs_diff,passed
universe reference 2023,0.3477812049731015,0.3477812049731015,0.0,True
universe reference 2024,0.5352970422731679,0.5352970422731679,0.0,True
universe reference 2025,0.8190952726708131,0.8190952726708132,1.1102230246251565e-16,True
clean sample reference 2023,0.2765747619447369,0.2765747619447369,0.0,True
clean sample reference 2024,0.5847245285923777,0.5847245285923777,0.0,True
clean sample reference 2025,0.8291467257178424,0.8291467257178425,1.1102230246251565e-16,True
clean sample lab-own where available 2023,0.2727432333283492,0.2727432333283492,0.0,True
clean sample lab-own where available 2024,0.5552945350456888,0.5552945350456888,0.0,True
clean sample lab-own where available 2025,0.8238572711071476,0.8238572711071473,2.220446049250313e-16,True
clean sample min over technologies 2023,0.00689780357587165,0.0068978035758716,5.0306980803327406e-17,True
clean sample min over technologies 2024,0.04283209890335048,0.0428320989033504,7.632783294297951e-17,True
clean sample min over technologies 2025,0.20534503914947813,0.2053450391494781,2.7755575615628914e-17,True
clean sample max over technologies 2023,0.6018185158291881,0.6018185158291881,0.0,True
clean sample max over technologies 2024,0.8140259943124444,0.8140259943124444,0.0,True
clean sample max over technologies 2025,0.957602147121531,0.957602147121531,0.0,True
clean sample reference pooled 2019-2025,0.6575274933783338,0.6575274933783338,0.0,True
