tech,sigma_star,spec,r_max
k1,0.7367885708471132,D15,116.87620428371416
k1,0.7367885708471132,DN,9.06461226528008
k1,0.7367885708471132,D3,27.926468585066775
k1,0.7367885708471132,nore,7.131922411080209
kq,0.7005534249155089,D15,83.3752050173351
kq,0.7005534249155089,DN,9.499543723033682
kq,0.7005534249155089,D3,19.92172023347059
kq,0.7005534249155089,nore,5.087652331248714
e70,0.7,D15,84.27937555576321
e70,0.7,DN,8.975575660874506
e70,0.7,D3,20.137763270560168
e70,0.7,nore,5.142825872911655
e60,0.6,D15,46.959196701018776
e60,0.6,DN,8.691507066841965
e60,0.6,D3,11.22045791517638
e60,0.6,nore,2.865504996597385
e51,0.51,D15,34.0221000401672
e51,0.51,DN,8.370807355845509
e51,0.51,D3,8.12926047515491
e51,0.51,nore,2.0760682573115687
e65,0.65,D15,60.3362174945664
e65,0.65,DN,8.841876486894401
e65,0.65,D3,14.41677108467283
e65,0.65,nore,3.681786419969055
e80,0.8,D15,271.4704790122673
e80,0.8,DN,9.201601971251822
e80,0.8,D3,64.86531497468812
e80,0.8,nore,16.565445507747814
e90,0.8999999999999999,D15,9072.490236585898
e90,0.8999999999999999,DN,9.38411662884452
e90,0.8999999999999999,D3,2167.7861215043354
e90,0.8999999999999999,nore,553.6139442511774
