tech,sigma_star,spec,r,sigma_CU
k1,0.7367885708471132,D15,1.5,0.2795198298694906
k1,0.7367885708471132,D15,2.0,0.3807128405292179
k1,0.7367885708471132,D15,4.0,0.48852509467615013
k1,0.7367885708471132,D15,8.0,0.5339987633499219
k1,0.7367885708471132,D15,16.0,0.5763788234649906
k1,0.7367885708471132,DN,1.5,0.28599010435679056
k1,0.7367885708471132,DN,2.0,0.39005274082991753
k1,0.7367885708471132,DN,4.0,0.4932454663688877
k1,0.7367885708471132,DN,8.0,0.4667798113058166
k1,0.7367885708471132,DN,16.0,
k1,0.7367885708471132,D3,1.5,0.2854093944361278
k1,0.7367885708471132,D3,2.0,0.3977874702167664
k1,0.7367885708471132,D3,4.0,0.5425899470273989
k1,0.7367885708471132,D3,8.0,0.6280343364530463
k1,0.7367885708471132,D3,16.0,0.7020395673305582
kq,0.7005534249155089,D15,1.5,0.2791221519421257
kq,0.7005534249155089,D15,2.0,0.379420109102362
kq,0.7005534249155089,D15,4.0,0.4837574211962474
kq,0.7005534249155089,D15,8.0,0.5246694622975813
kq,0.7005534249155089,D15,16.0,0.5630293689038104
kq,0.7005534249155089,DN,1.5,0.2855922435864281
kq,0.7005534249155089,DN,2.0,0.389594362304937
kq,0.7005534249155089,DN,4.0,0.4930651302334533
kq,0.7005534249155089,DN,8.0,0.4810627951321709
kq,0.7005534249155089,DN,16.0,
kq,0.7005534249155089,D3,1.5,0.2844210865316881
kq,0.7005534249155089,D3,2.0,0.39469558964735435
kq,0.7005534249155089,D3,4.0,0.5333198090262349
kq,0.7005534249155089,D3,8.0,0.6173261648218332
kq,0.7005534249155089,D3,16.0,0.6957002623766371
e70,0.7,D15,1.5,0.2791189843459439
e70,0.7,D15,2.0,0.3794088006594161
e70,0.7,D15,4.0,0.483727126499421
e70,0.7,D15,8.0,0.5246771195483466
e70,0.7,D15,16.0,0.5632770619990254
e70,0.7,DN,1.5,0.285783069109591
e70,0.7,DN,2.0,0.38949874547267355
e70,0.7,DN,4.0,0.4927980276515354
e70,0.7,DN,8.0,0.4649986649659184
e70,0.7,DN,16.0,
e70,0.7,D3,1.5,0.2844439929707079
e70,0.7,D3,2.0,0.3947485817525318
e70,0.7,D3,4.0,0.5336067930059359
e70,0.7,D3,8.0,0.6182527667333245
e70,0.7,D3,16.0,0.6976149940879927
e60,0.6,D15,1.5,0.27834065624763255
e60,0.6,D15,2.0,0.37686056795314016
e60,0.6,D15,4.0,0.47396362773193246
e60,0.6,D15,8.0,0.5039784751489522
e60,0.6,D15,16.0,0.530292601394197
e60,0.6,DN,1.5,0.2851709588421724
e60,0.6,DN,2.0,0.3876693385972783
e60,0.6,DN,4.0,0.488689518190625
e60,0.6,DN,8.0,0.4551895851751091
e60,0.6,DN,16.0,
e60,0.6,D3,1.5,0.2819645722524974
e60,0.6,D3,2.0,0.38682198034830534
e60,0.6,D3,4.0,0.508483198517962
e60,0.6,D3,8.0,0.5905541946416922
e60,0.6,D3,16.0,
