sample,technology,prov_group,prov_source,prov_where,prov_N_conv,n_era1,n_era2,medM_era1,medM_era2,share_w_lt1_era1,share_w_lt1_era2,gmCE_era1,gmCE_era2,gmCEtr_era1,gmCEtr_era2,gain_untrunc,gain_untrunc_lo,gain_untrunc_hi,gain_trunc,gain_trunc_lo,gain_trunc_hi,overtraining_component,era1_undertraining_cost,share_of_era1_gap_closed,share_of_era1_gap_closed_lo,share_of_era1_gap_closed_hi,years_between,ho_algorithmic_gain,share_of_ho_trunc,share_of_ho_trunc_lo,share_of_ho_trunc_hi,share_of_ho_untrunc,B
C >= 1e23,Besiroglu et al. (2024),Chinchilla sweep,published refit (Besiroglu et al. 2024),Section III (reference technology),total,7,92,1.7166822589526618,91.5768098087606,1.0,0.18478260869565216,0.5694225705657014,0.5960389980396693,0.5694225705657014,0.955458082711102,1.0467428388859357,0.5726330593152967,1.7540056446456533,1.6779420628899337,1.2089383018813773,2.438117474953312,0.6238253763560356,1.7561650199543986,0.9190876241044403,0.8404322288862985,0.9702603558253254,2.27872883519035,8.86737074962257,0.23715781650853257,0.07260628083443796,0.5263343996136804,0.02093279792216409,999
"C >= 1e23, cleaned",Besiroglu et al. (2024),Chinchilla sweep,published refit (Besiroglu et al. 2024),Section III (reference technology),total,7,79,1.7166822589526618,105.52047337278107,1.0,0.189873417721519,0.5694225705657014,0.6190786645947354,0.5694225705657014,0.9673420603531961,1.0872042953613559,0.5998852974972871,1.7796584078668214,1.6988122887228998,1.2280162182985277,2.42951394351608,0.6399790621827166,1.7561650199543986,0.9410385397066869,0.8841800819556368,0.9801417269327392,2.1989051004475186,8.214737107404577,0.2516367667712828,0.07522976326231977,0.5555830360635728,0.039701958109726224,999
Top-5 compute per year,Besiroglu et al. (2024),Chinchilla sweep,published refit (Besiroglu et al. 2024),Section III (reference technology),total,10,15,2.2577915775531894,19.591836734693878,0.7,0.4,0.6704877989607663,0.8498505438422671,0.6867022104515264,0.9024930972556205,1.2675108259382306,0.9058453278899212,1.7220342498738719,1.314242306956032,1.0519264762028104,1.7590725584225553,0.9644422639794347,1.4562353008045095,0.7270373903956229,0.28855478574784643,0.945562972180094,2.3968036529679466,9.929008690040517,0.11904377796215669,0.017390308171761567,0.31089800556721436,0.10327120977481034,999
Epoch frontier flag,Besiroglu et al. (2024),Chinchilla sweep,published refit (Besiroglu et al. 2024),Section III (reference technology),total,7,6,1.7166822589526618,19.67078189300411,0.8571428571428571,0.3333333333333333,0.5743410176377699,0.8971326912076926,0.5893131438747425,0.9095871995442366,1.5620209312187825,1.0740046426749066,2.1864732344624103,1.5434700701967845,1.1202103977266737,2.190210550747864,1.0120189314844523,1.696890711489965,0.820792658133358,0.3875768838191142,1.0000000000000002,2.204566210045641,8.259396259566527,0.20557125395052125,0.04100272278939414,0.4660902547552427,0.21122984643571022,999
C >= 1e23,"Hoffmann et al. (2022), TeX",Chinchilla sweep,published Approach 3,Section III,total,7,92,1.7166822589526618,91.5768098087606,1.0,0.44565217391304346,0.3810492151072436,0.7294009690929031,0.3810492151072436,0.8928282947081643,1.9141909763220961,1.5264099799050768,2.497762764266796,2.343078687242235,1.8734400875198032,3.028585079319073,0.8169554811558921,2.6243329217160496,0.8825063700970679,0.8102581918537974,0.9364267054033156,2.27872883519035,8.86737074962257,0.3901549655793329,0.16143896185794543,0.7671508413472725,0.29751718903600083,999
"C >= 1e23, cleaned","Hoffmann et al. (2022), TeX",Chinchilla sweep,published Approach 3,Section III,total,7,79,1.7166822589526618,105.52047337278107,1.0,0.43037974683544306,0.3810492151072436,0.7578344197537579,0.3810492151072436,0.908378164066703,1.9888098169693664,1.5627357575488636,2.5784312155873716,2.3838867213282318,1.8892818950904888,3.08248012700763,0.8342719472262758,2.6243329217160496,0.9004023178651843,0.8311149177417142,0.9450731239095932,2.1989051004475186,8.214737107404577,0.4125171944041216,0.16676353838216113,0.8247170008033229,0.32647640695073465,999
Top-5 compute per year,"Hoffmann et al. (2022), TeX",Chinchilla sweep,published Approach 3,Section III,total,10,15,2.2577915775531894,19.591836734693878,0.8,0.9333333333333333,0.5238708472914467,0.7521888477099226,0.5248487483160611,0.7587623523063445,1.4358287955875793,1.0012811870584695,2.035348806719044,1.4456781210601686,0.9991655696170141,2.061619198383717,0.9931870550372814,1.90531082184806,0.5717540817404821,-0.002187194769078908,0.8177658103043255,2.3968036529679466,9.929008690040517,0.1605684246841363,-0.00039311413252981375,0.4137218852253847,0.15759026034738438,999
Epoch frontier flag,"Hoffmann et al. (2022), TeX",Chinchilla sweep,published Approach 3,Section III,total,7,6,1.7166822589526618,19.67078189300411,0.8571428571428571,1.0,0.40971201607566177,0.7491925982030372,0.4107847102981435,0.7491925982030372,1.8285834166618227,1.1483805420581286,2.747565960862725,1.8238083828857228,1.1411950387832268,2.747565960862725,1.0026181663714828,2.4343651916212017,0.6754369729755444,0.21409563929550768,0.9021803859281673,2.204566210045641,8.259396259566527,0.28461714448807224,0.04983151888379155,0.6517045584923766,0.28585556686986646,999
C >= 1e23,"Hoffmann et al. (2022), rounded",Chinchilla sweep,published Eq. 10,Section III,total,7,92,1.7166822589526618,91.5768098087606,1.0,0.5,0.3067243908721457,0.7397440538757265,0.3067243908721457,0.8503410179661537,2.4117549040437405,1.8646908247141532,3.2361952341586915,2.7723293069334285,2.1649781969785455,3.689241046583851,0.8699381051205161,3.260255883650406,0.8628219389075117,0.792725902920282,0.9198112234270053,2.27872883519035,8.86737074962257,0.46723698499007427,0.19489142936874934,0.9563718587676783,0.40339232003327574,999
"C >= 1e23, cleaned","Hoffmann et al. (2022), rounded",Chinchilla sweep,published Eq. 10,Section III,total,7,79,1.7166822589526618,105.52047337278107,1.0,0.4810126582278481,0.3067243908721457,0.7689533174831955,0.3067243908721457,0.8679147657069146,2.506984577577087,1.960358778721043,3.3040718457489238,2.8296242214030323,2.241478394719658,3.7121891585806295,0.8859779184156232,3.260255883650406,0.8801310848089504,0.8178421403297343,0.9327625764957945,2.1989051004475186,8.214737107404577,0.4939119736338265,0.20703306926151838,0.9732322502096448,0.4364251313015678,999
