sample,surface,output,estimator,formula,reliability,sigma_u,obs,obs_se,bench,bench_se,bias,bias_se,p_wcr_combined,n_obs,n_dev,forward,R2_forward_within,bracket_implied,r_obs,r_bench,t_r_scale,F_first,n_values_z,ar_lo_t,ar_hi_t,ar_type_t,ar_lo_n,ar_hi_n,ar_type_n,ar_grid,note
strict support (20),strict,y_hellaswag,"OLS, EIV (hardware-time sd (upper bound))",correct,0.9733657448105826,0.29215784945577616,0.4174479503390047,0.019033852992960988,0.43035028326263225,0.007291799216017812,-0.012902332923627524,0.020382784293721208,0.44164416441644166,20,6.0,,,,,,,,,,,,,,,,
strict support (20),strict,y_hellaswag,"OLS, EIV (m4 'independent' set sd)",correct,0.988195253577108,0.19450268999275758,0.41118345147938,0.018748218459908816,0.43035028326263225,0.007291799216017812,-0.019166831783252236,0.020116312565358088,0.29992999299929995,20,6.0,,,,,,,,,,,,,,,,
strict support (20),strict,y_hellaswag,"OLS, EIV (Epoch 'Confident' class)",correct,0.8608245805263307,0.6678494156037141,0.47202362048367147,0.021522271684877744,0.43035028326263225,0.007291799216017812,0.04167333722103922,0.022723963436962494,0.5654565456545655,20,6.0,,,,,,,,,,,,,,,,
strict support (20),strict,y_hellaswag,"OLS, EIV (Epoch 'Confident' class)",table8,0.8608245805263307,0.6678494156037141,0.47202362048367147,0.021522271684877744,0.43035028326263225,0.007291799216017812,0.04167333722103922,0.022723963436962494,0.5631563156315632,20,6.0,,,,,,,,,,,,,,,,
strict support (20),strict,y_hellaswag,"Family FE, EIV (hardware-time sd (upper bound))",correct,0.9690927269903177,0.29215784945577616,0.48778295055718435,0.05467918673853887,0.4642546858371076,0.009742535001384297,0.02352826472007674,0.05554034975260061,0.6531653165316532,20,6.0,,,,,,,,,,,,,,,,
strict support (20),strict,y_hellaswag,"Family FE, EIV (m4 'independent' set sd)",correct,0.9863013807629447,0.19450268999275758,0.4792722781845716,0.05372516273380264,0.4642546858371076,0.009742535001384297,0.01501759234746397,0.05460137451591099,0.7594759475947594,20,6.0,,,,,,,,,,,,,,,,
strict support (20),strict,y_hellaswag,"Family FE, EIV (Epoch 'Confident' class)",correct,0.8384962276843064,0.6678494156037141,0.5637555592114353,0.06319551649314499,0.4642546858371076,0.009742535001384297,0.09950087337432767,0.06394208546089625,0.16791679167916793,20,6.0,,,,,,,,,,,,,,,,
strict support (20),strict,y_hellaswag,"Family FE, EIV (Epoch 'Confident' class)",table8,0.7210389387274383,0.6678494156037141,0.6555913756462661,0.07349007014736832,0.4642546858371076,0.009742535001384297,0.19133668980915852,0.07413303850860502,0.2002200220022002,20,6.0,,,,,,,,,,,,,,,,
strict support (20),strict,y_hellaswag,Reverse regression,,,,0.5510188413735736,0.1290767211848276,0.4415847028979203,0.006447631560059007,0.10943413847565331,0.12923765668163437,0.1397139713971397,20,6.0,0.4063295351013764,0.7374149567943395,0.5510188413695265,1.8148199751340828,2.264571198769915,-1.05475103722662,,,,,,,,,,
strict support (20),strict,y_hellaswag,"Reverse regression, family FE",,,,0.5047166178953034,0.08093195658059314,0.4759104133798245,0.009417718440926433,0.02880620451547894,0.08147806463457254,0.666966696669667,20,6.0,0.4727069097348451,0.9365788503151188,0.5047166179076107,1.9813098371320843,2.1012358038106203,-0.37428510834760736,,,,,,,,,,
strict support (20),strict,y_hellaswag,IV: frontier FLOP/$,,,,0.007943558645221616,,0.3843024833637907,0.013739231991580166,-0.3763589247185691,,,20,6.0,,,,,,,5.1464250101071904,3.0,-3.0,4.0,unbounded,-1.85,0.265,interval,"[-3.0, 4.0] step 0.005",
strict support (20),strict,y_hellaswag,IV: frontier FLOP/$ + developer FE,,,,-0.2374699699655746,,0.3318076845056487,0.01735835338425573,-0.5692776544712232,,,20,6.0,,,,,,,3.0888215372558507,3.0,-3.0,4.0,unbounded,-3.0,4.0,unbounded,"[-3.0, 4.0] step 0.005",
strict support (20),strict,y_hellaswag,IV: own-hardware FLOP/$,,,,,,,,,,,4,,,,,,,,,,,,,,,,,instrument unavailable (fewer than 8 models or no variation)
legacy support (57),legacy,y_hellaswag,"OLS, EIV (hardware-time sd (upper bound))",correct,0.979887026535696,0.29215784945577616,0.33469749146051964,0.03804545672453481,0.3290836262488226,0.0068440499041557855,0.0056138652116970444,0.0386561482363288,0.8993899389938994,57,19.0,,,,,,,,,,,,,,,,
