model,family,developer,N,D,M,date,in_strict_hull,in_legacy_hull
01-ai/Yi-6B,Yi,01.AI,6061035520.0,3000000000000.0,494.9649263893441,2023-11-01,False,True
01-ai/Yi-9B,Yi,01.AI,8829407232.0,3800000000000.0,430.3799677772072,2024-03-01,False,True
01-ai/Yi-34B,Yi,01.AI,34388917248.0,3000000000000.0,87.23740786501426,2023-11-02,False,False
01-ai/Yi-1.5-6B,Yi-1.5,01.AI,6061035520.0,3600000000000.0,593.9579116672129,2024-05-11,False,False
01-ai/Yi-1.5-9B,Yi-1.5,01.AI,8829407232.0,3600000000000.0,407.72839052577524,2024-05-13,False,True
01-ai/Yi-1.5-34B,Yi-1.5,01.AI,34388917248.0,3600000000000.0,104.68488943801712,2024-05-13,False,False
01-ai/Yi-6B-200K,Yi-200K,01.AI,6061037568.0,3000000000000.0,494.96475914270394,2023-11-06,False,True
01-ai/Yi-34B-200K,Yi-200K,01.AI,34388921088.0,3000000000000.0,87.23739812374774,2023-11-06,False,False
allenai/OLMo-1B-hf,OLMo,AI2,1176764416.0,3000000000000.0,2549.3632873412785,2024-02-01,False,False
allenai/OLMo-7B-hf,OLMo,AI2,6888095744.0,2500000000000.0,362.94501309417336,2024-02-01,False,True
allenai/OLMo-7B-0424-hf,OLMo,AI2,6888095744.0,2049999999999.9998,297.61491073722215,2024-04-17,False,True
Qwen/Qwen-7B,Qwen,Alibaba,7721324544.0,2400000000000.0,310.8274993912754,2023-09-28,False,True
Qwen/Qwen-14B,Qwen,Alibaba,14167290880.0,3000000000000.0,211.75537549208562,2023-09-28,False,False
Qwen/Qwen-72B,Qwen,Alibaba,72287920128.0,3000000000000.0,41.50070986532617,2023-11-30,False,False
Qwen/Qwen1.5-0.5B,Qwen1.5,Alibaba,619570176.0,2400000000000.0,3873.6532082525546,2024-01-22,False,False
Qwen/Qwen1.5-1.8B,Qwen1.5,Alibaba,1836828672.0,2400000000000.0,1306.5998133548298,2024-01-22,False,False
Qwen/Qwen1.5-4B,Qwen1.5,Alibaba,3950369280.0,2400000000000.0,607.5381388142022,2024-01-22,False,False
Qwen/Qwen1.5-7B,Qwen1.5,Alibaba,7721324544.0,4000000000000.0,518.0458323187923,2024-02-04,False,False
Qwen/Qwen1.5-14B,Qwen1.5,Alibaba,14167290880.0,4000000000000.0,282.34050065611416,2024-02-04,False,False
Qwen/Qwen1.5-32B,Qwen1.5,Alibaba,32512218112.0,4000000000000.0,123.03067069187851,2024-02-05,False,False
