sample,surface,surface_kind,output,estimator,param,n_obs,n_dev,n_fam,n_fam_ge2,identified,obs,obs_se_cr1_allk,obs_se_cr1_nested,obs_se_cv3,bench,bench_se,bench_lo,bench_hi,bench_se_runlevel,bias,bias_se_table8,bias_se_nested,bias_se_cv3,p_normal_table8,p_t_nested,p_t_cv3,p_wcr_combined,p_wcr_benchfixed_allk,p_wcr_subcluster_family,B_wild,G_star,loo_bias_min,loo_bias_max,loo_argmin,loo_argmax,loo_n_unidentified,mde80,mde80_cv3,p_wcr_cv3_combined,obs_se_cv3_y,cv3_check,mde80_cv3_tG1,obs_n_at_floor,p_conservative,p_min_of_three
strict support (20),strict,ols,y_hellaswag,OLS,theta_N,20,6,9,5,True,0.6229371264112209,0.10618037934587184,0.10618037934587184,0.10499333437381908,0.5183696601245388,0.022253114741905836,0.47687610024330385,0.5597649463049426,0.02234892991310634,0.10456746628668212,0.10848720695892983,0.10848720695892983,0.10732567902719743,0.33511155861886843,0.37937980020518647,0.3746542652280349,0.36383638363836385,0.355035503550355,0.35303530353035306,9999,3.183174855061533,0.02943835013529867,0.16929544625604623,BigScience,Cerebras,0,0.3037641794850035,0.3005119012761528,0.28942894289428944,0.14374210522443995,0.10499333437379232,0.37458010161422983,0,0.3746542652280349,0.28942894289428944
strict support (20),strict,ols,y_hellaswag,OLS,theta_D,20,6,9,5,True,0.2946286818437057,0.09443535182642405,0.09443535182642405,0.6189585949524529,0.3849601866480985,0.014755808138415457,0.3570933196895501,0.4136686452615936,0.012933171762319331,-0.09033150480439278,0.09558121964276362,0.09558121964276362,0.6191344572379511,0.34462014078183545,0.38801534713420077,0.8897002128175183,0.35493549354935494,0.3501350135013501,0.3848384838483848,9999,2.0516922025458255,-0.7642606449806034,-0.03245446430601205,Cerebras,BigScience,0,0.2676274149997381,1.733576480266263,0.5728572857285729,0.761869701867954,0.618958594952564,2.1608570288783637,0,0.8897002128175183,0.35493549354935494
strict support (20),strict,ols,y_hellaswag,OLS,theta_C,20,6,9,5,True,0.4063295351013764,0.01852690049510861,0.01852690049510861,0.07579360756331033,0.43035028326263225,0.007291799216017812,0.41634034428638883,0.44454671979182836,0.00676523519308705,-0.024020748161255823,0.019910207878431948,0.019910207878431948,0.07614355706997021,0.22764251986096218,0.2816061325655139,0.7651494185205264,0.22832283228322833,0.22142214221422143,0.3426342634263426,9999,1.5147056418782985,-0.1053386885943341,-0.011640760750035145,Cerebras,BigScience,0,0.05574858205960945,0.21320195979591658,0.39463946394639465,0.04313632359326447,0.07579360756325187,0.26575057901390603,0,0.7651494185205264,0.22832283228322833
strict support (20),strict,ols,y_hellaswag,Year FE,theta_N,20,6,9,5,True,0.5433752129424213,0.15294617660747864,0.15294617660747864,0.1447231902821743,0.5213123612106048,0.02281595205989596,0.47862549447979186,0.5636528899433473,0.022829999410391072,0.022062851731816546,0.15463861292460404,0.15463861292460404,0.14651064628159247,0.8865479464523564,0.8921191158540668,0.8861867434760575,0.8857885788578858,0.8852885288528853,0.8817881788178817,9999,3.8103537564744814,-0.0642391445344328,0.11991996200444932,Meta,Cerebras,0,0.43298811618889127,0.4102298095884589,0.8647864786478647,0.18076996477225965,0.14472319028222067,0.5113405595861009,0,0.8861867434760575,0.8647864786478647
strict support (20),strict,ols,y_hellaswag,Year FE,theta_D,20,6,9,5,True,0.41048372452326765,0.10114976846424202,0.10114976846424202,0.727284069344835,0.3856341923853643,0.014956499811199887,0.3573308060818069,0.414737296193873,0.013111322249023451,0.024849532137903363,0.10224956013094721,0.10224956013094721,0.7274378422995226,0.8079835094423584,0.8176387674687893,0.9740710555162325,0.8494849484948495,0.845984598459846,0.8393839383938394,9999,2.7997307463219507,-0.7639853748778651,0.09750941540496705,Cerebras,EleutherAI,0,0.2862987683666522,2.036825958438663,0.8911891189118912,0.8779486918094173,0.727284069344577,2.53884944736796,0,0.9740710555162325,0.8494849484948495
strict support (20),strict,ols,y_hellaswag,Year FE,theta_C,20,6,9,5,True,0.46036462376258036,0.019497159444594087,0.019497159444594087,0.07981663594924272,0.4365610737744966,0.007045960527821856,0.4231272646925718,0.45025378693678453,0.006758528160444686,0.02380354998808376,0.020731251437565174,0.020731251437565174,0.08012702998373002,0.25088746086118074,0.30283669998261903,0.778356785452179,0.2709270927092709,0.24592459245924592,0.22522252225222522,9999,1.5103727980788744,-0.05992250050520505,0.044255112695523874,Cerebras,EleutherAI,0,0.05804750402518248,0.22435568395444402,0.6376637663766377,0.03468447605778294,0.07981663594924285,0.2796533998703719,0,0.778356785452179,0.2709270927092709
strict support (20),strict,ols,y_hellaswag,Developer FE,theta_N,20,6,9,5,True,0.6264145917148319,0.16908135905850244,0.14205675580200594,0.1465079113506848,0.5606964095045346,0.02352173201267136,0.5158522111370244,0.6051494550795055,0.02250773860761836,0.06571818221029735,0.17070963024371574,0.1439909502221118,0.14838409606563652,0.7002592263199565,0.6672396236308782,0.676348247014352,0.6438643864386439,0.6074607460746074,0.6993699369936993,9999,3.5600590171177773,-0.033557288322133616,0.18857664800559268,Meta,Cerebras,0,0.40317466062191304,0.41547546898378224,0.607060706070607,0.15737665071147902,0.1465079113508684,0.5178791346674525,0,0.676348247014352,0.607060706070607
strict support (20),strict,ols,y_hellaswag,Developer FE,theta_D,20,6,9,5,True,0.3017379181981148,0.1839552447215918,0.1545533193216862,0.7628673168501958,0.33197135754222695,0.017910349569042586,0.29808582345235646,0.36676196268336364,0.014236392232250943,-0.030233439344112156,0.18482508672327475,0.15558762526318218,0.7630775345532735,0.8700628481289236,0.8535754661520478,0.9699291003546091,0.7286728672867286,0.7088708870887088,0.8596859685968596,9999,2.113616604093646,-0.8600833409115186,0.06645413430495245,Cerebras,Meta,0,0.4356453507369101,2.136617096749166,0.744974497449745,0.8476246806496945,0.762867316851141,2.6632364502447543,0,0.9699291003546091,0.7286728672867286
strict support (20),strict,ols,y_hellaswag,Developer FE,theta_C,20,6,9,5,True,0.44909165532028106,0.013167172695806499,0.011189945085793908,0.04282876560124034,0.4357776791184667,0.007855111709306995,0.4212308574093412,0.4504323655348688,0.007862386810002293,0.013313976201814348,0.015332228043141155,0.013671783021565808,0.043543150355614825,0.38519433482478105,0.37486691830281904,0.7721044403056215,0.36633663366336633,0.42384238423842385,0.3309330933093309,9999,1.3306227340033272,-0.032252464541948966,0.02328856086169981,Cerebras,Meta,0,0.03828099246038426,0.1219208209957215,0.6193619361936193,0.014215345954640262,0.04282876560113498,0.15197106445212116,0,0.7721044403056215,0.36633663366336633
strict support (20),strict,ols,y_hellaswag,Family FE,theta_N,20,6,9,5,True,0.7450805296013138,0.07104897599743962,0.05169572340519132,0.03797856642454753,0.560458242115504,0.02562878458734603,0.510227000372292,0.6101093352818944,0.023658898439681494,0.18462228748580978,0.0755300707646255,0.0576999342964152,0.04581709404892844,0.014511149827964311,0.02400331111540187,0.010025649412408638,0.14361436143614362,0.1259125912591259,0.13881388138813883,9999,2.568882371690885,0.14702141317809983,0.19745168204290336,Meta,BigScience,0,0.16155981602996256,0.12828786333699962,0.11451145114511452,0.07186773015793058,0.03797856642429345,0.15990741358521726,0,0.14361436143614362,0.010025649412408638
