value,mse,g_N,g_D,g_C,alpha_year,beta_year,source,LR,TC_months
-1.5,0.0483153153982783,-1.0217072094974429,1.7028453491624047,0.6811381396649618,-0.0757989064860407,0.0653158412384885,m5 grid,14.870939938078678,12.21157013878372
-1.25,0.0479227226877785,-0.9692535045080316,1.7446563081144573,0.7754028036064257,-0.0745200456160292,0.0652933927488148,m5 grid,12.98625024575259,10.72702617018293
-1.0,0.0474391084916833,-0.9015324997567944,1.803064999513589,0.9015324997567944,-0.072538195007521,0.0651582911462149,m5 grid,10.643261742882688,9.226252152821134
-0.75,0.0468505722922048,-0.8093405017476806,1.8884611707445875,1.0791206689969073,-0.0689165790860669,0.0648184274709116,m5 grid,7.7595182293121185,7.707911085097733
-0.5,0.0462050408259189,-0.6706151048802457,2.011845314640737,1.3412302097604916,-0.0601462302110535,0.0642640667244302,m5 grid,4.55454959247407,6.201594704763381
-0.475,0.04614628490366277,-0.6521478264605013,2.025090619008925,1.3729427925484239,-0.05857590078478443,0.06422657448274473,ra4 refinement,4.260615103386027,6.0583486885714315
-0.45,0.04609087795476578,-0.6323670599281166,2.037627193101709,1.4052601331735923,-0.05677656585666796,0.06420710116466179,ra4 refinement,3.983091243413837,5.919022371989433
-0.425,0.0460397687088969,-0.6110438862521321,2.048794206845384,1.4377503205932518,-0.0547001757841688,0.0642164415722208,ra4 refinement,3.726797872329316,5.785264692750841
-0.4,0.045994048045989715,-0.5878778273816445,2.0575723958357552,1.4696945684541107,-0.052288021166600605,0.06427037467858034,ra4 refinement,3.497284974292828,5.65952024676007
-0.375,0.045954927055333536,-0.5624634220075305,2.062365880694278,1.4999024586867478,-0.04946773905051523,0.06439340307164815,ra4 refinement,3.300720534571571,5.545538057189421
-0.35,0.04592366489927992,-0.534253191083878,2.0606908798949584,1.5264376888110802,-0.04615714147062795,0.06462173012066104,ra4 refinement,3.1435226896015247,5.449135741137215
-0.325,0.04590140210315475,-0.5025375510403943,2.048806938856992,1.5462693878165976,-0.04228211577839746,0.06500316242631006,ra4 refinement,3.0315117502456683,5.379247776782547
-0.3,0.045888853410652665,-0.4665591929831361,2.021756502926923,1.555197309943787,-0.03783640040473026,0.06557525167111007,ra4 refinement,2.968351494948112,5.348367125853626
-0.275,0.04588591371531227,-0.42597691601200594,1.9749838833283908,1.5490069673163849,-0.03297790811320372,0.0663091174809178,ra4 refinement,2.9535528821021177,5.369740964515906
-0.25,0.0458914807436992,-0.3815564337889247,1.9077821689446233,1.5262257351556987,-0.0280485412075526,0.067064641445113,m5 grid,2.9815768539426326,5.44989248649434
-0.225,0.045903797594294186,-0.3351570421720486,1.8247438962700424,1.4895868540979937,-0.023401494392188405,0.06765900919951726,ra4 refinement,3.0435668071522657,5.583941710976023
-0.2,0.04592104931376341,-0.2888167301417543,1.7329003808505257,1.4440836507087713,-0.019233611977870633,0.06797174926813025,ra4 refinement,3.130365693912593,5.759892207516439
-0.175,0.045941732519148105,-0.2440103680608675,1.638355328408682,1.3943449603478144,-0.01558504993558645,0.06796858978590269,ra4 refinement,3.2343865047190845,5.965357499943562
-0.15,0.04596473028135747,-0.20154498391731487,1.5451782100327474,1.3436332261154325,-0.012415000977791014,0.06766684592358568,ra4 refinement,3.3499928074613603,6.190503483429605
-0.125,0.04598925163942901,-0.16174080552836806,1.4556672497553123,1.2939264442269443,-0.009656733989961483,0.0671031388139688,ra4 refinement,3.4731942986958875,6.428314533511824
-0.1,0.0460147462194485,-0.12462995615758922,1.3709295177334815,1.2462995615758923,-0.007242996688411876,0.06631774403637558,ra4 refinement,3.6012158688949323,6.67397022606819
-0.075,0.04598155986032262,-0.08591455447170387,1.2314419474277554,1.1455273929560514,-0.0094614316078362,0.032587410760260636,ra4 refinement,3.4345559318326497,7.26108010848629
-0.05,0.045940622918167,-0.05597666669795265,1.1755100006570056,1.119533333959053,-0.006054244052958752,0.031234377356180433,ra4 refinement,3.228807243599186,7.429672627348107
-0.025,0.04589484736928746,-0.027419185264739358,1.1241865958543136,1.0967674105895742,-0.0029076641027028743,0.030010513130272264,ra4 refinement,2.9985225260754,7.583892524895571
0.0,0.0458456726996871,0.0,1.076274542497291,1.076274542497291,0.0,0.0288843715351356,m5 grid,2.7508816852113935,7.728294072086425
0.25,0.0453978918292952,0.2291243648304445,0.6873730944913335,0.916497459321778,0.0194882778898687,0.0201146718090719,m5 grid,0.48358290095397766,9.075601991166039
