model,family,developer,N,D,C,C_epoch,C_method,method_class,Confidence,Training hardware,chip_hours,peak,C_hw,dev_epoch,dev_hw,m4_indep
01-ai/Yi-34B,Yi,01.AI,34388917248.0,3000000000000.0,6.19000510464e+23,6.1e+23,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100,,312000000000000.0,,-0.014647140176026682,,False
01-ai/Yi-1.5-9B,Yi-1.5,01.AI,8829407232.0,3600000000000.0,1.907151962112e+23,1.90728e+23,Operation counting,Epoch 6ND (operation counting),Confident,,,,,6.71333972239781e-05,,False
01-ai/Yi-1.5-34B,Yi-1.5,01.AI,34388917248.0,3600000000000.0,7.428006125568e+23,7.344e+23,Operation counting,Epoch 6ND (operation counting),Confident,,,,,-0.011373814831057606,,False
allenai/OLMo-1B-hf,OLMo,AI2,1176764416.0,3000000000000.0,2.1181759488e+22,1.2e+22,Operation counting,Epoch 6ND (operation counting),Confident,"AMD Radeon Instinct MI250X,NVIDIA A100",,383000000000000.0,,-0.5682337600227009,,False
allenai/OLMo-7B-hf,OLMo,AI2,6888095744.0,2500000000000.0,1.0332143616e+23,1.0332e+23,Operation counting,Epoch 6ND (operation counting),Confident,"AMD Radeon Instinct MI250X,NVIDIA A100",,383000000000000.0,,-1.3900019538370785e-05,,False
allenai/OLMo-7B-0424-hf,OLMo,AI2,6888095744.0,2049999999999.9998,8.472357765119998e+22,,,Other/unknown,,,,,,,,False
Qwen/Qwen-7B,Qwen,Alibaba,7721324544.0,2400000000000.0,1.111870734336e+23,1.01e+23,Operation counting,Epoch 6ND (operation counting),Confident,,,,,-0.09609361211740147,,False
Qwen/Qwen-14B,Qwen,Alibaba,14167290880.0,3000000000000.0,2.5501123584e+23,2.5e+23,Operation counting,Epoch 6ND (operation counting),Confident,,,,,-0.019846688443120195,,False
Qwen/Qwen-72B,Qwen,Alibaba,72287920128.0,3000000000000.0,1.301182562304e+24,1.3e+24,Operation counting,Epoch 6ND (operation counting),Confident,,,,,-0.0009092498178403053,,False
Qwen/Qwen1.5-7B,Qwen1.5,Alibaba,7721324544.0,4000000000000.0,1.85311789056e+23,1.68e+23,Operation counting,Epoch 6ND (operation counting),Confident,,,,,-0.09807577332139286,,False
Qwen/Qwen1.5-14B,Qwen1.5,Alibaba,14167290880.0,4000000000000.0,3.4001498112e+23,3.36e+23,Operation counting,Epoch 6ND (operation counting),Confident,,,,,-0.011878518793943502,,False
Qwen/Qwen1.5-32B,Qwen1.5,Alibaba,32512218112.0,4000000000000.0,7.80293234688e+23,,Operation counting,Epoch 6ND (operation counting),Confident,,,,,,,False
Qwen/Qwen1.5-72B,Qwen1.5,Alibaba,72287920128.0,3000000000000.0,1.301182562304e+24,1.3e+24,Operation counting,Epoch 6ND (operation counting),Confident,,,,,-0.0009092498178403053,,False
Qwen/Qwen2-0.5B,Qwen2,Alibaba,494032768.0,12000000000000.0,3.5570359296e+22,3.6e+22,Operation counting,Epoch 6ND (operation counting),Confident,,,,,0.012006251450332373,,False
Qwen/Qwen2-1.5B,Qwen2,Alibaba,1543714304.0,7000000000000.0,6.4836000768e+22,6.3e+22,Operation counting,Epoch 6ND (operation counting),Confident,,,,,-0.02872629010366746,,False
Qwen/Qwen2-7B,Qwen2,Alibaba,7615616512.0,7000000000000.0,3.19855893504e+23,2.9400000000001e+23,Operation counting,Epoch 6ND (operation counting),Confident,,,,,-0.08429079422478838,,False
Qwen/Qwen2-72B,Qwen2,Alibaba,72706203648.0,7000000000000.0,3.053660553216e+24,3.02e+24,Operation counting,Epoch 6ND (operation counting),Confident,,,,,-0.011084220972904948,,False
bigcode/starcoderbase,StarCoder,BigCode,15500000000.0,1000000000000.0,9.3e+22,8.46e+22,"Reported,Hardware",Epoch mixed (6ND and hardware),Confident,NVIDIA A100 SXM4 80 GB,320256.0,312000000000000.0,1.0791346176e+23,-0.09466522654107835,0.1487301327745542,True
bigcode/starcoder2-3b,StarCoder2,BigCode,3030371328.0,3300000000000.0,6.00013522944e+22,5.94e+22,Reported,Developer-reported FLOP,Confident,NVIDIA A100 SXM4 80 GB,,312000000000000.0,,-0.010072873839519063,,True
bigcode/starcoder2-7b,StarCoder2,BigCode,7173923840.0,3700000000000.0,1.59261109248e+23,1.55e+23,Reported,Developer-reported FLOP,Confident,NVIDIA H100 SXM5 80GB,,989400000000000.0,,-0.027119934898982588,,True
bigcode/starcoder2-15b,StarCoder2,BigCode,15957889024.0,4300000000000.0,4.117135368192e+23,3.87e+23,Reported,Developer-reported FLOP,Confident,,,,,-0.061903115504779,,True
bigscience/bloom-560m,BLOOM,BigScience,559214592.0,341000000000.0,1.144153055232e+21,,,Other/unknown,Confident,,,,,,,False
bigscience/bloom-1b1,BLOOM,BigScience,1065314304.0,341000000000.0,2.179633065984e+21,,,Other/unknown,Confident,,,,,,,False
bigscience/bloom-3b,BLOOM,BigScience,3002557440.0,341000000000.0,6.14323252224e+21,,,Other/unknown,Confident,,,,,,,False
bigscience/bloom-7b1,BLOOM,BigScience,7069016064.0,341000000000.0,1.4463206866944e+22,1.5014556e+22,Operation counting,Epoch 6ND (operation counting),Confident,,,,,0.03741216339563212,,False
bigscience/bloom,BLOOM,BigScience,176247271424.0,366000000000.0,3.87039008047104e+23,3.65664e+23,Hardware,Epoch hardware-time,Confident,NVIDIA A100 SXM4 80 GB,1078272.0,312000000000000.0,3.6333453312e+23,-0.05681060497325333,-0.06320149522279134,True
cerebras/btlm-3b-8k-base,BTLM,Cerebras,3000000000.0,627000000000.0,1.1286e+22,9.8e+21,Operation counting,Epoch 6ND (operation counting),Confident,Cerebras CS-2,,,,-0.14118063387042218,,False
